GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0600000US2500100000,2500100000,"County subdivisions not defined, Barnstable County, Massachusetts",0,12,0,12,0,12,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X)
0600000US2500103690,2500103690,"Barnstable Town city, Barnstable County, Massachusetts",19262,497,11645,422,9115,474,7617,569,7.2,1.4,2.4,1.1,1.4,0.8,14.7,2.9,5.5,1.2,2.6,1.3,0.5,0.4,10.6,2.5,9.9,1.3,7.8,1.7,7.0,2.0,13.8,2.1,7.9,1.6,5.7,1.4,4.2,1.3,12.3,3.2,11.5,1.5,10.3,1.8,7.7,1.7,13.3,2.5,20.5,2.0,21.8,2.7,21.8,2.9,18.1,3.0,11.5,1.6,13.2,1.9,15.5,2.1,8.3,2.4,15.5,1.6,21.8,2.6,24.4,3.2,5.2,1.6,5.2,1.1,7.3,1.5,8.6,1.9,1.2,0.7,5.4,1.0,7.3,1.6,8.9,2.0,2.4,1.2,58933,3015,74278,6430,86211,4600,33142,3459,81908,4773,102150,6975,N,N,47938,4215,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
0600000US2500107175,2500107175,"Bourne town, Barnstable County, Massachusetts",8152,259,5194,241,4184,248,2958,341,5.1,1.7,3.3,1.9,1.6,1.5,8.6,3.5,6.1,1.8,4.4,2.3,3.3,2.5,10.3,3.7,10.7,1.9,6.6,2.1,5.3,2.2,17.7,4.4,7.3,1.9,7.4,2.5,6.3,2.8,8.3,2.8,11.8,2.6,10.2,3.3,8.4,3.6,13.7,4.5,15.8,2.4,16.8,3.3,14.6,3.3,17.5,4.6,12.5,2.6,13.3,3.2,14.7,3.8,10.9,3.5,19.1,2.6,24.6,3.6,29.8,4.2,6.6,2.9,7.0,1.8,8.3,2.6,9.6,3.1,3.7,2.8,4.5,1.3,5.1,1.8,6.3,2.3,2.8,1.8,63664,7217,78333,8514,95895,5520,40704,5885,80740,4935,90822,6151,N,N,54848,6504,36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
0600000US2500107980,2500107980,"Brewster town, Barnstable County, Massachusetts",4262,263,2592,177,2246,195,1670,302,3.5,2.5,1.1,1.5,0.0,1.5,8.3,6.1,5.0,2.5,0.7,1.0,0.0,1.5,11.9,6.1,10.9,3.1,3.7,2.7,2.7,1.7,22.0,7.4,6.6,2.5,5.7,2.9,4.2,2.8,7.8,3.8,11.6,3.5,8.8,3.8,8.1,4.0,17.4,6.6,17.7,4.2,23.1,6.3,23.4,6.6,9.6,4.7,13.0,3.8,16.1,5.5,16.7,6.2,9.9,4.9,17.2,3.9,24.1,5.8,26.2,6.4,4.8,3.5,8.5,3.2,7.7,3.4,8.3,3.7,6.6,5.0,6.1,2.6,9.0,4.0,10.4,4.5,1.7,2.0,66306,8544,85750,12235,91875,13254,35000,9187,85304,7610,104552,11667,N,N,51277,9574,24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X)
0600000US2500112995,2500112995,"Chatham town, Barnstable County, Massachusetts",2827,163,1726,111,1527,132,1101,183,4.5,1.9,2.8,2.8,2.6,3.0,7.1,3.2,2.7,1.7,2.0,1.6,0.0,2.3,3.8,3.7,12.2,3.8,4.9,3.4,3.3,2.8,23.5,7.5,9.6,2.7,6.0,2.9,6.7,3.3,16.3,5.4,11.5,2.6,9.2,3.0,7.1,2.8,15.9,6.2,16.5,3.5,17.8,5.1,17.0,4.7,14.3,4.8,11.7,3.0,17.0,4.2,18.1,4.4,2.5,2.0,15.6,3.5,19.4,5.1,21.3,5.8,8.9,4.0,7.6,2.5,9.8,3.3,11.1,3.7,4.3,3.7,8.2,2.2,11.2,3.4,12.6,3.8,3.5,2.4,63299,13190,86842,8030,95301,10114,34306,4955,102453,14841,130919,23354,N,N,56888,9449,32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X)
0600000US2500116775,2500116775,"Dennis town, Barnstable County, Massachusetts",6781,312,3857,219,2931,264,2924,333,7.7,2.0,4.6,2.2,1.4,1.2,13.4,4.4,4.7,1.6,3.4,2.3,0.3,0.5,9.5,3.3,12.9,2.8,6.8,2.8,5.8,2.4,19.4,4.7,10.0,2.6,7.8,2.8,7.7,3.0,11.8,3.7,14.0,2.6,12.3,3.2,12.8,3.3,14.4,4.3,17.0,2.7,17.5,2.8,17.4,3.6,17.6,4.5,13.7,2.6,18.1,3.3,19.8,3.8,7.6,3.4,11.1,2.1,15.5,3.1,18.0,3.9,4.2,2.2,4.8,1.3,7.4,2.0,9.7,2.7,1.4,1.7,4.1,1.4,6.6,2.1,7.2,2.6,0.7,1.1,50860,3944,71735,5898,84354,7155,30800,5810,71249,5379,92191,7938,N,N,41852,5776,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.9,(X)
0600000US2500119295,2500119295,"Eastham town, Barnstable County, Massachusetts",2222,156,1503,141,1215,156,719,178,0.0,1.6,0.0,2.3,0.0,2.8,0.0,4.7,3.0,2.7,0.0,2.3,0.0,2.8,9.2,8.4,11.0,5.1,4.9,3.4,4.2,3.9,23.9,12.9,10.5,3.5,6.3,3.7,2.7,2.7,20.9,9.0,13.1,5.4,14.9,7.4,17.1,9.0,9.5,6.1,21.2,6.0,26.4,8.1,23.2,8.4,18.8,8.1,15.4,4.4,17.1,6.0,15.6,6.0,9.0,5.9,17.5,4.9,19.8,6.5,24.4,7.9,5.6,4.1,5.1,2.6,7.3,4.1,8.5,4.9,0.7,1.1,3.1,1.9,3.4,2.2,4.2,2.7,2.5,3.9,62452,7701,72533,8736,77147,13095,31386,12822,80729,12161,91818,15581,N,N,53383,16384,19.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.8,(X)
0600000US2500123105,2500123105,"Falmouth town, Barnstable County, Massachusetts",13646,426,8460,295,6963,351,5186,459,4.1,1.2,2.3,1.2,1.2,1.0,8.4,2.7,4.1,1.2,0.9,0.7,0.5,0.4,9.4,2.7,10.9,1.5,6.5,2.0,3.8,1.7,19.1,3.1,8.2,1.6,5.4,1.8,5.7,1.9,12.7,3.1,11.6,1.7,9.5,2.2,8.5,2.0,14.2,3.3,17.8,2.3,19.2,2.8,17.6,2.8,16.0,3.3,14.2,1.9,16.1,2.2,17.1,2.5,11.0,3.2,16.7,2.4,21.9,3.7,24.5,3.9,6.6,2.2,5.8,1.4,8.3,2.2,9.3,2.3,1.5,1.2,6.5,1.4,9.8,2.2,11.8,2.6,1.0,0.8,64070,3897,84762,5481,92741,4815,35375,3774,88475,5831,110926,8418,N,N,49573,5235,29.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X)
0600000US2500129020,2500129020,"Harwich town, Barnstable County, Massachusetts",5358,230,3334,191,2659,208,2024,265,3.7,1.5,0.4,0.7,0.0,1.3,9.1,3.5,4.8,1.7,1.5,1.2,1.9,1.5,10.3,3.8,8.7,2.1,5.2,2.2,2.7,1.8,16.1,4.5,5.5,1.9,4.5,1.9,4.1,2.1,8.0,4.2,12.7,3.2,9.8,3.2,9.1,3.3,16.9,5.2,22.3,4.2,23.6,5.0,19.8,4.3,19.8,6.7,19.2,2.9,23.8,4.0,26.7,4.2,11.0,4.5,12.0,2.4,17.1,4.0,19.8,4.6,4.2,2.4,6.0,2.2,7.1,2.6,7.2,2.6,3.7,3.7,5.1,1.7,7.0,2.6,8.8,3.2,1.0,1.2,67332,3716,79538,6283,85967,2556,41048,4545,85792,9365,105855,14288,N,N,49432,6170,27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
