CPT1/HCPCS,Mod,Status,Description,Work RVUs,Non-Facility PE RVUs,Facility PE RVUs,Mal-Practice RVUs,Total Non-Facility RVUs,Total Facility RVUs,Global
0001F,,I,Heart failure composite,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0005F,,I,Osteoarthritis composite,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00100,,J,Anesth salivary gland,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00102,,J,Anesth repair of cleft lip,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00103,,J,Anesth blepharoplasty,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00104,,J,Anesth electroshock,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0012F,,I,Cap bacterial assess,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00120,,J,Anesth ear surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00124,,J,Anesth ear exam,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00126,,J,Anesth tympanotomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0014F,,I,Comp preop assess cat surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00140,,J,Anesth procedures on eye,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00142,,J,Anesth lens surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00144,,J,Anesth corneal transplant,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00145,,J,Anesth vitreoretinal surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00147,,J,Anesth iridectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00148,,J,Anesth eye exam,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0015F,,I,Melan follow-up complete,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00160,,J,Anesth nose/sinus surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00162,,J,Anesth nose/sinus surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00164,,J,Anesth biopsy of nose,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00170,,J,Anesth procedure on mouth,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00172,,J,Anesth cleft palate repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00174,,J,Anesth pharyngeal surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00176,,J,Anesth pharyngeal surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00190,,J,Anesth face/skull bone surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00192,,J,Anesth facial bone surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00210,,J,Anesth cranial surg nos,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00211,,J,Anesth cran surg hemotoma,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00212,,J,Anesth skull drainage,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00214,,J,Anesth skull drainage,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00215,,J,Anesth skull repair/fract,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00216,,J,Anesth head vessel surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00218,,J,Anesth special head surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00220,,J,Anesth intrcrn nerve,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00222,,J,Anesth head nerve surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00300,,J,Anesth head/neck/ptrunk,0.00,0.00,0.00,0.00,0.00,0.00,XXX
