Carrier,Locality Number,Locality Name,2016 PW GPCI (with 1.0 Floor),2016 PE GPCI,2016 MP GPCI,2017 PW GPCI (with 1.0 Floor),2017 PE GPCI,2017 MP GPCI,2018 PW GPCI ,2018 PE GPCI,2018 MP GPCI
10102,00,ALABAMA,1.000,0.886,0.611,1.000,0.888,0.552,0.979,0.890,0.492,
02102,01,ALASKA**,1.500,1.107,0.712,1.500,1.112,0.710,1.500,1.117,0.708,
03102,00,ARIZONA,1.000,1.000,0.877,1.000,0.986,0.856,0.980,0.971,0.834,
07102,13,ARKANSAS,1.000,0.867,0.534,1.000,0.870,0.555,0.971,0.872,0.576,
01112,54,"BAKERSFIELD, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.599,
01112,55,"CHICO, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01182,71,"EL CENTRO, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.567,
01112,56,"FRESNO, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,57,"HANFORD-CORCORAN, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01182,18,"LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES CNTY), CA",1.047,1.161,0.908,1.047,1.169,0.801,1.046,1.177,0.694,
01182,26,"LOS ANGELES-LONG BEACH-ANAHEIM (ORANGE CNTY), CA",1.035,1.216,0.908,1.041,1.197,0.801,1.046,1.177,0.694,
01112,58,"MADERA, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,59,"MERCED, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,60,"MODESTO, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,51,"NAPA, CA",1.059,1.286,0.496,1.057,1.271,0.477,1.055,1.256,0.458,
01182,17,"OXNARD-THOUSAND OAKS-VENTURA, CA",1.030,1.180,0.834,1.027,1.178,0.754,1.024,1.176,0.673,
01112,61,"REDDING, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
