SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
040,25,000,00000,00000,00000,0,A,Massachusetts,Massachusetts,6547629,6547817,6565036,6611797,6657780,6708810,6755124,6794422
162,25,000,00840,00000,00000,0,A,Agawam Town city,Massachusetts,28438,28438,28445,28575,28620,28695,28728,28839
162,25,000,01260,00000,00000,0,A,Amesbury Town city,Massachusetts,16283,16283,16323,16447,16569,16789,17294,17414
162,25,000,02690,00000,00000,0,A,Attleboro city,Massachusetts,43593,43593,43608,43675,43813,43905,44074,44284
162,25,000,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,45193,45189,45152,44833,44713,44572,44487,44331
162,25,000,05595,00000,00000,0,A,Beverly city,Massachusetts,39502,39502,39721,40058,40316,40746,41081,41186
162,25,000,07000,00000,00000,0,A,Boston city,Massachusetts,617594,617680,620623,630286,642031,651710,660278,667137
162,25,000,07740,00000,00000,0,A,Braintree Town city,Massachusetts,35744,35739,35826,36122,36492,36984,37414,37497
162,25,000,09000,00000,00000,0,A,Brockton city,Massachusetts,93810,93810,93846,94115,94009,94368,94800,95314
162,25,000,11000,00000,00000,0,A,Cambridge city,Massachusetts,105162,105201,104979,105743,106048,107705,109700,110402
162,25,000,13205,00000,00000,0,A,Chelsea city,Massachusetts,35177,35177,35304,36122,36711,37359,38263,39398
162,25,000,13660,00000,00000,0,A,Chicopee city,Massachusetts,55298,55298,55303,55633,55910,56079,56545,56741
162,25,000,19370,00000,00000,0,A,Easthampton Town city,Massachusetts,16053,16053,16049,16069,16100,16065,16054,16030
162,25,000,21990,00000,00000,0,A,Everett city,Massachusetts,41667,41667,41755,42283,42860,43484,44741,46050
162,25,000,23000,00000,00000,0,A,Fall River city,Massachusetts,88857,88857,88857,88742,88712,88755,88727,88777
162,25,000,23875,00000,00000,0,A,Fitchburg city,Massachusetts,40318,40318,40419,40375,40417,40451,40499,40545
162,25,000,25172,00000,00000,0,A,Franklin Town city,Massachusetts,31635,31635,31856,32252,32453,32779,33011,33147
162,25,000,25485,00000,00000,0,A,Gardner city,Massachusetts,20228,20228,20163,20201,20323,20354,20270,20333
162,25,000,26150,00000,00000,0,A,Gloucester city,Massachusetts,28789,28789,28862,29018,29201,29413,29590,29781
162,25,000,27100,00000,00000,0,A,Greenfield Town city,Massachusetts,17456,17456,17422,17581,17580,17402,17521,17450
162,25,000,29405,00000,00000,0,A,Haverhill city,Massachusetts,60879,60879,60976,61428,61729,62079,62370,62765
162,25,000,30840,00000,00000,0,A,Holyoke city,Massachusetts,39880,39880,39904,40076,40115,40085,40660,40684
162,25,000,34550,00000,00000,0,A,Lawrence city,Massachusetts,76377,76377,76596,77394,78116,78669,79535,80231
162,25,000,35075,00000,00000,0,A,Leominster city,Massachusetts,40759,40759,40771,40888,40912,41091,41445,41569
162,25,000,37000,00000,00000,0,A,Lowell city,Massachusetts,106519,106519,106686,107562,108573,109653,110235,110699
162,25,000,37490,00000,00000,0,A,Lynn city,Massachusetts,90329,90329,90505,90594,91212,91694,92115,92457
162,25,000,37875,00000,00000,0,A,Malden city,Massachusetts,59450,59464,59564,59930,60366,60776,60928,61068
162,25,000,38715,00000,00000,0,A,Marlborough city,Massachusetts,38499,38499,38552,38882,39262,39485,39656,39818
162,25,000,39835,00000,00000,0,A,Medford city,Massachusetts,56173,56253,56321,56667,57071,57266,57295,57403
162,25,000,40115,00000,00000,0,A,Melrose city,Massachusetts,26983,26983,27026,27246,27457,27777,27951,27997
162,25,000,40710,00000,00000,0,A,Methuen Town city,Massachusetts,47255,47255,47361,47696,47996,48559,49205,49660
162,25,000,45000,00000,00000,0,A,New Bedford city,Massachusetts,95072,95072,95042,94813,94854,95015,94954,94958
162,25,000,45245,00000,00000,0,A,Newburyport city,Massachusetts,17416,17416,17448,17549,17624,17777,17889,17982
162,25,000,45560,00000,00000,0,A,Newton city,Massachusetts,85146,85174,85424,85928,87254,87908,88506,88817
162,25,000,46225,00000,00000,0,A,North Adams city,Massachusetts,13708,13708,13782,13644,13603,13455,13353,13263
162,25,000,46330,00000,00000,0,A,Northampton city,Massachusetts,28549,28549,28634,28701,28692,28546,28535,28540
162,25,000,52144,00000,00000,0,A,Palmer Town city,Massachusetts,12140,12140,12138,12152,12156,12162,12180,12191
162,25,000,52490,00000,00000,0,A,Peabody city,Massachusetts,51251,51251,51372,51572,51823,52111,52314,52504
162,25,000,53960,00000,00000,0,A,Pittsfield city,Massachusetts,44737,44737,44691,44378,44286,44017,43655,43303
162,25,000,55745,00000,00000,0,A,Quincy city,Massachusetts,92271,92271,92447,92569,92921,93373,93520,93618
162,25,000,56585,00000,00000,0,A,Revere city,Massachusetts,51755,51733,51817,52535,52987,53316,53226,53422
162,25,000,59105,00000,00000,0,A,Salem city,Massachusetts,41340,41340,41840,41974,42242,42637,42774,42869
162,25,000,62535,00000,00000,0,A,Somerville city,Massachusetts,75754,75635,75779,76679,77727,78929,79356,80318
162,25,000,63345,00000,00000,0,A,Southbridge Town city,Massachusetts,16719,16719,16728,16746,16775,16808,16830,16865
162,25,000,67000,00000,00000,0,A,Springfield city,Massachusetts,153060,153195,153580,153722,153784,153838,154204,154341
162,25,000,69170,00000,00000,0,A,Taunton city,Massachusetts,55874,55874,55891,55900,56001,56074,56586,56789
162,25,000,72600,00000,00000,0,A,Waltham city,Massachusetts,60632,60632,60854,61322,62010,62412,63149,63378
162,25,000,73440,00000,00000,0,A,Watertown Town city,Massachusetts,31915,31915,31980,32217,32901,33124,34141,34319
162,25,000,76030,00000,00000,0,A,Westfield city,Massachusetts,41094,41094,41112,41377,41224,41506,41608,41690
162,25,000,77890,00000,00000,0,A,West Springfield Town city,Massachusetts,28391,28391,28349,28514,28591,28569,28624,28693
162,25,000,78972,00000,00000,0,A,Weymouth Town city,Massachusetts,53743,53743,53799,54185,55037,55510,55747,55957
162,25,000,81005,00000,00000,0,A,Winthrop Town city,Massachusetts,17497,17497,17518,17749,17881,17979,18042,18164
162,25,000,81035,00000,00000,0,A,Woburn city,Massachusetts,38120,38134,38284,38630,38873,39162,39298,39555
162,25,000,82000,00000,00000,0,A,Worcester city,Massachusetts,181045,181041,181849,182372,182426,183121,184211,184815
050,25,001,00000,00000,00000,0,A,Barnstable County,Massachusetts,215888,215888,215930,215339,214806,214685,214665,214333
157,25,001,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,45193,45189,45152,44833,44713,44572,44487,44331
157,25,001,99990,00000,00000,0,F,Balance of Barnstable County,Massachusetts,170695,170699,170778,170506,170093,170113,170178,170002
061,25,001,00000,03690,00000,0,F,Barnstable Town city,Massachusetts,45193,45189,45152,44833,44713,44572,44487,44331
071,25,001,03690,03690,00000,1,A,Barnstable Town city,Massachusetts,45193,45189,45152,44833,44713,44572,44487,44331
061,25,001,00000,07175,00000,1,A,Bourne town,Massachusetts,19754,19754,19769,19790,19745,19729,19739,19681
061,25,001,00000,07980,00000,1,A,Brewster town,Massachusetts,9820,9820,9856,9832,9813,9798,9947,9918
061,25,001,00000,12995,00000,1,A,Chatham town,Massachusetts,6125,6125,6127,6115,6119,6130,6138,6143
061,25,001,00000,16775,00000,1,A,Dennis town,Massachusetts,14207,14207,14204,14145,14086,14049,14025,14005
061,25,001,00000,19295,00000,1,A,Eastham town,Massachusetts,4956,4956,4956,4940,4925,4924,4923,4915
061,25,001,00000,23105,00000,1,A,Falmouth town,Massachusetts,31531,31531,31545,31584,31544,31551,31503,31524
061,25,001,00000,29020,00000,1,A,Harwich town,Massachusetts,12243,12243,12253,12225,12188,12184,12192,12180
061,25,001,00000,39100,00000,1,A,Mashpee town,Massachusetts,14006,14006,14005,13977,13947,13984,14048,14154
061,25,001,00000,51440,00000,1,A,Orleans town,Massachusetts,5890,5890,5894,5873,5857,5855,5858,5846
061,25,001,00000,55500,00000,1,A,Provincetown town,Massachusetts,2942,2942,2948,2957,2954,2963,2980,2968
061,25,001,00000,59735,00000,1,A,Sandwich town,Massachusetts,20675,20675,20668,20612,20567,20559,20513,20445
061,25,001,00000,70605,00000,1,A,Truro town,Massachusetts,2003,2003,2003,2002,2000,2010,2009,2007
061,25,001,00000,74385,00000,1,A,Wellfleet town,Massachusetts,2750,2750,2751,2743,2743,2744,2751,2749
061,25,001,00000,82525,00000,1,A,Yarmouth town,Massachusetts,23793,23797,23799,23711,23605,23633,23552,23467
050,25,003,00000,00000,00000,0,N,Berkshire County,Massachusetts,131219,131272,131278,130529,130171,129345,128565,127828
157,25,003,46225,00000,00000,0,A,North Adams city,Massachusetts,13708,13708,13782,13644,13603,13455,13353,13263
157,25,003,53960,00000,00000,0,A,Pittsfield city,Massachusetts,44737,44737,44691,44378,44286,44017,43655,43303
157,25,003,99990,00000,00000,0,F,Balance of Berkshire County,Massachusetts,72774,72827,72805,72507,72282,71873,71557,71262
061,25,003,00000,00555,00000,1,A,Adams town,Massachusetts,8485,8485,8475,8417,8393,8334,8260,8187
061,25,003,00000,00975,00000,1,A,Alford town,Massachusetts,494,494,494,496,496,494,495,495
061,25,003,00000,04545,00000,1,A,Becket town,Massachusetts,1779,1779,1775,1776,1778,1773,1768,1762
061,25,003,00000,13345,00000,1,A,Cheshire town,Massachusetts,3235,3235,3232,3223,3221,3198,3177,3158
061,25,003,00000,14010,00000,1,A,Clarksburg town,Massachusetts,1702,1702,1701,1691,1690,1681,1670,1659
061,25,003,00000,16180,00000,1,A,Dalton town,Massachusetts,6756,6756,6756,6746,6748,6719,6689,6661
061,25,003,00000,21360,00000,1,A,Egremont town,Massachusetts,1225,1225,1225,1227,1227,1224,1216,1210
061,25,003,00000,24120,00000,1,A,Florida town,Massachusetts,752,752,751,750,750,744,737,730
061,25,003,00000,26815,00000,1,A,Great Barrington town,Massachusetts,7104,7104,7094,7029,7035,6993,6918,6907
061,25,003,00000,28180,00000,1,A,Hancock town,Massachusetts,717,717,716,716,717,715,713,710
061,25,003,00000,30315,00000,1,A,Hinsdale town,Massachusetts,2032,2032,2030,2019,2012,1996,1977,1959
061,25,003,00000,34340,00000,1,A,Lanesborough town,Massachusetts,3091,3091,3087,3068,3059,3035,3011,2991
061,25,003,00000,34655,00000,1,A,Lee town,Massachusetts,5943,5943,5946,5925,5934,5900,5848,5816
061,25,003,00000,34970,00000,1,A,Lenox town,Massachusetts,5025,5078,5074,5058,5053,5038,4996,4988
061,25,003,00000,42460,00000,1,A,Monterey town,Massachusetts,961,961,960,957,957,954,953,948
