new_surgery_col,anes_id,n_surgeries,min,max,mean,median,std
AV_Replace,ANES_0,5.0,47.0,75.0,61.8,64.0,11.3
AV_Replace,ANES_10,8.0,46.0,116.0,69.25,56.0,25.72
AV_Replace,ANES_11,14.0,32.0,67.0,45.79,43.5,11.03
AV_Replace,ANES_12,6.0,24.0,70.0,50.67,53.0,15.16
AV_Replace,ANES_13,7.0,43.0,75.0,60.57,64.0,13.04
AV_Replace,ANES_2,2.0,58.0,60.0,59.0,59.0,1.41
AV_Replace,ANES_3,7.0,38.0,65.0,49.71,48.0,10.0
AV_Replace,ANES_4,6.0,22.0,124.0,72.33,68.5,33.09
AV_Replace,ANES_5,8.0,51.0,85.0,67.38,65.0,12.36
AV_Replace,ANES_6,7.0,59.0,125.0,80.71,81.0,22.41
AV_Replace,ANES_7,2.0,52.0,84.0,68.0,68.0,22.63
AV_Replace,ANES_8,14.0,43.0,78.0,58.79,58.5,11.06
AV_Replace,ANES_9,6.0,52.0,79.0,62.0,60.5,9.78
CABG,ANES_0,25.0,44.0,90.0,66.28,67.0,12.02
CABG,ANES_10,73.0,35.0,102.0,62.38,60.0,13.42
CABG,ANES_11,54.0,34.0,88.0,52.3,50.5,10.91
CABG,ANES_12,24.0,40.0,78.0,58.79,58.0,9.18
CABG,ANES_13,23.0,36.0,228.0,73.52,67.0,36.52
CABG,ANES_14,23.0,48.0,96.0,62.78,61.0,11.31
CABG,ANES_2,28.0,48.0,91.0,62.71,62.5,9.99
CABG,ANES_3,77.0,35.0,139.0,54.1,53.0,16.12
CABG,ANES_4,28.0,42.0,92.0,65.93,67.5,12.83
CABG,ANES_5,57.0,13.0,134.0,72.09,73.0,19.33
CABG,ANES_6,85.0,29.0,120.0,67.07,65.0,16.05
CABG,ANES_7,20.0,39.0,106.0,64.35,64.0,14.39
CABG,ANES_8,48.0,34.0,90.0,59.38,58.5,11.57
CABG,ANES_9,40.0,38.0,86.0,60.48,60.5,10.6
TAVR,ANES_10,3.0,44.0,87.0,59.67,48.0,23.76
TAVR,ANES_11,2.0,26.0,46.0,36.0,36.0,14.14
TAVR,ANES_12,2.0,53.0,85.0,69.0,69.0,22.63
TAVR,ANES_13,2.0,61.0,77.0,69.0,69.0,11.31
TAVR,ANES_4,4.0,26.0,32.0,30.25,31.5,2.87
TAVR,ANES_6,6.0,20.0,84.0,39.33,29.0,24.7
TAVR,ANES_7,2.0,32.0,121.0,76.5,76.5,62.93
