Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
M,45,1.44903689,2.289757735,0.149236691,1.597028518,1.690593749,1.830303285,2.053702326,2.289757735,2.515338948,2.710846705,2.824861387,2.89780918
M,45.5,1.31794165,2.38617219,0.144790131,1.702957417,1.792954672,1.928805392,2.149314246,2.38617219,2.615766477,2.817044967,2.935328776,3.011338317
M,46.5,1.041730589,2.587097922,0.1365472,1.918742401,2.00306056,2.132607345,2.34835311,2.587097922,2.824925474,3.038262787,3.165635227,3.248240003
M,47.5,0.756615683,2.797952593,0.129156077,2.139283471,2.219514291,2.344442385,2.556834051,2.797952593,3.044241159,3.270147404,3.407200737,3.49693518
M,48.5,0.472617587,3.017679791,0.122589498,2.364025965,2.441421905,2.563170915,2.773593907,3.017679791,3.272646214,3.511467362,3.65864093,3.755928383
M,49.5,0.197455933,3.245225583,0.116802688,2.59243106,2.667982282,2.78776291,2.997514515,3.245225583,3.509103506,3.761071952,3.918675144,4.023835077
M,50.5,-0.063272822,3.479567767,0.111734963,2.823966844,2.89846365,3.017289051,3.227549277,3.479567767,3.752613117,4.01788174,4.18611338,4.299368538
M,51.5,-0.305663778,3.719739648,0.107316407,3.058104103,3.132186651,3.250908274,3.462735881,3.719739648,4.002224198,4.280884515,4.459845507,4.581326217
M,52.5,-0.527210764,3.964838222,0.10347453,3.294322225,3.368517223,3.487856107,3.702195087,3.964838222,4.257039544,4.549132322,4.738836361,4.868585555
M,53.5,-0.726356263,4.214033476,0.100139369,3.532109837,3.606859589,3.727435106,3.94512977,4.214033476,4.516224426,4.821741654,5.022119957,5.160094928
M,54.5,-0.902380499,4.466562625,0.097246097,3.770975175,3.846657516,3.969008144,4.190815779,4.466562625,4.779002851,5.097890522,5.308799266,5.454877316
M,55.5,-1.055126826,4.721730669,0.09473644,4.010448329,4.087392272,4.211993219,4.43859789,4.721730669,5.044659815,5.376817878,5.598043337,5.752026649
M,56.5,-1.184933443,4.978903744,0.092558749,4.250088071,4.328584525,4.455860069,4.687882702,4.978903744,5.312536448,5.65782066,5.889087035,6.050711037
M,57.5,-1.292531809,5.237504753,0.09066765,4.489485537,4.569794994,4.700127546,4.938133749,5.237504753,5.582026947,5.940251499,6.181229894,6.350173518
M,58.5,-1.378973111,5.497008915,0.089023438,4.728267233,4.810625098,4.94436155,5.188867126,5.497008915,5.85257519,6.22351642,6.473835067,6.649732739
M,59.5,-1.445563111,5.756939907,0.087591418,4.966096999,5.050717205,5.188173227,5.439647821,5.756939907,6.123671792,6.507072866,6.766328167,6.94878282
M,60.5,-1.49380121,6.016866693,0.086341291,5.202677038,5.289754427,5.431217262,5.690086611,6.016866693,6.394851791,6.790428163,7.058196003,7.246792315
M,61.5,-1.525332827,6.276400575,0.085246598,5.437748497,5.527460202,5.673190232,5.939837222,6.276400575,6.66569255,7.073138226,7.348985362,7.543302768
M,62.5,-1.541839648,6.535195541,0.084284401,5.671089001,5.763595946,5.91382859,6.18859526,6.535195541,6.935815081,7.354807872,7.638300762,7.837923511
M,63.5,-1.545098045,6.792942366,0.083434649,5.902515543,5.997962236,6.152907479,6.436093976,6.792942366,7.204878803,7.635088323,7.925804423,8.130333399
M,64.5,-1.536863318,7.049370425,0.08268004,6.131880558,6.230395557,6.390238592,6.682104069,7.049370425,7.472584314,7.9136782,8.211213607,8.420274027
M,65.5,-1.518786093,7.304248994,0.082005843,6.359068402,6.460765369,6.625668165,6.926433317,7.304248994,7.738675499,8.190324128,8.494298133,8.707543698
M,66.5,-1.49249029,7.557381995,0.081399411,6.583997561,6.688974915,6.859075839,7.168922842,7.557381995,8.002934684,8.46481824,8.774880112,8.991998822
M,67.5,-1.459487925,7.808610136,0.080850107,6.806616368,6.914957848,7.090372671,7.409447317,7.808610136,8.26518536,8.736998815,9.052831095,9.27354736
M,68.5,-1.421167427,8.057810266,0.08034908,7.026901165,7.138676485,7.319499566,7.647913807,8.057810266,8.525291839,9.006749431,9.328070124,9.552145587
M,69.5,-1.378835366,8.304892397,0.079888977,7.244856495,7.360121388,7.54642602,7.884259416,8.304892397,8.783156413,9.273996989,9.600562566,9.827797569
M,70.5,-1.333634661,8.549802669,0.079463915,7.460510099,7.579307642,7.771148283,8.118452209,8.549802669,9.038722435,9.53871203,9.870316803,10.10054839
M,71.5,-1.286605147,8.792519752,0.079069193,7.67391364,7.796274848,7.993688292,8.350488663,8.792519752,9.291970609,9.800906186,10.13738322,10.37048464
M,72.5,-1.238665517,9.033054944,0.07870118,7.885140184,8.011085035,8.214092237,8.580393153,9.033054944,9.542918966,10.06063106,10.40185184,10.63773097
M,73.5,-1.19066716,9.271448675,0.078357096,8.094284811,8.223822595,8.432429492,8.808215482,9.271448675,9.791619211,10.31797568,10.66385133,10.90245061
M,74.5,-1.143316882,9.507773605,0.078035021,8.301459453,8.434590571,8.648791006,9.034032141,9.507773605,10.03815952,10.57306631,10.92354547,11.16483888
M,75.5,-1.097263403,9.742129356,0.077733651,8.506795026,8.643511567,8.863288423,9.257942887,9.742129356,10.28265908,10.82606321,11.18113275,11.42512564
M,76.5,-1.053083813,9.974642178,0.077452242,8.710439238,8.850725924,9.076052776,9.480070094,9.974642178,10.52526749,11.07715916,11.43684424,11.68357247
M,77.5,-1.011294273,10.20546331,0.077190512,8.912555531,9.056390619,9.287233301,9.700557381,10.20546331,10.76616287,11.32657755,11.69094178,11.94047127
M,78.5,-0.972360231,10.43476723,0.076948562,9.113322086,9.260678201,9.496996252,9.91956818,10.43476723,11.00554988,11.57457043,11.94371638,12.19614287
M,79.5,-0.936705887,10.66274993,0.076726804,9.312930869,9.463775754,9.705523721,10.13728428,10.66274993,11.24365775,11.8214166,12.19548652,12.45093578
M,80.5,-0.904722736,10.88962699,0.076525901,9.511586717,9.665883884,9.913012453,10.35390433,10.88962699,11.48073815,12.06741962,12.44659654,12.70522492
M,81.5,-0.876777097,11.11563177,0.076346711,9.709506461,9.867215725,10.11967266,10.5696423,11.11563177,11.71706321,12.31290587,12.69741505,12.9594104
M,82.5,-0.853216568,11.34101346,0.076190236,9.90691806,10.06799596,10.32572684,10.78472594,11.34101346,11.95292329,12.55822265,12.94833337,13.21391629
M,83.5,-0.834375406,11.56603512,0.076057579,10.10405976,10.26845983,10.53140858,10.99939524,11.56603512,12.18862496,12.8037362,13.19976391,13.46918953
M,84.5,-0.820578855,11.79097176,0.075949901,10.30117927,10.46885221,10.73696139,11.21390081,11.79097176,12.42448873,13.04982974,13.45213869,13.7256987
M,85.5,-0.81214646,12.01610828,0.075868383,10.49853295,10.66942663,10.94263752,11.42850232,12.01610828,12.66084697,13.29690152,13.70590772,13.98393299
M,86.5,-0.809394398,12.24173753,0.075814185,10.69638497,10.87044435,11.14869679,11.64346692,12.24173753,12.89804158,13.5453628,13.96153752,14.24440109
M,87.5,-0.812636889,12.46815824,0.075788413,10.89500657,11.07217344,11.35540546,11.85906768,12.46815824,13.13642183,13.79563586,14.21950956,14.50763019
M,88.5,-0.822186712,12.69567298,0.075792075,11.0946752,11.27488782,11.56303507,12.07558197,12.69567298,13.37634196,14.04815191,14.48031873,14.77416503
