Date,12-15,16-17,18-24,25-39,40-49,50-64,65-74,75+
6/22/21,38463,13605,38319,67698,39850,55790,19864,10984
6/21/21,38789,13117,36163,67482,42119,51342,13618,6683
6/20/21,35776,11713,34815,60440,33131,41214,10601,5241
6/19/21,45182,14822,41725,78864,46853,60379,17493,9754
6/18/21,62010,20344,58610,102401,57723,75305,24081,13722
6/17/21,56403,18801,52361,90658,51971,68370,23003,14606
6/16/21,109668,35705,100990,175797,104621,139419,44112,24116
6/15/21,46014,13998,40952,76721,41992,52690,15683,8135
6/14/21,64460,18422,52533,97341,58015,70539,18408,9276
6/13/21,53229,16469,51932,97077,56311,72382,17197,9729
6/12/21,71484,19537,56774,102352,58319,76246,23853,13820
6/11/21,99113,26697,77005,133229,75999,98085,31411,17200
6/10/21,52736,14689,38981,68553,37643,48213,15305,8218
6/9/21,53893,14614,42673,73482,43383,58908,20095,11390
6/8/21,53464,13396,35340,66151,39166,48640,15338,8845
6/7/21,78539,19481,49203,91484,54025,66160,16632,8521
6/6/21,93295,21584,57354,106637,60540,75569,19604,10219
6/5/21,100758,23841,64458,120410,69498,90025,26481,14475
6/4/21,69080,22319,68843,121579,69755,93407,27648,18183
6/3/21,84296,27556,79684,141657,83486,113969,34455,20752
6/2/21,49324,14337,41773,73531,43713,57118,18130,10712
6/1/21,32378,10343,30232,55281,32523,40205,10589,5642
5/31/21,36151,11936,32071,59976,35829,44877,9885,4761
5/30/21,76644,21963,58840,115481,70867,87031,21877,10557
5/29/21,96056,24977,68374,125461,74152,94851,26284,14010
5/28/21,129120,34813,96160,166794,96487,125194,36759,20545
5/27/21,106505,28314,82084,138694,80149,106535,32263,17748
5/26/21,134393,30986,85039,136964,80274,80013,24572,12589
5/25/21,127633,29013,78661,139439,86609,115271,33973,19092
5/24/21,100085,20143,49604,89145,56036,68743,17192,8297
5/23/21,152211,28283,64409,120806,73836,90516,20253,9727
5/22/21,171538,33724,87789,165849,101216,131880,35524,19098
5/21/21,262052,50638,141214,249656,146573,192635,53464,27956
5/20/21,261050,45342,121598,210825,125077,165407,49956,27717
5/19/21,238646,36161,103767,186000,115363,153866,44045,22934
5/18/21,201266,28818,84353,147769,89550,120603,35233,18400
5/17/21,151589,18678,53045,101678,64317,84167,24746,12048
5/16/21,218405,24972,61584,119242,74854,98935,25482,19732
5/15/21,209799,31456,91351,174055,105486,145108,44301,25712
5/14/21,166756,34880,110500,201846,124925,177872,56881,30415
5/13/21,30735,27473,86973,155425,94534,137114,42895,24196
5/12/21,7250,26457,93471,167161,105165,154119,49065,26191
5/11/21,2527,22672,75333,134603,84660,120628,35778,19779
5/10/21,2614,26305,87172,167791,102811,141854,36524,18779
5/9/21,3372,33222,102306,198018,120042,161761,38385,19363
5/8/21,3126,36438,112576,215397,132123,188404,49980,26626
5/7/21,3077,37622,121446,232099,148547,217973,61928,34648
5/6/21,3844,47119,141841,275481,172986,263105,86245,45041
5/5/21,3538,41347,129105,275656,181524,293819,173643,97045
5/4/21,2115,29259,85174,168898,107559,157101,50516,28195
5/3/21,1558,19335,49823,97377,64333,90325,25553,15104
5/2/21,2562,27467,66221,125579,78999,104837,22695,10839
5/1/21,3861,43362,115140,221161,141111,192642,46725,24509
4/30/21,4851,62943,185751,357386,230895,323494,84275,46141
4/29/21,3340,49572,144249,279453,178854,263895,77363,42337
4/28/21,3640,49770,137905,277460,178836,259009,78262,44081
4/27/21,3020,44362,126023,249560,160061,219732,57396,30397
4/26/21,3053,44190,100418,202891,129507,172985,39856,19194
4/25/21,4785,64595,133402,272440,168205,230916,49026,22938
4/24/21,4484,64628,180396,361158,232537,311884,64928,33424
4/23/21,4576,66067,187723,374038,239221,331746,87339,47208
4/22/21,3769,61561,185919,368768,234298,331594,94624,49304
4/21/21,3754,61729,183435,354939,227569,305859,75556,39628
4/20/21,2977,52675,152606,309517,200551,274414,70747,37122
4/19/21,2981,43958,116966,246960,157521,218612,61709,33327
4/18/21,3883,57513,139198,289092,185323,231553,43882,20981
4/17/21,4366,77169,236184,483941,306735,428069,94307,47146
4/16/21,3673,63913,233660,471571,301573,445736,102008,52899
4/15/21,2988,62172,244755,513173,337607,519101,138754,66837
4/14/21,2742,58704,230037,481708,312524,486181,114101,58673
4/13/21,1763,47758,209657,443632,297939,479801,147041,70992
4/12/21,1306,45588,178634,377050,245136,364347,78194,37834
4/11/21,1929,47977,188887,420139,263298,414649,90846,46112
4/10/21,2282,50784,244772,528864,340928,572630,123974,62652
4/9/21,1963,51871,268829,582095,385811,670934,171612,89233
4/8/21,1690,51225,259751,567197,379597,662341,152773,76759
4/7/21,1383,40940,215241,489527,340085,593494,134460,68422
4/6/21,1261,33612,164135,396775,282207,491478,110725,55244
4/5/21,2786,71242,352663,907171,700741,1261726,252027,121179
4/4/21,2,109,282,2729,2044,3695,1470,495
4/3/21,1,471,1514,7334,5804,9819,3974,1510
4/2/21,1086,34381,197111,511991,394867,740086,172724,86728
4/1/21,944,29187,182368,473407,372942,741914,227149,125561
3/31/21,805,23916,145915,381173,310752,645067,163508,78540
3/30/21,666,19256,112420,308280,239515,521841,139290,71002
3/29/21,483,13109,74350,199232,154612,339564,77852,36837
3/28/21,599,17139,102243,283798,227756,460511,114525,52378
3/27/21,602,17393,131023,361085,293385,711222,176579,86289
3/26/21,601,17650,144662,393748,329954,772583,219356,108910
3/25/21,573,16852,138693,391164,333146,792557,242560,123623
3/24/21,440,12152,106733,310115,270869,677323,210255,102758
3/23/21,466,11797,96384,287585,251838,603960,203440,98988
3/22/21,329,7527,64939,198926,163435,389940,167784,81090
3/21/21,287,8919,84821,254129,206417,494482,155821,68944
3/20/21,383,11680,122097,359840,291896,755553,251514,117394
3/19/21,306,10437,111593,339218,281272,803861,283531,140980
3/18/21,242,8365,86799,268677,222868,612741,260777,117581
3/17/21,270,8454,90164,276990,228112,643133,267266,129926
3/16/21,166,5801,69096,228682,187963,507995,249146,117579
3/15/21,235,4824,56652,176019,137916,343310,179164,81893
3/14/21,207,5127,64353,208634,162901,406142,238387,102262
3/13/21,144,5877,78079,260639,215299,588013,333670,149711
3/12/21,158,6220,88383,306045,256985,721852,502054,325152
3/11/21,114,5272,69868,238025,199545,580354,389230,182812
3/10/21,87,3866,56807,204021,172611,480608,364252,177718
3/9/21,73,3474,47195,160365,130185,375160,321511,146467
3/8/21,68,3146,42359,138459,105481,263998,236795,109203
3/7/21,63,3152,41960,151928,122226,326937,268638,113319
3/6/21,77,3251,51890,189216,156060,411720,419213,194252
3/5/21,83,3913,55208,195928,162721,426065,536702,260388
3/4/21,69,2808,41448,149781,124539,331062,474294,228940
3/3/21,51,1954,28844,110964,93521,250757,387391,191286
3/2/21,56,1769,29051,114155,96289,227410,347124,157423
3/1/21,73,2015,26382,101845,82597,181865,293807,147094
2/28/21,67,2106,28129,111392,92767,213842,342134,153200
2/27/21,61,2145,35812,140991,114513,263343,441361,232873
2/26/21,61,1537,29704,114730,95424,241465,447375,241926
2/25/21,69,2077,25619,100675,83930,202919,381447,219351
2/24/21,43,1424,22104,84013,65482,149462,295090,174132
2/23/21,37,1014,17345,67353,52963,117065,242957,141482
2/22/21,26,1146,11534,40120,33301,72174,126717,75036
2/21/21,26,1167,16019,53318,41009,89399,171794,109318
2/20/21,48,1046,21457,78268,62478,138353,284617,187997
2/19/21,37,1014,20633,76832,60989,137347,291448,186286
2/18/21,39,1264,22668,83540,67108,148287,364108,233583
2/17/21,35,791,20225,66639,52381,118405,273606,182390
2/16/21,13,706,13031,50673,41517,94930,216642,144944
2/15/21,23,612,7936,27209,22638,50406,172957,107413
2/14/21,21,807,19089,72913,58509,122447,303867,196898
2/13/21,45,1198,29154,112496,89427,189475,427413,304525
2/12/21,31,1201,27488,104749,83228,174669,425367,320024
2/11/21,45,953,22524,87599,71819,152929,378593,283566
2/10/21,21,906,18259,69892,57061,120777,304390,246882
2/9/21,26,940,20302,77379,61298,127817,286201,240270
2/8/21,31,1195,14997,53715,41912,84636,178981,154042
2/7/21,24,882,18669,71257,53456,101538,236653,211906
2/6/21,27,1049,26301,98975,77149,158450,387826,330210
2/5/21,24,1209,30274,112419,89082,186125,412235,381830
2/4/21,22,722,20590,79817,63307,123600,314859,289015
2/3/21,21,799,20697,81721,62244,121368,272351,265532
2/2/21,20,557,13406,52665,41919,79920,207686,207620
2/1/21,12,541,10776,39433,30182,59244,123992,149109
1/31/21,22,948,20572,74394,57212,107103,231709,261575
1/30/21,26,1098,30112,116124,87432,165485,325831,359315
1/29/21,17,894,29648,115790,87723,164885,327392,382825
1/28/21,26,1023,29925,112618,86632,163649,319148,362421
1/27/21,27,713,25028,93789,72185,131060,294076,306275
1/26/21,20,705,22049,82027,62529,115053,208958,245758
1/25/21,15,646,15999,61501,47050,90138,161377,180887
1/24/21,9,850,23586,87128,66488,115104,190043,255879
1/23/21,39,1200,35903,148118,111251,192676,293134,352151
1/22/21,20,996,32500,126616,94986,169872,286241,358511
1/21/21,26,975,36031,139426,104643,180794,259972,317834
1/20/21,18,619,25990,105822,79781,138724,166757,213529
1/19/21,17,483,18651,73475,56043,100240,156093,184483
1/18/21,14,410,13324,54284,39236,66382,79868,108015
1/17/21,10,858,24208,91808,64293,108308,105039,157391
1/16/21,21,696,34263,150352,108527,175981,168654,214334
1/15/21,18,604,39055,164358,118939,187147,198185,233139
1/14/21,18,729,35150,147152,105645,165064,122460,190598
1/13/21,10,479,31421,129068,88070,133149,102408,137438
1/12/21,12,470,25151,111096,79150,125048,92798,122399
1/11/21,1,375,14024,55429,39351,65338,47628,63269
1/10/21,4,378,18165,81888,54467,89047,41224,64052
1/9/21,7,485,29013,135989,94244,153034,111282,121502
1/8/21,13,326,28579,139691,97783,154967,85294,88213
1/7/21,24,379,29569,146444,101166,162100,77014,82941
1/6/21,10,402,24888,127538,89688,139966,60272,57851
1/5/21,11,227,20008,102039,69955,107093,41748,40180
1/4/21,3,81,7360,35461,24274,36743,12187,15730
1/3/21,2,132,7717,39498,27846,44843,18116,39290
1/2/21,2,143,6720,36221,25419,41918,16364,20038
1/1/21,5,222,17288,98883,67628,102259,28703,25824
12/31/20,7,248,25272,146161,101570,155908,46089,33389
12/30/20,7,155,19744,120694,82724,128106,38184,25877
12/29/20,4,118,16567,107333,73311,109172,28669,15208
12/28/20,2,56,5063,33574,22683,32138,8609,4621
12/27/20,4,37,4266,27547,18602,26424,6311,2650
12/26/20,2,61,3393,19644,12291,20107,6744,8521
12/25/20,3,59,7831,56884,37449,53841,12630,7456
12/24/20,2,120,16534,129759,85690,119245,26728,11533
12/23/20,7,76,14371,113118,72986,100446,21189,5787
12/22/20,2,45,9563,81608,51256,68465,13832,2857
12/21/20,3,30,4192,41738,25060,31018,6344,1384
12/20/20,4,29,5279,50055,29238,36669,7135,1398
12/19/20,5,28,8168,78719,49284,64449,12431,2033
12/18/20,2,20,4950,47045,28999,37473,7067,1202
12/17/20,2,4,2206,21765,13029,16116,3138,520
12/16/20,0,0,522,5304,3225,3942,723,122
