BB2,CCW
BENE_ID,BENE_ID
BETOS_CD,BETOS_CD
CARR_CLM_CASH_DDCTBL_APLD_AMT,CARR_CLM_CASH_DDCTBL_APLD_AMT
CARR_CLM_CNTL_NUM,
CARR_CLM_ENTRY_CD,CARR_CLM_ENTRY_CD
CARR_CLM_HCPCS_YR_CD,CARR_CLM_HCPCS_YR_CD
CARR_CLM_PMT_DNL_CD,CARR_CLM_PMT_DNL_CD
CARR_CLM_PRMRY_PYR_PD_AMT,CARR_CLM_PRMRY_PYR_PD_AMT
CARR_CLM_PRVDR_ASGNMT_IND_SW,CARR_CLM_PRVDR_ASGNMT_IND_SW
CARR_NUM,CARR_NUM
CLM_CLNCL_TRIL_NUM,CLM_CLNCL_TRIL_NUM
CLM_DISP_CD,CLM_DISP_CD
CLM_FROM_DT,CLM_FROM_DT
CLM_GRP_ID,
CLM_ID,CLM_ID
CLM_PMT_AMT,CLM_PMT_AMT
CLM_THRU_DT,CLM_THRU_DT
DMERC_LINE_MTUS_CD,DMERC_LINE_MTUS_CD
DMERC_LINE_MTUS_CNT,DMERC_LINE_MTUS_CNT
DMERC_LINE_PRCNG_STATE_CD,DMERC_LINE_PRCNG_STATE_CD
DMERC_LINE_SCRN_SVGS_AMT,DMERC_LINE_SCRN_SVGS_AMT
DMERC_LINE_SUPPLR_TYPE_CD,DMERC_LINE_SUPPLR_TYPE_CD
DML_IND,
FINAL_ACTION,
HCPCS_1ST_MDFR_CD,HCPCS_1ST_MDFR_CD
HCPCS_2ND_MDFR_CD,HCPCS_2ND_MDFR_CD
HCPCS_3RD_MDFR_CD,HCPCS_3RD_MDFR_CD
HCPCS_4TH_MDFR_CD,HCPCS_4TH_MDFR_CD
HCPCS_CD,HCPCS_CD
ICD_DGNS_CD1,ICD_DGNS_CD1
ICD_DGNS_CD10,ICD_DGNS_CD10
ICD_DGNS_CD11,ICD_DGNS_CD11
ICD_DGNS_CD12,ICD_DGNS_CD12
ICD_DGNS_CD2,ICD_DGNS_CD2
ICD_DGNS_CD3,ICD_DGNS_CD3
ICD_DGNS_CD4,ICD_DGNS_CD4
ICD_DGNS_CD5,ICD_DGNS_CD5
ICD_DGNS_CD6,ICD_DGNS_CD6
ICD_DGNS_CD7,ICD_DGNS_CD7
ICD_DGNS_CD8,ICD_DGNS_CD8
ICD_DGNS_CD9,ICD_DGNS_CD9
ICD_DGNS_VRSN_CD1,ICD_DGNS_VRSN_CD1
ICD_DGNS_VRSN_CD10,ICD_DGNS_VRSN_CD10
ICD_DGNS_VRSN_CD11,ICD_DGNS_VRSN_CD11
ICD_DGNS_VRSN_CD12,ICD_DGNS_VRSN_CD12
ICD_DGNS_VRSN_CD2,ICD_DGNS_VRSN_CD2
ICD_DGNS_VRSN_CD3,ICD_DGNS_VRSN_CD3
ICD_DGNS_VRSN_CD4,ICD_DGNS_VRSN_CD4
ICD_DGNS_VRSN_CD5,ICD_DGNS_VRSN_CD5
ICD_DGNS_VRSN_CD6,ICD_DGNS_VRSN_CD6
ICD_DGNS_VRSN_CD7,ICD_DGNS_VRSN_CD7
ICD_DGNS_VRSN_CD8,ICD_DGNS_VRSN_CD8
ICD_DGNS_VRSN_CD9,ICD_DGNS_VRSN_CD9
LINE_1ST_EXPNS_DT,LINE_1ST_EXPNS_DT
LINE_ALOWD_CHRG_AMT,LINE_ALOWD_CHRG_AMT
LINE_BENE_PMT_AMT,LINE_BENE_PMT_AMT
LINE_BENE_PRMRY_PYR_CD,LINE_BENE_PRMRY_PYR_CD
LINE_BENE_PRMRY_PYR_PD_AMT,LINE_BENE_PRMRY_PYR_PD_AMT
LINE_BENE_PTB_DDCTBL_AMT,LINE_BENE_PTB_DDCTBL_AMT
LINE_CMS_TYPE_SRVC_CD,LINE_CMS_TYPE_SRVC_CD
LINE_HCT_HGB_RSLT_NUM,LINE_HCT_HGB_RSLT_NUM
LINE_ICD_DGNS_VRSN_CD,LINE_ICD_DGNS_VRSN_CD
LINE_LAST_EXPNS_DT,LINE_LAST_EXPNS_DT
LINE_NCH_PMT_AMT,LINE_NCH_PMT_AMT
LINE_NDC_CD,LINE_NDC_CD
LINE_NUM,LINE_NUM
LINE_PLACE_OF_SRVC_CD,LINE_PLACE_OF_SRVC_CD
LINE_PMT_80_100_CD,LINE_PMT_80_100_CD
LINE_PRCSG_IND_CD,LINE_PRCSG_IND_CD
LINE_PRMRY_ALOWD_CHRG_AMT,LINE_PRMRY_ALOWD_CHRG_AMT
LINE_PRVDR_PMT_AMT,LINE_PRVDR_PMT_AMT
LINE_SBMTD_CHRG_AMT,LINE_SBMTD_CHRG_AMT
LINE_SERVICE_DEDUCTIBLE,LINE_SERVICE_DEDUCTIBLE
LINE_SRVC_CNT,LINE_SRVC_CNT
NCH_CARR_CLM_ALOWD_AMT,NCH_CARR_CLM_ALOWD_AMT
NCH_CARR_CLM_SBMTD_CHRG_AMT,NCH_CARR_CLM_SBMTD_CHRG_AMT
NCH_CLM_BENE_PMT_AMT,NCH_CLM_BENE_PMT_AMT
NCH_CLM_PRVDR_PMT_AMT,NCH_CLM_PRVDR_PMT_AMT
NCH_CLM_TYPE_CD,NCH_CLM_TYPE_CD
NCH_NEAR_LINE_REC_IDENT_CD,NCH_NEAR_LINE_REC_IDENT_CD
NCH_WKLY_PROC_DT,NCH_WKLY_PROC_DT
PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD
PRNCPAL_DGNS_VRSN_CD,PRNCPAL_DGNS_VRSN_CD
PRTCPTNG_IND_CD,PRTCPTNG_IND_CD
PRVDR_NPI,PRVDR_NPI
PRVDR_NUM,PRVDR_NUM
PRVDR_SPCLTY,PRVDR_SPCLTY
PRVDR_STATE_CD,PRVDR_STATE_CD
RFR_PHYSN_NPI,RFR_PHYSN_NPI
RFR_PHYSN_UPIN,RFR_PHYSN_UPIN
TAX_NUM,TAX_NUM
