BB2,CCW
ADMTG_DGNS_CD,ADMTG_DGNS_CD
ADMTG_DGNS_VRSN_CD,
AT_PHYSN_NPI,AT_PHYSN_NPI
AT_PHYSN_UPIN,AT_PHYSN_UPIN
BENE_ID,BENE_ID
BENE_LRD_USED_CNT,BENE_LRD_USED_CNT
BENE_TOT_COINSRNC_DAYS_CNT,BENE_TOT_COINSRNC_DAYS_CNT
CLAIM_QUERY_CODE,CLAIM_QUERY_CODE
CLM_ADMSN_DT,CLM_ADMSN_DT
CLM_DRG_CD,CLM_DRG_CD
CLM_DRG_OUTLIER_STAY_CD,CLM_DRG_OUTLIER_STAY_CD
CLM_E_POA_IND_SW1,CLM_E_POA_IND_SW1
CLM_E_POA_IND_SW10,CLM_E_POA_IND_SW10
CLM_E_POA_IND_SW11,CLM_E_POA_IND_SW11
CLM_E_POA_IND_SW12,CLM_E_POA_IND_SW12
CLM_E_POA_IND_SW2,CLM_E_POA_IND_SW2
CLM_E_POA_IND_SW3,CLM_E_POA_IND_SW3
CLM_E_POA_IND_SW4,CLM_E_POA_IND_SW4
CLM_E_POA_IND_SW5,CLM_E_POA_IND_SW5
CLM_E_POA_IND_SW6,CLM_E_POA_IND_SW6
CLM_E_POA_IND_SW7,CLM_E_POA_IND_SW7
CLM_E_POA_IND_SW8,CLM_E_POA_IND_SW8
CLM_E_POA_IND_SW9,CLM_E_POA_IND_SW9
CLM_FAC_TYPE_CD,CLM_FAC_TYPE_CD
CLM_FREQ_CD,CLM_FREQ_CD
CLM_FROM_DT,CLM_FROM_DT
CLM_GRP_ID,
CLM_ID,CLM_ID
CLM_IP_ADMSN_TYPE_CD,CLM_IP_ADMSN_TYPE_CD
CLM_LINE_NUM,CLM_LINE_NUM
CLM_MCO_PD_SW,CLM_MCO_PD_SW
CLM_MDCR_NON_PMT_RSN_CD,CLM_MDCR_NON_PMT_RSN_CD
CLM_NON_UTLZTN_DAYS_CNT,CLM_NON_UTLZTN_DAYS_CNT
CLM_PASS_THRU_PER_DIEM_AMT,CLM_PASS_THRU_PER_DIEM_AMT
CLM_PMT_AMT,CLM_PMT_AMT
CLM_POA_IND_SW1,CLM_POA_IND_SW1
CLM_POA_IND_SW10,CLM_POA_IND_SW10
CLM_POA_IND_SW11,CLM_POA_IND_SW11
CLM_POA_IND_SW12,CLM_POA_IND_SW12
CLM_POA_IND_SW13,CLM_POA_IND_SW13
CLM_POA_IND_SW14,CLM_POA_IND_SW14
CLM_POA_IND_SW15,CLM_POA_IND_SW15
CLM_POA_IND_SW16,CLM_POA_IND_SW16
CLM_POA_IND_SW17,CLM_POA_IND_SW17
CLM_POA_IND_SW18,CLM_POA_IND_SW18
CLM_POA_IND_SW19,CLM_POA_IND_SW19
CLM_POA_IND_SW2,CLM_POA_IND_SW2
CLM_POA_IND_SW20,CLM_POA_IND_SW20
CLM_POA_IND_SW21,CLM_POA_IND_SW21
CLM_POA_IND_SW22,CLM_POA_IND_SW22
CLM_POA_IND_SW23,CLM_POA_IND_SW23
CLM_POA_IND_SW24,CLM_POA_IND_SW24
CLM_POA_IND_SW25,CLM_POA_IND_SW25
CLM_POA_IND_SW3,CLM_POA_IND_SW3
CLM_POA_IND_SW4,CLM_POA_IND_SW4
CLM_POA_IND_SW5,CLM_POA_IND_SW5
CLM_POA_IND_SW6,CLM_POA_IND_SW6
CLM_POA_IND_SW7,CLM_POA_IND_SW7
CLM_POA_IND_SW8,CLM_POA_IND_SW8
CLM_POA_IND_SW9,CLM_POA_IND_SW9
CLM_PPS_CPTL_DRG_WT_NUM,CLM_PPS_CPTL_DRG_WT_NUM
CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT,CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT
CLM_PPS_CPTL_EXCPTN_AMT,CLM_PPS_CPTL_EXCPTN_AMT
CLM_PPS_CPTL_FSP_AMT,CLM_PPS_CPTL_FSP_AMT
CLM_PPS_CPTL_IME_AMT,CLM_PPS_CPTL_IME_AMT
CLM_PPS_CPTL_OUTLIER_AMT,CLM_PPS_CPTL_OUTLIER_AMT
CLM_PPS_IND_CD,CLM_PPS_IND_CD
CLM_PPS_OLD_CPTL_HLD_HRMLS_AMT,CLM_PPS_OLD_CPTL_HLD_HRMLS_AMT
CLM_SRC_IP_ADMSN_CD,CLM_SRC_IP_ADMSN_CD
CLM_SRVC_CLSFCTN_TYPE_CD,CLM_SRVC_CLSFCTN_TYPE_CD
CLM_THRU_DT,CLM_THRU_DT
CLM_TOT_CHRG_AMT,CLM_TOT_CHRG_AMT
