BB2,CCW
ADJSTMT_DLTN_CD,ADJSTMT_DLTN_CD
BENE_ID,BENE_ID
BRND_GNRC_CD,BRND_GNRC_CD
CLM_GRP_ID,
CMPND_CD,CMPND_CD
CTSTRPHC_CVRG_CD,CTSTRPHC_CVRG_CD
CVRD_D_PLAN_PD_AMT,CVRD_D_PLAN_PD_AMT
DAW_PROD_SLCTN_CD,DAW_PROD_SLCTN_CD
DAYS_SUPLY_NUM,DAYS_SUPLY_NUM
DML_IND,
DRUG_CVRG_STUS_CD,DRUG_CVRG_STUS_CD
DSPNSNG_STUS_CD,DSPNSNG_STUS_CD
FILL_NUM,FILL_NUM
FINAL_ACTION,
GDC_ABV_OOPT_AMT,GDC_ABV_OOPT_AMT
GDC_BLW_OOPT_AMT,GDC_BLW_OOPT_AMT
LICS_AMT,LICS_AMT
NCVRD_PLAN_PD_AMT,NCVRD_PLAN_PD_AMT
NSTD_FRMT_CD,NSTD_FRMT_CD
OTHR_TROOP_AMT,OTHR_TROOP_AMT
PDE_ID,PDE_ID
PD_DT,PD_DT
PHRMCY_SRVC_TYPE_CD,PHRMCY_SRVC_TYPE_CD
PLAN_CNTRCT_REC_ID,PLAN_CNTRCT_REC_ID
PLAN_PBP_REC_NUM,PLAN_PBP_REC_NUM
PLRO_AMT,PLRO_AMT
PRCNG_EXCPTN_CD,PRCNG_EXCPTN_CD
PROD_SRVC_ID,PROD_SRVC_ID
PRSCRBR_ID,PRSCRBR_ID
PRSCRBR_ID_QLFYR_CD,PRSCRBR_ID_QLFYR_CD
PTNT_PAY_AMT,PTNT_PAY_AMT
PTNT_RSDNC_CD,PTNT_RSDNC_CD
QTY_DSPNSD_NUM,QTY_DSPNSD_NUM
RPTD_GAP_DSCNT_NUM,RPTD_GAP_DSCNT_NUM
RX_ORGN_CD,RX_ORGN_CD
RX_SRVC_RFRNC_NUM,RX_SRVC_RFRNC_NUM
SRVC_DT,SRVC_DT
SRVC_PRVDR_ID,
SRVC_PRVDR_ID_QLFYR_CD,
SUBMSN_CLR_CD,SUBMSN_CLR_CD
TOT_RX_CST_AMT,TOT_RX_CST_AMT
