ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
780,7,Avoca,Arkansas,512,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.02,0.01,0.05,0.12,0.22,0.19,0.25,0.07,0.02,0,0.26,0.42,0.3,0
781,7,Bella Vista,Arkansas,27999,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.03,0.02,0.07,0.09,0.15,0.23,0.15,0.16,0.04,0.03,0.12,0.4,0.28,0.18
782,7,Bentonville,Arkansas,44499,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.04,0.04,0.07,0.08,0.11,0.16,0.14,0.17,0.08,0.07,0.12,0.29,0.44,0.14
783,7,Bethel Heights,Arkansas,2490,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.03,0.02,0.12,0.05,0.26,0.19,0.12,0.11,0.03,0.01,0.34,0.41,0.21,0.02
784,7,Cave Springs,Arkansas,3076,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.02,0.02,0.07,0.02,0.16,0.17,0.13,0.18,0.08,0.11,0.09,0.43,0.33,0.13
785,7,Centerton,Arkansas,12023,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.01,0.02,0.07,0.1,0.16,0.23,0.11,0.21,0.04,0,0.08,0.48,0.32,0.1
35685,7,Cherokee City,Arkansas,42,Benton County,249672,0.495169663,0.495169663,0.895346695,0.163550578,0.020194495,0.03701256,0.023326605,0.001,0,0,0,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0.333,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.333,0.333,0.333
786,7,Decatur,Arkansas,1773,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.04,0.09,0.16,0.16,0.15,0.23,0.07,0.03,0.03,0,0.43,0.3,0.24,0.02
1240,143,Elkins,Arkansas,2946,Washington County,225477,0.50027719,0.49972281,0.870847137,0.163555485,0.035422682,0.027430736,0.01521663,0.001,0.071630366,0.070073666,0.068641147,0.080132342,0.106582933,0.077387051,0.074606279,0.068645582,0.060658072,0.055477942,0.057491451,0.052750391,0.046186529,0.037782124,0.026982796,0.018636047,0.013127725,0.013207556,0.05,0.02,0.15,0.16,0.14,0.22,0.13,0.09,0,0,0.03,0.48,0.38,0.09
787,7,Elm Springs,Arkansas,147,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.04,0.08,0.06,0.12,0.15,0.13,0.1,0.19,0.04,0.04,0.09,0.65,0.22,0.03
1241,143,Elm Springs,Arkansas,2000,Washington County,225477,0.50027719,0.49972281,0.870847137,0.163555485,0.035422682,0.027430736,0.01521663,0.001,0.071630366,0.070073666,0.068641147,0.080132342,0.106582933,0.077387051,0.074606279,0.068645582,0.060658072,0.055477942,0.057491451,0.052750391,0.046186529,0.037782124,0.026982796,0.018636047,0.013127725,0.013207556,0.04,0.08,0.06,0.12,0.15,0.13,0.1,0.19,0.04,0.04,0.09,0.65,0.22,0.03
1242,143,Farmington,Arkansas,6701,Washington County,225477,0.50027719,0.49972281,0.870847137,0.163555485,0.035422682,0.027430736,0.01521663,0.001,0.071630366,0.070073666,0.068641147,0.080132342,0.106582933,0.077387051,0.074606279,0.068645582,0.060658072,0.055477942,0.057491451,0.052750391,0.046186529,0.037782124,0.026982796,0.018636047,0.013127725,0.013207556,0.06,0.02,0.13,0.09,0.13,0.25,0.06,0.19,0.03,0,0.16,0.35,0.43,0.04
1243,143,Fayetteville,Arkansas,82830,Washington County,225477,0.50027719,0.49972281,0.870847137,0.163555485,0.035422682,0.027430736,0.01521663,0.001,0.071630366,0.070073666,0.068641147,0.080132342,0.106582933,0.077387051,0.074606279,0.068645582,0.060658072,0.055477942,0.057491451,0.052750391,0.046186529,0.037782124,0.026982796,0.018636047,0.013127725,0.013207556,0.13,0.09,0.13,0.11,0.12,0.13,0.06,0.1,0.05,0.04,0.03,0.19,0.64,0.13
788,7,Garfield,Arkansas,527,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.03,0.1,0.11,0.07,0.23,0.18,0.16,0.04,0.02,0.02,0.18,0.36,0.45,0
789,7,Gateway,Arkansas,425,Benton County,249672,0.495169663,0.504830337,0.895346695,0.163550578,0.020194495,0.03701256,0.01894085,0.001,0.071073248,0.077173251,0.076047775,0.06663142,0.057491429,0.068754206,0.077565766,0.072939697,0.068782242,0.065033324,0.063299048,0.057010798,0.048203243,0.043372905,0.032570733,0.023014195,0.015872825,0.015163895,0.01,0.09,0.14,0.08,0.23,0.15,0.13,0.1,0.02,0.01,0.04,0.78,0.17,0
