ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,MIXED,BLACK,ASIAN,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
113,113,Dorchester,South West,21438,Dorset,379600,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
114,114,Budleigh Salterton,South West,5379,Devon,746399,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
115,115,Chard,South West,13873,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
116,113,St Leonards,South West,6233,Dorset,379600,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
117,115,Wincanton,South West,6312,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
118,114,Exmouth,South West,35727,Devon,746399,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
119,114,Crediton,South West,8159,Devon,746399,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
120,115,Minehead,South West,12087,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
121,115,Glastonbury BUA,South West,8783,Somerset,560631,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
122,116,Thornbury ,South West,12459,Gloucestershire,633558,0.489,0.511,0.931,0.02,0.012,0.028,0.009,0,0,0,0,0.058,0.0605,0.0605,0.0596,0.0596,0.0596,0.068,0.068,0.068,0.0585,0.0585,0.038,0.038,0.031,0.1,0.1,0.2,0.3,0.15,0.05,0.04,0.03,0.02,0.01,0.398,0.185,0.06,0.331
