ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
35000,017,Abanda,Alabama,218,"Chambers County",34123,0.47885590364270436,0.47885590364270436,0.5787298889312193,0.020250271078158424,0.3975031503677871,0.009495061981654602,0.0032822436479793683,0.001,,,,,,,,,,,,,,,,,,,0.193,0.364,0.21600000000000003,0.0,0.14800000000000002,0.08,0.0,0.0,0.0,0.0,0.756,0.163,0.081,0.0
35001,015,Alexandria,Alabama,4000,"Calhoun County",115620,0.4822262584327971,0.4822262584327971,0.7556651098425878,0.03614426569797613,0.2117799688635184,0.008856599204289915,0.006227296315516346,0.001,,,,,,,,,,,,,,,,,,,0.073,0.013999999999999999,0.062,0.057999999999999996,0.107,0.222,0.16899999999999998,0.226,0.071,0.0,0.11199999999999999,0.306,0.262,0.21
35002,097,Axis,Alabama,1473,"Mobile County",415395,0.4776562067429796,0.4776562067429796,0.5981367132488355,0.027713381239543085,0.35501630977744075,0.020700778776826877,0.010310668159221945,0.001,,,,,,,,,,,,,,,,,,,0.08,0.0,0.03,0.152,0.29,0.264,0.048,0.099,0.037000000000000005,0.0,0.2829999999999999,0.09300000000000001,0.272,0.307
35003,055,Ballplay,Alabama,1458,"Etowah County",103057,0.4827522633105951,0.4827522633105951,0.8101536043160581,0.037144492853469435,0.15688405445530146,0.008199345992994168,0.008897988491805507,0.001,,,,,,,,,,,,,,,,,,,0.08,0.016,0.057,0.096,0.22899999999999998,0.10400000000000001,0.22399999999999998,0.11800000000000001,0.0,0.076,0.16400000000000003,0.322,0.209,0.13699999999999998
35004,059,Belgreen,Alabama,76,"Franklin County",31696,0.5,0.5,0.9140585562847047,0.16380615850580516,0.05013250883392226,0.0035966683493185263,0.017036850075719333,0.001,,,,,,,,,,,,,,,,,,,0.152,0.0,0.0,0.5429999999999999,0.174,0.0,0.13,0.0,0.0,0.0,0.2829999999999999,0.28300000000000003,0.33299999999999996,0.1
35005,119,Bellamy,Alabama,380,"Sumter County",13103,0.4518049301686637,0.4518049301686637,0.25955887964588265,0.01091353125238495,0.7216667938640007,0.012439899259711517,0.0015263680073265664,0.001,,,,,,,,,,,,,,,,,,,0.065,0.23399999999999999,0.379,0.10300000000000001,0.22,0.0,0.0,0.0,0.0,0.0,0.09499999999999997,0.7659999999999999,0.139,0.0
35006,097,"Belle Fontaine",Alabama,532,"Mobile County",415395,0.4776562067429796,0.4776562067429796,0.5981367132488355,0.027713381239543085,0.35501630977744075,0.020700778776826877,0.010310668159221945,0.001,,,,,,,,,,,,,,,,,,,0.071,0.0,0.10099999999999999,0.152,0.126,0.293,0.0,0.207,0.051,0.0,0.31400000000000006,0.195,0.142,0.151
35007,051,"Blue Ridge",Alabama,1602,"Elmore County",81468,0.48551578533902884,0.48551578533902884,0.7573403053959837,0.02814602052339569,0.21334757205283056,0.00724210733048559,0.00562183924976678,0.001,,,,,,,,,,,,,,,,,,,0.016,0.035,0.015,0.044000000000000004,0.183,0.132,0.14,0.243,0.113,0.079,0.027000000000000024,0.182,0.23800000000000002,0.48100000000000004
35008,,"Bon Secour",Alabama,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.24100000000000002,0.326,0.10300000000000001,0.0,0.07200000000000001,0.042,0.027999999999999997,0.139,0.0,0.269,0.406,0.05,0.20600000000000002
35009,131,Boykin,Alabama,134,"Wilcox County",11059,0.47689664526629894,0.47689664526629894,0.28347951894384665,0.010127497965457997,0.7064834071796726,0.0012659372456822497,0.0024414504023871956,0.001,,,,,,,,,,,,,,,,,,,0.33299999999999996,0.0,0.44,0.147,0.0,0.0,0.0,0.08,0.0,0.0,0.42399999999999993,0.237,0.28800000000000003,0.0
35010,117,Brantleyville,Alabama,987,"Shelby County",208713,0.4862322902742043,0.4862322902742043,0.8356834504798456,0.058098920527231174,0.12487482811324643,0.021680489475978976,0.004201942380206312,0.001,,,,,,,,,,,,,,,,,,,0.04,0.0,0.145,0.057,0.268,0.299,0.068,0.057,0.066,0.0,0.16700000000000004,0.374,0.29,0.13
35011,055,"Bristow Cove",Alabama,769,"Etowah County",103057,0.4827522633105951,0.4827522633105951,0.8101536043160581,0.037144492853469435,0.15688405445530146,0.008199345992994168,0.008897988491805507,0.001,,,,,,,,,,,,,,,,,,,0.27399999999999997,0.0,0.036000000000000004,0.111,0.175,0.183,0.095,0.127,0.0,0.0,0.19799999999999995,0.402,0.231,0.040999999999999995
35012,117,"Brook Highland",Alabama,7116,"Shelby County",208713,0.4862322902742043,0.4862322902742043,0.8356834504798456,0.058098920527231174,0.12487482811324643,0.021680489475978976,0.004201942380206312,0.001,,,,,,,,,,,,,,,,,,,0.076,0.06,0.085,0.08,0.18100000000000002,0.133,0.122,0.13699999999999998,0.045,0.08199999999999999,0.030000000000000027,0.10800000000000001,0.215,0.574
35013,019,Broomtown,Alabama,198,"Cherokee County",25859,0.4965002513631618,0.4965002513631618,0.9264472717429135,0.015391159750957114,0.0472949456668858,0.002784330407208322,0.0061874009049073826,0.001,,,,,,,,,,,,,,,,,,,0.138,0.0,0.1,0.475,0.0,0.0,0.28800000000000003,0.0,0.0,0.0,0.471,0.193,0.11800000000000001,0.14300000000000002
35014,097,Bucks,Alabama,68,"Mobile County",415395,0.4776562067429796,0.4776562067429796,0.5981367132488355,0.027713381239543085,0.35501630977744075,0.020700778776826877,0.010310668159221945,0.001,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.735,0.0
35015,097,Calvert,Alabama,957,"Mobile County",415395,0.4776562067429796,0.4776562067429796,0.5981367132488355,0.027713381239543085,0.35501630977744075,0.020700778776826877,0.010310668159221945,0.001,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6709999999999999,0.249,0.08,0.0,0.0,0.0,0.0,0.641,0.275,0.0,0.083
35016,055,Carlisle-Rockledge,Alabama,2391,"Etowah County",103057,0.4827522633105951,0.4827522633105951,0.8101536043160581,0.037144492853469435,0.15688405445530146,0.008199345992994168,0.008897988491805507,0.001,,,,,,,,,,,,,,,,,,,0.022000000000000002,0.073,0.275,0.226,0.083,0.111,0.08900000000000001,0.094,0.027000000000000003,0.0,0.18799999999999994,0.444,0.255,0.052000000000000005
35017,025,Carlton,Alabama,36,"Clarke County",24675,0.4727456940222898,0.4727456940222898,0.5408308004052684,0.014103343465045593,0.4423100303951368,0.004457953394123607,0.004376899696048633,0.001,,,,,,,,,,,,,,,,,,,0.35,0.35,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.639,0.361,0.0,0.0
35018,131,Catherine,Alabama,21,"Wilcox County",11059,0.47689664526629894,0.47689664526629894,0.28347951894384665,0.010127497965457997,0.7064834071796726,0.0012659372456822497,0.0024414504023871956,0.001,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.47600000000000003,0.524,0.0
35019,015,Choccolocco,Alabama,2396,"Calhoun County",115620,0.4822262584327971,0.4822262584327971,0.7556651098425878,0.03614426569797613,0.2117799688635184,0.008856599204289915,0.006227296315516346,0.001,,,,,,,,,,,,,,,,,,,0.054000000000000006,0.0,0.068,0.166,0.055999999999999994,0.16399999999999998,0.192,0.109,0.055,0.136,0.08799999999999997,0.251,0.27699999999999997,0.281
35020,097,Chunchula,Alabama,142,"Mobile County",415395,0.4776562067429796,0.4776562067429796,0.5981367132488355,0.027713381239543085,0.35501630977744075,0.020700778776826877,0.010310668159221945,0.001,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5670000000000001,0.0,0.32799999999999996,0.10400000000000001,0.0,0.0,0.0,0.15900000000000003,0.43200000000000005,0.242,0.16699999999999998
35021,055,"Coats Bend",Alabama,1600,"Etowah County",103057,0.4827522633105951,0.4827522633105951,0.8101536043160581,0.037144492853469435,0.15688405445530146,0.008199345992994168,0.008897988491805507,0.001,,,,,,,,,,,,,,,,,,,0.064,0.0,0.214,0.11,0.244,0.12300000000000001,0.095,0.057,0.09300000000000001,0.0,0.1259999999999999,0.46,0.245,0.095
35022,073,Concord,Alabama,1690,"Jefferson County",660367,0.4722283215242433,0.4722283215242433,0.5375177742073726,0.03791830906147642,0.4305212101755539,0.01638179981737428,0.003863003451111276,0.001,,,,,,,,,,,,,,,,,,,0.055999999999999994,0.038,0.06,0.071,0.149,0.128,0.184,0.201,0.084,0.028999999999999998,0.09299999999999997,0.461,0.2,0.151
35023,,Cottondale,Alabama,3469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,0.047,0.038,0.079,0.182,0.284,0.11900000000000001,0.131,0.012,0.016,0.138,0.369,0.305,0.083
