,USPS,ST,NAME,ZCTA5,LAT,LON
0,Yorkshire and Humber,YH,Huddersfield,HD1,53.645,1.788
1,Yorkshire and Humber,YH,Huddersfield,HD2,53.675,1.7735
2,Yorkshire and Humber,YH,Huddersfield,HD3,53.6632,1.8384
3,Yorkshire and Humber,YH,Wakefield,WF1,53.6898,1.4866
4,Yorkshire and Humber,YH,Wakefield,WF2,53.6678,1.5115
5,Yorkshire and Humber,YH,Wakefield,WF3,53.7221,1.5014
6,North East,NE,Durham,DH1,53.7221,1.5014
7,South West,SW,Dorchester,DT1,50.7118787,-2.4448216
8,South West,SW,Budleigh Salterton,EX9,50.6394596,-3.3240203
9,South West,SW,Chard,TA20,50.8735523,-2.9622162
10,South West,SW,St Leonards,TN38,50.8637392,0.543696
11,South West,SW,Wincanton,BA9,51.0576908,-2.4101382
12,South West,SW,Exmouth,EX8,50.6297299,-3.4017306
13,South West,SW,Crediton,EX17,50.8116834,-3.7053311
14,South West,SW,Minehead,TA24,51.1819504,-3.5105467
15,South West,SW,Glastonbury,BA6,51.1420762,-2.7078987
16,South West,SW,Thornbury ,BS35,51.5977668,-2.5487713
17,South West,SW,Street,BA16,51.124174,-2.7457829
18,South West,SW,Frome,BA11,51.2332006,-2.3245542
19,South West,SW,Cheddar,BS27,51.272182,-2.7717346
20,South West,SW,Sidmouth ,EX10,50.6931776,-3.2466004
21,South West,SW,Torpoint,PL11,50.372956,-4.2549194
22,South West,SW,Ivybridge,PL21,50.3852736,-3.9184514
23,South West,SW,Long Ashton,BS41,51.4220916,-2.6534866
24,South West,SW,Hayle,TR27,50.1828787,-5.4037493
25,South West,SW,Portishead,BS11,51.4973558,-2.6752683
26,South West,SW,Wotton-under-Edge,Gl12,51.6242009,-2.3889711
27,South West,SW,Dawlish,EX7,50.5843718,-3.4706752
28,South West,SW,Wootton Bassett,SN4,51.530429,-1.8406454
29,South West,SW,Peasedown St John ,BA2,51.3592543,-2.3793066
30,South West,SW,Ilminster,TA19,50.9351637,-2.9154632
31,South West,SW,Okehampton ,EX20,50.7519249,-4.019293
32,South West,SW,Bodmin,PL30,50.5017989,-4.7283944
33,South West,SW,Devizes,SN10,51.3370397,-1.9869176
34,South West,SW,Highworth,SN6,51.6215185,-1.7409572
35,South West,SW,Yeovil,BA20,50.937984,-2.6452044
36,South West,SW,Amesbury,SP4,51.1660243,-1.7660031
