,USPS,ST,NAME,ZCTA5,LAT,LON
,Alabama,AL,Abanda,36276,33.132677,-85.570266
,Alabama,AL,Alexandria,36250,33.765322,-85.901096
,Alabama,AL,Alexandria,36265,33.847655,-85.784916
,Alabama,AL,Alexandria,36279,33.872274,-85.889336
,Alabama,AL,Axis,36505,30.941950,-88.015792
,Alabama,AL,Axis,36525,30.890103,-88.018704
,Alabama,AL,Ballplay,35903,34.024270,-85.863703
,Alabama,AL,Ballplay,36272,33.942381,-85.595417
,Alabama,AL,Belgreen,35653,34.518191,-87.871965
,Alabama,AL,Bellamy,35470,32.561974,-88.066347
,Alabama,AL,Bellamy,36901,32.421636,-88.147330
,Alabama,AL,"Belle Fontaine",36582,30.509877,-88.173001
,Alabama,AL,"Blue Ridge",36092,32.617657,-86.200531
,Alabama,AL,"Blue Ridge",36093,32.494564,-86.133634
,Alabama,AL,"Bon Secour",36511,30.318246,-87.72439
,Alabama,AL,Boykin,36720,32.158196,-87.344594
,Alabama,AL,Boykin,36723,32.053630,-87.274538
,Alabama,AL,Brantleyville,35114,33.224414,-86.879318
,Alabama,AL,"Bristow Cove",35956,34.146146,-86.146749
,Alabama,AL,"Brook Highland",35242,33.425247,-86.672084
,Alabama,AL,Broomtown,35973,34.344016,-85.551513
,Alabama,AL,Bucks,36512,30.998808,-88.018409
,Alabama,AL,Bucks,36560,31.097767,-88.040068
,Alabama,AL,Calvert,36513,31.173869,-88.005799
,Alabama,AL,Calvert,36560,31.097767,-88.040068
,Alabama,AL,Carlisle-Rockledge,35954,34.089754,-86.057449
,Alabama,AL,Carlisle-Rockledge,35956,34.146146,-86.146749
,Alabama,AL,Carlton,36545,31.488511,-87.871704
,Alabama,AL,Catherine,36728,32.161399,-87.476215
,Alabama,AL,Choccolocco,,33.738267,-85.68129300000001
,Alabama,AL,Choccolocco,36207,33.680317,-85.709537
,Alabama,AL,Chunchula,36521,30.964986,-88.177330
,Alabama,AL,"Coats Bend",35901,34.049376,-85.934301
,Alabama,AL,Concord,35023,33.467828,-87.088219
,Alabama,AL,Cottondale,35453,33.193047,-87.454861
,Alabama,AL,Cullomburg,36558,31.608143,-88.316371
,Alabama,AL,Cullomburg,36919,31.769052,-88.282862
,Alabama,AL,"Deer Park",36529,31.275361,-88.228787
,Alabama,AL,"Deer Park",36584,31.199096,-88.388739
,Alabama,AL,Delta,36258,33.477734,-85.717338
,Alabama,AL,Dunnavant,35094,33.530066,-86.553303
,Alabama,AL,Dunnavant,35176,33.485382,-86.498033
,Alabama,AL,"East Point",35055,34.151121,-86.758808
,Alabama,AL,"East Point",35058,34.228856,-86.737261
,Alabama,AL,Edgewater,35224,33.517287,-86.943842
,Alabama,AL,Egypt,35952,34.052385,-86.310738
,Alabama,AL,Egypt,35954,34.089754,-86.057449
,Alabama,AL,Egypt,35956,34.146146,-86.146749
,Alabama,AL,"Emerald Mountain",36078,32.546979,-85.942735
,Alabama,AL,"Emerald Mountain",36093,32.494564,-86.133634
,Alabama,AL,Eunola,36340,31.051672,-85.890943
,Alabama,AL,Fairford,36513,31.173869,-88.005799
,Alabama,AL,Fairford,36553,31.243301,-88.067813
,Alabama,AL,Fayetteville,35044,33.243975,-86.380759
,Alabama,AL,Fayetteville,35151,33.081343,-86.392211
,Alabama,AL,Fitzpatrick,,32.167144,-85.904292
,Alabama,AL,Fitzpatrick,36029,32.181872,-85.933154
,Alabama,AL,Forestdale,35005,33.595950,-87.000649
,Alabama,AL,Forestdale,35214,33.576837,-86.893456
,Alabama,AL,"Fort Rucker",,31.391472999999998,-85.72145400000001
,Alabama,AL,"Fort Rucker",36362,31.350932,-85.679787
,Alabama,AL,Fredonia,36855,33.028908,-85.308151
,Alabama,AL,Fredonia,36863,32.889494,-85.263750
,Alabama,AL,Fruitdale,,31.270928,-88.307365
,Alabama,AL,Fruitdale,36539,31.348614,-88.380629
,Alabama,AL,Gallant,35972,33.993999,-86.246870
,Alabama,AL,Graham,36263,33.466234,-85.359330
,Alabama,AL,"Grand Bay",,30.479144,-88.31554
,Alabama,AL,"Grand Bay",36541,30.489535,-88.344106
,Alabama,AL,"Grayson Valley",35235,33.624485,-86.647907
,Alabama,AL,Gulfcrest,36521,30.964986,-88.177330
,Alabama,AL,Hackneyville,35010,32.916719,-85.940589
,Alabama,AL,Hackneyville,35072,33.093498,-86.066947
,Alabama,AL,Harvest,35749,34.822236,-86.757820
,Alabama,AL,Harvest,35773,34.891069,-86.707941
,Alabama,AL,Hatton,,34.566625,-87.418451
,Alabama,AL,Hatton,35672,34.648533,-87.406487
,Alabama,AL,"Hazel Green",,34.938193,-86.552277
,Alabama,AL,"Hazel Green",35750,34.956179,-86.589482
,Alabama,AL,"Hazel Green",35761,34.916206,-86.409214
,Alabama,AL,"Highland Lakes",35242,33.425247,-86.672084
,Alabama,AL,Hissop,35010,32.916719,-85.940589
,Alabama,AL,Hissop,35089,32.945782,-86.081832
,Alabama,AL,Hissop,35136,32.879247,-86.286795
,Alabama,AL,Hobson,36518,31.459303,-88.284040
,Alabama,AL,Hollins,35072,33.093498,-86.066947
,Alabama,AL,Hollins,35082,33.158024,-86.153863
,Alabama,AL,Hollins,35150,33.189306,-86.238384
,Alabama,AL,"Hollis Crossroads",36258,33.477734,-85.717338
,Alabama,AL,"Hollis Crossroads",36264,33.596783,-85.551483
,Alabama,AL,Holt,35404,33.215157,-87.483406
,Alabama,AL,Holtville,36022,32.623499,-86.405578
,Alabama,AL,Holtville,36092,32.617657,-86.200531
,Alabama,AL,Huguley,36863,32.889494,-85.263750
,Alabama,AL,Ivalee,35954,34.089754,-86.057449
,Alabama,AL,Ivalee,35972,33.993999,-86.246870
,Alabama,AL,Joppa,35016,34.323870,-86.502006
,Alabama,AL,Joppa,35087,34.306453,-86.584296
,Alabama,AL,Ladonia,36869,32.420407,-85.064201
,Alabama,AL,Ladonia,36870,32.482878,-85.120305
,Alabama,AL,Leroy,36548,31.488980,-87.967725
,Alabama,AL,Lillian,36549,30.418904,-87.420751
,Alabama,AL,"Lookout Mountain",,34.134046000000005,-85.919935
,Alabama,AL,"Lookout Mountain",35904,34.070560,-85.990098
,Alabama,AL,"McDonald Chapel",35224,33.517287,-86.943842
,Alabama,AL,Macedonia,35461,33.417374,-88.213613
,Alabama,AL,Malcolm,36553,31.243301,-88.067813
,Alabama,AL,Malcolm,36556,31.197708,-87.976023
,Alabama,AL,Marbury,,32.638521999999995,-86.514873
,Alabama,AL,Marbury,36022,32.623499,-86.405578
,Alabama,AL,Marbury,36051,32.685457,-86.500020
,Alabama,AL,Meadowbrook,35242,33.425247,-86.672084
,Alabama,AL,Megargel,36445,31.444585,-87.453392
,Alabama,AL,Meridianville,35750,34.956179,-86.589482
,Alabama,AL,Meridianville,35759,34.868262,-86.545831
,Alabama,AL,Meridianville,35773,34.891069,-86.707941
,Alabama,AL,Mignon,35150,33.189306,-86.238384
,Alabama,AL,Millerville,35072,33.093498,-86.066947
,Alabama,AL,Millerville,36251,33.222279,-85.872376
,Alabama,AL,Millerville,36267,33.197365,-85.948287
,Alabama,AL,Minor,35224,33.517287,-86.943842
,Alabama,AL,"Moores Mill",35759,34.868262,-86.545831
,Alabama,AL,"Moores Mill",35761,34.916206,-86.409214
,Alabama,AL,"Moores Mill",35810,34.803193,-86.601445
,Alabama,AL,"Moores Mill",35811,34.795354,-86.509948
,Alabama,AL,"Morrison Crossroads",36280,33.376324,-85.388261
,Alabama,AL,"Mount Olive",35072,33.093498,-86.066947
,Alabama,AL,"Mount Olive",35071,33.694975,-86.848078
,Alabama,AL,"Mount Olive",35117,33.667778,-86.892599
,Alabama,AL,"Mount Olive",35072,33.093498,-86.066947
,Alabama,AL,"Mount Olive",35071,33.694975,-86.848078
,Alabama,AL,"Mount Olive",35117,33.667778,-86.892599
,Alabama,AL,Movico,36560,31.097767,-88.040068
,Alabama,AL,Nanafalia,36782,32.116133,-87.912973
,Alabama,AL,"Nances Creek",36265,33.847655,-85.784916
,Alabama,AL,"Nances Creek",36272,33.942381,-85.595417
,Alabama,AL,"New Market",,34.873166,-86.394903
,Alabama,AL,"New Market",35761,34.916206,-86.409214
,Alabama,AL,"New Union",35956,34.146146,-86.146749
,Alabama,AL,"Our Town",,32.842211,-85.967035
,Alabama,AL,Panola,35477,32.956143,-88.240989
,Alabama,AL,Penton,36862,32.903965,-85.455157
,Alabama,AL,Perdido,36562,31.005692,-87.630112
,Alabama,AL,Peterman,,31.620976000000002,-87.264321
,Alabama,AL,Peterman,36471,31.616419,-87.248947
,Alabama,AL,"Pine Level",,32.063735,-86.072211
,Alabama,AL,"Pine Level",36022,32.623499,-86.405578
,Alabama,AL,"Pine Level",36066,32.479684,-86.424001
,Alabama,AL,"Pine Level",36067,32.516518,-86.561483
,Alabama,AL,"Point Clear",36532,30.480713,-87.861306
,Alabama,AL,"Point Clear",36564,30.483252,-87.934696
,Alabama,AL,Putnam,36784,31.926927,-87.787887
,Alabama,AL,Ray,35010,32.916719,-85.940589
,Alabama,AL,Redland,36093,32.494564,-86.133634
,Alabama,AL,"Redstone Arsenal",,34.632929,-86.655842
,Alabama,AL,"Redstone Arsenal",35808,34.633027,-86.659057
