Precise Class,Class,Simple Name,RxNorm,Display,Systolic Impact Minimum,Systolic Impact Maximum,Diastolic Impact Minimum,Diastolic Impact Maximum
Diuretic,Diuretic,Chlorthalidone,197499,chlorthalidone 25 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Diuretic,Diuretic,Furosemide,313988,furosemide 40 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Diuretic,Diuretic,Spironolactone,313096,spironolactone 25 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Diuretic,Diuretic,Triamterene/HCTZ,310818,hydroCHLOROthiazide 50 MG / triamterene 75 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Diuretic,Diuretic,Amiloride,977880,aMILoride hydrochloride 5 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Diuretic,Diuretic,HCTZ,310798,Hydrochlorothiazide 25 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Ace Inhibitor,ACE or ARB,Lisinopril,314076,lisinopril 10 MG Oral Tablet,-11.5,-16.29,-7.2,-13.6
Angiotensin Receptor Blocker,ACE or ARB,Losartan,979492,losartan potassium 50 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Angiotensin Receptor Blocker,ACE or ARB,Azilsartan,1091646,azilsartan medoxomil 40 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Angiotensin Receptor Blocker,ACE or ARB,Azilsartan/chlorthalidone,1235144,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Calcium Channel Blockers,Calcium Channel Blockers,Diltiazem,830877,24 HR dilTIAZem hydrochloride 180 MG Extended Release Oral Tablet,-11.5,-16.29,-9.3,-11.7
Calcium Channel Blockers,Calcium Channel Blockers,Amlodipine,197361,amLODIPine 5 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Calcium Channel Blockers,Calcium Channel Blockers,Amlodipine,308136,amLODIPine 2.5 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Beta Blockers,Beta Blockers,Metoprolol Tartrate,866514,metoprolol tartrate 50 MG Oral Tablet,-11.5,-16.29,-8.7,-15.5
Beta Blockers,Beta Blockers,Metoprolol ER,866412,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,-11.5,-16.29,-8.7,-15.5
Beta Blockers,Beta Blockers,Atenolol,197381,atenolol 50 MG Oral Tablet,-11.5,-16.29,-8.7,-15.5
Beta Blockers,Beta Blockers,Atenolol/Chlorthalidone,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,-11.5,-16.29,-8.7,-15.5
Vasodilators,Vasodilators,Hydralazine,905395,hydrALAZINE hydrochloride 50 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Vasodilators,Vasodilators,Minoxidil,197987,minoxidil 2.5 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Alpha 2 Agonist,Alpha 2 Agonist,Guanfacine,197745,guanFACINE 1 MG Oral Tablet,-11.5,-16.29,-9.3,-11.7
Alpha Blockers,Alpha Blockers,Doxazosin,197626,doxazosin 2 MG Oral Tablet,-11.5,-16.29,-11.2,-13.8
