age,gender,state,Prescribe_Enalapril_Maleate_10_Mg_Oral_Tablet,Prescribe_Enalapril_Maleate_1_Mg_Ml_Oral_Solution_Epaned,Prescribe_Enalapril_Maleate_20_Mg_Oral_Tablet,Prescribe_Enalapril_Maleate_2_5_Mg_Oral_Tablet,Prescribe_Enalapril_Maleate_5_Mg_Oral_Tablet
12-17,M,Illinois,0.0,0.0,0.0,1.0,0.0
12-17,M,Indiana,0.0,0.0,0.0,1.0,0.0
12-17,M,Iowa,0.0,0.0,0.0,1.0,0.0
12-17,M,Kansas,0.0,0.0,0.0,1.0,0.0
12-17,M,Michigan,0.0,0.0,0.0,1.0,0.0
12-17,M,Minnesota,0.0,0.0,0.0,1.0,0.0
12-17,M,Missouri,0.0,0.0,0.0,1.0,0.0
12-17,M,Nebraska,0.0,0.0,0.0,1.0,0.0
12-17,M,North Dakota,0.0,0.0,0.0,1.0,0.0
12-17,M,Ohio,0.0,0.0,0.0,1.0,0.0
12-17,M,South Dakota,0.0,0.0,0.0,1.0,0.0
12-17,M,Wisconsin,0.0,0.0,0.0,1.0,0.0
26-35,F,Alabama,0.5,0.0,0.5,0.0,0.0
26-35,F,Arkansas,0.5,0.0,0.5,0.0,0.0
26-35,F,Delaware,0.5,0.0,0.5,0.0,0.0
26-35,F,District of Columbia,0.5,0.0,0.5,0.0,0.0
26-35,F,Florida,0.5,0.0,0.5,0.0,0.0
26-35,F,Georgia,0.5,0.0,0.5,0.0,0.0
26-35,F,Kentucky,0.5,0.0,0.5,0.0,0.0
26-35,F,Louisiana,0.5,0.0,0.5,0.0,0.0
26-35,F,Maryland,0.5,0.0,0.5,0.0,0.0
26-35,F,Mississippi,0.5,0.0,0.5,0.0,0.0
26-35,F,North Carolina,0.5,0.0,0.5,0.0,0.0
26-35,F,Oklahoma,0.5,0.0,0.5,0.0,0.0
26-35,F,South Carolina,0.5,0.0,0.5,0.0,0.0
26-35,F,Tennessee,0.5,0.0,0.5,0.0,0.0
26-35,F,Texas,0.5,0.0,0.5,0.0,0.0
26-35,F,Virginia,0.5,0.0,0.5,0.0,0.0
26-35,F,West Virginia,0.5,0.0,0.5,0.0,0.0
26-35,M,Alabama,1.0,0.0,0.0,0.0,0.0
26-35,M,Arkansas,1.0,0.0,0.0,0.0,0.0
26-35,M,Connecticut,1.0,0.0,0.0,0.0,0.0
26-35,M,Delaware,1.0,0.0,0.0,0.0,0.0
26-35,M,District of Columbia,1.0,0.0,0.0,0.0,0.0
26-35,M,Florida,1.0,0.0,0.0,0.0,0.0
26-35,M,Georgia,1.0,0.0,0.0,0.0,0.0
26-35,M,Kentucky,1.0,0.0,0.0,0.0,0.0
26-35,M,Louisiana,1.0,0.0,0.0,0.0,0.0
26-35,M,Maine,1.0,0.0,0.0,0.0,0.0
26-35,M,Maryland,1.0,0.0,0.0,0.0,0.0
26-35,M,Massachusetts,1.0,0.0,0.0,0.0,0.0
26-35,M,Mississippi,1.0,0.0,0.0,0.0,0.0
26-35,M,New Hampshire,1.0,0.0,0.0,0.0,0.0
26-35,M,New Jersey,1.0,0.0,0.0,0.0,0.0
26-35,M,New York,1.0,0.0,0.0,0.0,0.0
26-35,M,North Carolina,1.0,0.0,0.0,0.0,0.0
26-35,M,Oklahoma,1.0,0.0,0.0,0.0,0.0
26-35,M,Pennsylvania,1.0,0.0,0.0,0.0,0.0
26-35,M,Rhode Island,1.0,0.0,0.0,0.0,0.0
26-35,M,South Carolina,1.0,0.0,0.0,0.0,0.0
26-35,M,Tennessee,1.0,0.0,0.0,0.0,0.0
26-35,M,Texas,1.0,0.0,0.0,0.0,0.0
26-35,M,Vermont,1.0,0.0,0.0,0.0,0.0
26-35,M,Virginia,1.0,0.0,0.0,0.0,0.0
26-35,M,West Virginia,1.0,0.0,0.0,0.0,0.0
36-45,F,Alabama,0.0,0.0,1.0,0.0,0.0
36-45,F,Arkansas,0.0,0.0,1.0,0.0,0.0
36-45,F,Connecticut,1.0,0.0,0.0,0.0,0.0
36-45,F,Delaware,0.0,0.0,1.0,0.0,0.0
36-45,F,District of Columbia,0.0,0.0,1.0,0.0,0.0
