age,gender,state,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_100_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_100_Mg_Oral_Tablet_Hyzaar,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_50_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_50_Mg_Oral_Tablet_Hyzaar,Prescribe_Hydrochlorothiazide_25_Mg_Losartan_Potassium_100_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Losartan_Potassium_100_Mg_Oral_Tablet_Hyzaar
18-25,M,Alabama,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Arkansas,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Delaware,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,District of Columbia,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Florida,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Georgia,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Kentucky,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Louisiana,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Maryland,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Mississippi,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,North Carolina,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Oklahoma,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,South Carolina,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Tennessee,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Texas,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Virginia,1.0,0.0,0.0,0.0,0.0,0.0
18-25,M,West Virginia,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Arkansas,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Delaware,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,District of Columbia,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Florida,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Georgia,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Illinois,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Indiana,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Iowa,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Kansas,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Kentucky,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Louisiana,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Maryland,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Michigan,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Minnesota,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Mississippi,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Missouri,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Nebraska,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,North Carolina,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,North Dakota,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Ohio,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Oklahoma,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,South Carolina,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,South Dakota,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Tennessee,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Texas,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Virginia,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,West Virginia,0.0,0.0,0.0,0.0,1.0,0.0
26-35,F,Wisconsin,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Alaska,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Arizona,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,California,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Colorado,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Idaho,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Illinois,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Indiana,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Iowa,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Kansas,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Michigan,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Missouri,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Montana,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Nevada,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Ohio,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Oregon,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Utah,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Washington,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0
36-45,F,Alabama,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Alaska,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Arizona,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Arkansas,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,California,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Colorado,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Delaware,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,District of Columbia,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Florida,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Georgia,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Hawaii,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Idaho,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Illinois,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Indiana,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Iowa,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Kansas,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Kentucky,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Louisiana,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Maryland,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Michigan,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Minnesota,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Mississippi,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Missouri,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Montana,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Nebraska,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Nevada,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,New Mexico,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,North Carolina,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,North Dakota,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Ohio,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Oklahoma,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Oregon,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,South Carolina,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,South Dakota,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Tennessee,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Texas,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Utah,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Virginia,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Washington,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,West Virginia,0.308,0.246,0.0,0.0,0.446,0.0
36-45,F,Wisconsin,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Wyoming,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Alaska,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Arizona,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,California,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Colorado,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Connecticut,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Hawaii,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Idaho,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Illinois,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Indiana,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Iowa,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Kansas,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Maine,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Massachusetts,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Michigan,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Minnesota,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Missouri,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Montana,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Nebraska,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Nevada,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,New Hampshire,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,New Jersey,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,New Mexico,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,New York,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,North Dakota,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Ohio,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Oregon,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Pennsylvania,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Rhode Island,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,South Dakota,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Utah,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Vermont,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Washington,0.558,0.0,0.442,0.0,0.0,0.0
36-45,M,Wisconsin,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Wyoming,0.558,0.0,0.442,0.0,0.0,0.0
46-65,F,Alabama,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Alaska,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Arizona,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Arkansas,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,California,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Colorado,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Connecticut,0.125,0.0,0.328,0.0,0.547,0.0
