age,gender,state,Prescribe_Hydrochlorothiazide_12_5_Mg_Valsartan_160_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Valsartan_320_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Valsartan_80_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Valsartan_160_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Valsartan_320_Mg_Oral_Tablet
36-45,F,Alabama,0.0,0.0,0.0,0.0,1.0
36-45,F,Alaska,1.0,0.0,0.0,0.0,0.0
36-45,F,Arizona,1.0,0.0,0.0,0.0,0.0
36-45,F,Arkansas,0.0,0.0,0.0,0.0,1.0
36-45,F,California,1.0,0.0,0.0,0.0,0.0
36-45,F,Colorado,1.0,0.0,0.0,0.0,0.0
36-45,F,Delaware,0.0,0.0,0.0,0.0,1.0
36-45,F,District of Columbia,0.0,0.0,0.0,0.0,1.0
36-45,F,Florida,0.0,0.0,0.0,0.0,1.0
36-45,F,Georgia,0.0,0.0,0.0,0.0,1.0
36-45,F,Hawaii,1.0,0.0,0.0,0.0,0.0
36-45,F,Idaho,1.0,0.0,0.0,0.0,0.0
36-45,F,Kentucky,0.0,0.0,0.0,0.0,1.0
36-45,F,Louisiana,0.0,0.0,0.0,0.0,1.0
36-45,F,Maryland,0.0,0.0,0.0,0.0,1.0
36-45,F,Mississippi,0.0,0.0,0.0,0.0,1.0
36-45,F,Montana,1.0,0.0,0.0,0.0,0.0
36-45,F,Nevada,1.0,0.0,0.0,0.0,0.0
36-45,F,New Mexico,1.0,0.0,0.0,0.0,0.0
36-45,F,North Carolina,0.0,0.0,0.0,0.0,1.0
36-45,F,Oklahoma,0.0,0.0,0.0,0.0,1.0
36-45,F,Oregon,1.0,0.0,0.0,0.0,0.0
36-45,F,South Carolina,0.0,0.0,0.0,0.0,1.0
36-45,F,Tennessee,0.0,0.0,0.0,0.0,1.0
36-45,F,Texas,0.0,0.0,0.0,0.0,1.0
36-45,F,Utah,1.0,0.0,0.0,0.0,0.0
36-45,F,Virginia,0.0,0.0,0.0,0.0,1.0
36-45,F,Washington,1.0,0.0,0.0,0.0,0.0
36-45,F,West Virginia,0.0,0.0,0.0,0.0,1.0
36-45,F,Wyoming,1.0,0.0,0.0,0.0,0.0
36-45,M,Alabama,0.0,0.0,0.342,0.0,0.658
36-45,M,Arkansas,0.0,0.0,0.342,0.0,0.658
36-45,M,Delaware,0.0,0.0,0.342,0.0,0.658
36-45,M,District of Columbia,0.0,0.0,0.342,0.0,0.658
36-45,M,Florida,0.0,0.0,0.342,0.0,0.658
36-45,M,Georgia,0.0,0.0,0.342,0.0,0.658
36-45,M,Illinois,0.0,0.0,1.0,0.0,0.0
36-45,M,Indiana,0.0,0.0,1.0,0.0,0.0
