age,gender,state,Prescribe_Irbesartan_150_Mg_Oral_Tablet,Prescribe_Irbesartan_300_Mg_Oral_Tablet,Prescribe_Irbesartan_75_Mg_Oral_Tablet
26-35,F,Alabama,0.0,1.0,0.0
26-35,F,Arkansas,0.0,1.0,0.0
26-35,F,Delaware,0.0,1.0,0.0
26-35,F,District of Columbia,0.0,1.0,0.0
26-35,F,Florida,0.0,1.0,0.0
26-35,F,Georgia,0.0,1.0,0.0
26-35,F,Kentucky,0.0,1.0,0.0
26-35,F,Louisiana,0.0,1.0,0.0
26-35,F,Maryland,0.0,1.0,0.0
26-35,F,Mississippi,0.0,1.0,0.0
26-35,F,North Carolina,0.0,1.0,0.0
26-35,F,Oklahoma,0.0,1.0,0.0
26-35,F,South Carolina,0.0,1.0,0.0
26-35,F,Tennessee,0.0,1.0,0.0
26-35,F,Texas,0.0,1.0,0.0
26-35,F,Virginia,0.0,1.0,0.0
26-35,F,West Virginia,0.0,1.0,0.0
36-45,M,Alabama,1.0,0.0,0.0
36-45,M,Arkansas,1.0,0.0,0.0
36-45,M,Connecticut,0.0,1.0,0.0
36-45,M,Delaware,1.0,0.0,0.0
36-45,M,District of Columbia,1.0,0.0,0.0
36-45,M,Florida,1.0,0.0,0.0
36-45,M,Georgia,1.0,0.0,0.0
36-45,M,Illinois,0.0,1.0,0.0
36-45,M,Indiana,0.0,1.0,0.0
36-45,M,Iowa,0.0,1.0,0.0
36-45,M,Kansas,0.0,1.0,0.0
36-45,M,Kentucky,1.0,0.0,0.0
36-45,M,Louisiana,1.0,0.0,0.0
36-45,M,Maine,0.0,1.0,0.0
36-45,M,Maryland,1.0,0.0,0.0
36-45,M,Massachusetts,0.0,1.0,0.0
36-45,M,Michigan,0.0,1.0,0.0
36-45,M,Minnesota,0.0,1.0,0.0
36-45,M,Mississippi,1.0,0.0,0.0
36-45,M,Missouri,0.0,1.0,0.0
36-45,M,Nebraska,0.0,1.0,0.0
36-45,M,New Hampshire,0.0,1.0,0.0
36-45,M,New Jersey,0.0,1.0,0.0
36-45,M,New York,0.0,1.0,0.0
36-45,M,North Carolina,1.0,0.0,0.0
36-45,M,North Dakota,0.0,1.0,0.0
36-45,M,Ohio,0.0,1.0,0.0
36-45,M,Oklahoma,1.0,0.0,0.0
36-45,M,Pennsylvania,0.0,1.0,0.0
36-45,M,Rhode Island,0.0,1.0,0.0
36-45,M,South Carolina,1.0,0.0,0.0
36-45,M,South Dakota,0.0,1.0,0.0
36-45,M,Tennessee,1.0,0.0,0.0
36-45,M,Texas,1.0,0.0,0.0
36-45,M,Vermont,0.0,1.0,0.0
36-45,M,Virginia,1.0,0.0,0.0
36-45,M,West Virginia,1.0,0.0,0.0
36-45,M,Wisconsin,0.0,1.0,0.0
46-65,F,Alabama,0.462,0.538,0.0
46-65,F,Alaska,1.0,0.0,0.0
46-65,F,Arizona,1.0,0.0,0.0
46-65,F,Arkansas,0.462,0.538,0.0
46-65,F,California,1.0,0.0,0.0
46-65,F,Colorado,1.0,0.0,0.0
46-65,F,Connecticut,0.419,0.581,0.0
46-65,F,Delaware,0.462,0.538,0.0
46-65,F,District of Columbia,0.462,0.538,0.0
46-65,F,Florida,0.462,0.538,0.0
46-65,F,Georgia,0.462,0.538,0.0
46-65,F,Hawaii,1.0,0.0,0.0
46-65,F,Idaho,1.0,0.0,0.0
46-65,F,Illinois,0.0,1.0,0.0
46-65,F,Indiana,0.0,1.0,0.0
46-65,F,Iowa,0.0,1.0,0.0
46-65,F,Kansas,0.0,1.0,0.0
46-65,F,Kentucky,0.462,0.538,0.0
46-65,F,Louisiana,0.462,0.538,0.0
46-65,F,Maine,0.419,0.581,0.0
46-65,F,Maryland,0.462,0.538,0.0
46-65,F,Massachusetts,0.419,0.581,0.0
46-65,F,Michigan,0.0,1.0,0.0
46-65,F,Minnesota,0.0,1.0,0.0
46-65,F,Mississippi,0.462,0.538,0.0
46-65,F,Missouri,0.0,1.0,0.0
46-65,F,Montana,1.0,0.0,0.0
46-65,F,Nebraska,0.0,1.0,0.0
46-65,F,Nevada,1.0,0.0,0.0
46-65,F,New Hampshire,0.419,0.581,0.0
46-65,F,New Jersey,0.419,0.581,0.0
46-65,F,New Mexico,1.0,0.0,0.0
46-65,F,New York,0.419,0.581,0.0
46-65,F,North Carolina,0.462,0.538,0.0
46-65,F,North Dakota,0.0,1.0,0.0
46-65,F,Ohio,0.0,1.0,0.0
46-65,F,Oklahoma,0.462,0.538,0.0
46-65,F,Oregon,1.0,0.0,0.0
46-65,F,Pennsylvania,0.419,0.581,0.0
46-65,F,Rhode Island,0.419,0.581,0.0
46-65,F,South Carolina,0.462,0.538,0.0
46-65,F,South Dakota,0.0,1.0,0.0
46-65,F,Tennessee,0.462,0.538,0.0
46-65,F,Texas,0.462,0.538,0.0
46-65,F,Utah,1.0,0.0,0.0
46-65,F,Vermont,0.419,0.581,0.0
46-65,F,Virginia,0.462,0.538,0.0
46-65,F,Washington,1.0,0.0,0.0
46-65,F,West Virginia,0.462,0.538,0.0
46-65,F,Wisconsin,0.0,1.0,0.0
46-65,F,Wyoming,1.0,0.0,0.0
46-65,M,Alabama,0.159,0.0,0.841
46-65,M,Alaska,0.609,0.391,0.0
46-65,M,Arizona,0.609,0.391,0.0
46-65,M,Arkansas,0.159,0.0,0.841
46-65,M,California,0.609,0.391,0.0
46-65,M,Colorado,0.609,0.391,0.0
46-65,M,Connecticut,1.0,0.0,0.0
46-65,M,Delaware,0.159,0.0,0.841
46-65,M,District of Columbia,0.159,0.0,0.841
46-65,M,Florida,0.159,0.0,0.841
46-65,M,Georgia,0.159,0.0,0.841
46-65,M,Hawaii,0.609,0.391,0.0
46-65,M,Idaho,0.609,0.391,0.0
46-65,M,Illinois,0.0,1.0,0.0
46-65,M,Indiana,0.0,1.0,0.0
46-65,M,Iowa,0.0,1.0,0.0
46-65,M,Kansas,0.0,1.0,0.0
46-65,M,Kentucky,0.159,0.0,0.841
46-65,M,Louisiana,0.159,0.0,0.841
46-65,M,Maine,1.0,0.0,0.0
46-65,M,Maryland,0.159,0.0,0.841
46-65,M,Massachusetts,1.0,0.0,0.0
46-65,M,Michigan,0.0,1.0,0.0
46-65,M,Minnesota,0.0,1.0,0.0
46-65,M,Mississippi,0.159,0.0,0.841
46-65,M,Missouri,0.0,1.0,0.0
46-65,M,Montana,0.609,0.391,0.0
46-65,M,Nebraska,0.0,1.0,0.0
46-65,M,Nevada,0.609,0.391,0.0
46-65,M,New Hampshire,1.0,0.0,0.0
46-65,M,New Jersey,1.0,0.0,0.0
46-65,M,New Mexico,0.609,0.391,0.0
46-65,M,New York,1.0,0.0,0.0
46-65,M,North Carolina,0.159,0.0,0.841
46-65,M,North Dakota,0.0,1.0,0.0
46-65,M,Ohio,0.0,1.0,0.0
46-65,M,Oklahoma,0.159,0.0,0.841
46-65,M,Oregon,0.609,0.391,0.0
46-65,M,Pennsylvania,1.0,0.0,0.0
46-65,M,Rhode Island,1.0,0.0,0.0
46-65,M,South Carolina,0.159,0.0,0.841
46-65,M,South Dakota,0.0,1.0,0.0
46-65,M,Tennessee,0.159,0.0,0.841
46-65,M,Texas,0.159,0.0,0.841
46-65,M,Utah,0.609,0.391,0.0
46-65,M,Vermont,1.0,0.0,0.0
46-65,M,Virginia,0.159,0.0,0.841
46-65,M,Washington,0.609,0.391,0.0
46-65,M,West Virginia,0.159,0.0,0.841
46-65,M,Wisconsin,0.0,1.0,0.0
46-65,M,Wyoming,0.609,0.391,0.0
65-103,F,Alabama,0.254,0.746,0.0
65-103,F,Alaska,0.473,0.11,0.417
65-103,F,Arizona,0.473,0.11,0.417
65-103,F,Arkansas,0.254,0.746,0.0
65-103,F,California,0.473,0.11,0.417
65-103,F,Colorado,0.473,0.11,0.417
65-103,F,Connecticut,0.532,0.373,0.095
65-103,F,Delaware,0.254,0.746,0.0
65-103,F,District of Columbia,0.254,0.746,0.0
65-103,F,Florida,0.254,0.746,0.0
65-103,F,Georgia,0.254,0.746,0.0
65-103,F,Hawaii,0.473,0.11,0.417
65-103,F,Idaho,0.473,0.11,0.417
65-103,F,Illinois,0.521,0.479,0.0
65-103,F,Indiana,0.521,0.479,0.0
65-103,F,Iowa,0.521,0.479,0.0
65-103,F,Kansas,0.521,0.479,0.0
65-103,F,Kentucky,0.254,0.746,0.0
65-103,F,Louisiana,0.254,0.746,0.0
65-103,F,Maine,0.532,0.373,0.095
65-103,F,Maryland,0.254,0.746,0.0
65-103,F,Massachusetts,0.532,0.373,0.095
65-103,F,Michigan,0.521,0.479,0.0
65-103,F,Minnesota,0.521,0.479,0.0
65-103,F,Mississippi,0.254,0.746,0.0
65-103,F,Missouri,0.521,0.479,0.0
65-103,F,Montana,0.473,0.11,0.417
65-103,F,Nebraska,0.521,0.479,0.0
65-103,F,Nevada,0.473,0.11,0.417
65-103,F,New Hampshire,0.532,0.373,0.095
65-103,F,New Jersey,0.532,0.373,0.095
65-103,F,New Mexico,0.473,0.11,0.417
65-103,F,New York,0.532,0.373,0.095
65-103,F,North Carolina,0.254,0.746,0.0
65-103,F,North Dakota,0.521,0.479,0.0
65-103,F,Ohio,0.521,0.479,0.0
65-103,F,Oklahoma,0.254,0.746,0.0
65-103,F,Oregon,0.473,0.11,0.417
65-103,F,Pennsylvania,0.532,0.373,0.095
65-103,F,Rhode Island,0.532,0.373,0.095
65-103,F,South Carolina,0.254,0.746,0.0
65-103,F,South Dakota,0.521,0.479,0.0
65-103,F,Tennessee,0.254,0.746,0.0
65-103,F,Texas,0.254,0.746,0.0
65-103,F,Utah,0.473,0.11,0.417
65-103,F,Vermont,0.532,0.373,0.095
65-103,F,Virginia,0.254,0.746,0.0
65-103,F,Washington,0.473,0.11,0.417
65-103,F,West Virginia,0.254,0.746,0.0
65-103,F,Wisconsin,0.521,0.479,0.0
65-103,F,Wyoming,0.473,0.11,0.417
65-103,M,Alabama,0.493,0.291,0.216
65-103,M,Alaska,0.543,0.342,0.115
65-103,M,Arizona,0.543,0.342,0.115
65-103,M,Arkansas,0.493,0.291,0.216
65-103,M,California,0.543,0.342,0.115
65-103,M,Colorado,0.543,0.342,0.115
65-103,M,Connecticut,0.371,0.379,0.25
65-103,M,Delaware,0.493,0.291,0.216
65-103,M,District of Columbia,0.493,0.291,0.216
65-103,M,Florida,0.493,0.291,0.216
65-103,M,Georgia,0.493,0.291,0.216
65-103,M,Hawaii,0.543,0.342,0.115
65-103,M,Idaho,0.543,0.342,0.115
65-103,M,Illinois,0.311,0.689,0.0
65-103,M,Indiana,0.311,0.689,0.0
65-103,M,Iowa,0.311,0.689,0.0
65-103,M,Kansas,0.311,0.689,0.0
65-103,M,Kentucky,0.493,0.291,0.216
65-103,M,Louisiana,0.493,0.291,0.216
65-103,M,Maine,0.371,0.379,0.25
65-103,M,Maryland,0.493,0.291,0.216
65-103,M,Massachusetts,0.371,0.379,0.25
65-103,M,Michigan,0.311,0.689,0.0
65-103,M,Minnesota,0.311,0.689,0.0
65-103,M,Mississippi,0.493,0.291,0.216
65-103,M,Missouri,0.311,0.689,0.0
65-103,M,Montana,0.543,0.342,0.115
65-103,M,Nebraska,0.311,0.689,0.0
65-103,M,Nevada,0.543,0.342,0.115
65-103,M,New Hampshire,0.371,0.379,0.25
65-103,M,New Jersey,0.371,0.379,0.25
65-103,M,New Mexico,0.543,0.342,0.115
65-103,M,New York,0.371,0.379,0.25
65-103,M,North Carolina,0.493,0.291,0.216
65-103,M,North Dakota,0.311,0.689,0.0
65-103,M,Ohio,0.311,0.689,0.0
65-103,M,Oklahoma,0.493,0.291,0.216
65-103,M,Oregon,0.543,0.342,0.115
65-103,M,Pennsylvania,0.371,0.379,0.25
65-103,M,Rhode Island,0.371,0.379,0.25
65-103,M,South Carolina,0.493,0.291,0.216
65-103,M,South Dakota,0.311,0.689,0.0
65-103,M,Tennessee,0.493,0.291,0.216
65-103,M,Texas,0.493,0.291,0.216
65-103,M,Utah,0.543,0.342,0.115
65-103,M,Vermont,0.371,0.379,0.25
65-103,M,Virginia,0.493,0.291,0.216
65-103,M,Washington,0.543,0.342,0.115
65-103,M,West Virginia,0.493,0.291,0.216
65-103,M,Wisconsin,0.311,0.689,0.0
65-103,M,Wyoming,0.543,0.342,0.115
