age,gender,state,Prescribe_Lisinopril_10_Mg_Oral_Tablet,Prescribe_Lisinopril_1_Mg_Ml_Oral_Solution_Qbrelis,Prescribe_Lisinopril_20_Mg_Oral_Tablet,Prescribe_Lisinopril_2_5_Mg_Oral_Tablet,Prescribe_Lisinopril_30_Mg_Oral_Tablet,Prescribe_Lisinopril_40_Mg_Oral_Tablet,Prescribe_Lisinopril_5_Mg_Oral_Tablet
0-3,M,Alabama,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Arkansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Delaware,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,District of Columbia,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Florida,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Georgia,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Kentucky,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Louisiana,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Maryland,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Mississippi,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,North Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Oklahoma,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,South Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Tennessee,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Texas,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,Virginia,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0-3,M,West Virginia,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,F,Alabama,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Arkansas,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Delaware,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,District of Columbia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Florida,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Georgia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Kentucky,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Louisiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Maryland,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Mississippi,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,North Carolina,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Oklahoma,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,South Carolina,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Tennessee,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Texas,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,F,West Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12-17,M,Alabama,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Arkansas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Delaware,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,District of Columbia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Florida,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Georgia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Illinois,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Indiana,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Iowa,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Kansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Kentucky,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Louisiana,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Maryland,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Michigan,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Minnesota,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Mississippi,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Missouri,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,North Carolina,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,North Dakota,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Ohio,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Oklahoma,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,South Carolina,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,South Dakota,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-17,M,Tennessee,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Texas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Virginia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,West Virginia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,M,Wisconsin,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18-25,F,Alabama,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Alaska,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Arizona,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Arkansas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,California,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Colorado,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,Delaware,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,District of Columbia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Florida,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Georgia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Hawaii,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Idaho,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Illinois,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Indiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Iowa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kansas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kentucky,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Louisiana,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Maine,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,Maryland,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,Michigan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Minnesota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Mississippi,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Missouri,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Montana,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Nebraska,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Nevada,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,New Mexico,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,New York,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,North Carolina,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,North Dakota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Ohio,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Oklahoma,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Oregon,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,South Carolina,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,South Dakota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Tennessee,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Texas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Utah,0.5,0.0,0.5,0.0,0.0,0.0,0.0
