age,gender,state,Prescribe_Quinapril_10_Mg_Oral_Tablet,Prescribe_Quinapril_20_Mg_Oral_Tablet,Prescribe_Quinapril_40_Mg_Oral_Tablet,Prescribe_Quinapril_5_Mg_Oral_Tablet
46-65,F,Alabama,0.0,0.0,0.485,0.515
46-65,F,Arkansas,0.0,0.0,0.485,0.515
46-65,F,Connecticut,0.0,0.0,1.0,0.0
46-65,F,Delaware,0.0,0.0,0.485,0.515
46-65,F,District of Columbia,0.0,0.0,0.485,0.515
46-65,F,Florida,0.0,0.0,0.485,0.515
46-65,F,Georgia,0.0,0.0,0.485,0.515
46-65,F,Kentucky,0.0,0.0,0.485,0.515
46-65,F,Louisiana,0.0,0.0,0.485,0.515
46-65,F,Maine,0.0,0.0,1.0,0.0
46-65,F,Maryland,0.0,0.0,0.485,0.515
46-65,F,Massachusetts,0.0,0.0,1.0,0.0
46-65,F,Mississippi,0.0,0.0,0.485,0.515
46-65,F,New Hampshire,0.0,0.0,1.0,0.0
46-65,F,New Jersey,0.0,0.0,1.0,0.0
46-65,F,New York,0.0,0.0,1.0,0.0
46-65,F,North Carolina,0.0,0.0,0.485,0.515
46-65,F,Oklahoma,0.0,0.0,0.485,0.515
46-65,F,Pennsylvania,0.0,0.0,1.0,0.0
46-65,F,Rhode Island,0.0,0.0,1.0,0.0
46-65,F,South Carolina,0.0,0.0,0.485,0.515
46-65,F,Tennessee,0.0,0.0,0.485,0.515
46-65,F,Texas,0.0,0.0,0.485,0.515
46-65,F,Vermont,0.0,0.0,1.0,0.0
46-65,F,Virginia,0.0,0.0,0.485,0.515
46-65,F,West Virginia,0.0,0.0,0.485,0.515
46-65,M,Alaska,0.0,0.0,1.0,0.0
46-65,M,Arizona,0.0,0.0,1.0,0.0
46-65,M,California,0.0,0.0,1.0,0.0
46-65,M,Colorado,0.0,0.0,1.0,0.0
46-65,M,Connecticut,0.0,0.146,0.854,0.0
46-65,M,Hawaii,0.0,0.0,1.0,0.0
46-65,M,Idaho,0.0,0.0,1.0,0.0
46-65,M,Maine,0.0,0.146,0.854,0.0
46-65,M,Massachusetts,0.0,0.146,0.854,0.0
46-65,M,Montana,0.0,0.0,1.0,0.0
46-65,M,Nevada,0.0,0.0,1.0,0.0
46-65,M,New Hampshire,0.0,0.146,0.854,0.0
46-65,M,New Jersey,0.0,0.146,0.854,0.0
46-65,M,New Mexico,0.0,0.0,1.0,0.0
46-65,M,New York,0.0,0.146,0.854,0.0
46-65,M,Oregon,0.0,0.0,1.0,0.0
46-65,M,Pennsylvania,0.0,0.146,0.854,0.0
46-65,M,Rhode Island,0.0,0.146,0.854,0.0
46-65,M,Utah,0.0,0.0,1.0,0.0
46-65,M,Vermont,0.0,0.146,0.854,0.0
46-65,M,Washington,0.0,0.0,1.0,0.0
46-65,M,Wyoming,0.0,0.0,1.0,0.0
65-103,F,Alabama,0.0,0.456,0.544,0.0
65-103,F,Alaska,0.0,1.0,0.0,0.0
65-103,F,Arizona,0.0,1.0,0.0,0.0
65-103,F,Arkansas,0.0,0.456,0.544,0.0
65-103,F,California,0.0,1.0,0.0,0.0
65-103,F,Colorado,0.0,1.0,0.0,0.0
65-103,F,Connecticut,0.0,0.549,0.451,0.0
65-103,F,Delaware,0.0,0.456,0.544,0.0
65-103,F,District of Columbia,0.0,0.456,0.544,0.0
65-103,F,Florida,0.0,0.456,0.544,0.0
65-103,F,Georgia,0.0,0.456,0.544,0.0
65-103,F,Hawaii,0.0,1.0,0.0,0.0
65-103,F,Idaho,0.0,1.0,0.0,0.0
65-103,F,Illinois,1.0,0.0,0.0,0.0
65-103,F,Indiana,1.0,0.0,0.0,0.0
65-103,F,Iowa,1.0,0.0,0.0,0.0
65-103,F,Kansas,1.0,0.0,0.0,0.0
65-103,F,Kentucky,0.0,0.456,0.544,0.0
65-103,F,Louisiana,0.0,0.456,0.544,0.0
65-103,F,Maine,0.0,0.549,0.451,0.0
65-103,F,Maryland,0.0,0.456,0.544,0.0
65-103,F,Massachusetts,0.0,0.549,0.451,0.0
65-103,F,Michigan,1.0,0.0,0.0,0.0
65-103,F,Minnesota,1.0,0.0,0.0,0.0
65-103,F,Mississippi,0.0,0.456,0.544,0.0
65-103,F,Missouri,1.0,0.0,0.0,0.0
65-103,F,Montana,0.0,1.0,0.0,0.0
65-103,F,Nebraska,1.0,0.0,0.0,0.0
65-103,F,Nevada,0.0,1.0,0.0,0.0
65-103,F,New Hampshire,0.0,0.549,0.451,0.0
65-103,F,New Jersey,0.0,0.549,0.451,0.0
65-103,F,New Mexico,0.0,1.0,0.0,0.0
65-103,F,New York,0.0,0.549,0.451,0.0
65-103,F,North Carolina,0.0,0.456,0.544,0.0
65-103,F,North Dakota,1.0,0.0,0.0,0.0
65-103,F,Ohio,1.0,0.0,0.0,0.0
65-103,F,Oklahoma,0.0,0.456,0.544,0.0
65-103,F,Oregon,0.0,1.0,0.0,0.0
65-103,F,Pennsylvania,0.0,0.549,0.451,0.0
65-103,F,Rhode Island,0.0,0.549,0.451,0.0
65-103,F,South Carolina,0.0,0.456,0.544,0.0
65-103,F,South Dakota,1.0,0.0,0.0,0.0
65-103,F,Tennessee,0.0,0.456,0.544,0.0
65-103,F,Texas,0.0,0.456,0.544,0.0
65-103,F,Utah,0.0,1.0,0.0,0.0
65-103,F,Vermont,0.0,0.549,0.451,0.0
65-103,F,Virginia,0.0,0.456,0.544,0.0
65-103,F,Washington,0.0,1.0,0.0,0.0
65-103,F,West Virginia,0.0,0.456,0.544,0.0
65-103,F,Wisconsin,1.0,0.0,0.0,0.0
65-103,F,Wyoming,0.0,1.0,0.0,0.0
65-103,M,Alabama,0.165,0.0,0.835,0.0
65-103,M,Arkansas,0.165,0.0,0.835,0.0
65-103,M,Connecticut,0.217,0.23,0.553,0.0
65-103,M,Delaware,0.165,0.0,0.835,0.0
65-103,M,District of Columbia,0.165,0.0,0.835,0.0
65-103,M,Florida,0.165,0.0,0.835,0.0
65-103,M,Georgia,0.165,0.0,0.835,0.0
65-103,M,Illinois,1.0,0.0,0.0,0.0
65-103,M,Indiana,1.0,0.0,0.0,0.0
65-103,M,Iowa,1.0,0.0,0.0,0.0
65-103,M,Kansas,1.0,0.0,0.0,0.0
65-103,M,Kentucky,0.165,0.0,0.835,0.0
65-103,M,Louisiana,0.165,0.0,0.835,0.0
65-103,M,Maine,0.217,0.23,0.553,0.0
65-103,M,Maryland,0.165,0.0,0.835,0.0
65-103,M,Massachusetts,0.217,0.23,0.553,0.0
65-103,M,Michigan,1.0,0.0,0.0,0.0
65-103,M,Minnesota,1.0,0.0,0.0,0.0
65-103,M,Mississippi,0.165,0.0,0.835,0.0
65-103,M,Missouri,1.0,0.0,0.0,0.0
65-103,M,Nebraska,1.0,0.0,0.0,0.0
65-103,M,New Hampshire,0.217,0.23,0.553,0.0
65-103,M,New Jersey,0.217,0.23,0.553,0.0
65-103,M,New York,0.217,0.23,0.553,0.0
65-103,M,North Carolina,0.165,0.0,0.835,0.0
65-103,M,North Dakota,1.0,0.0,0.0,0.0
65-103,M,Ohio,1.0,0.0,0.0,0.0
65-103,M,Oklahoma,0.165,0.0,0.835,0.0
65-103,M,Pennsylvania,0.217,0.23,0.553,0.0
65-103,M,Rhode Island,0.217,0.23,0.553,0.0
65-103,M,South Carolina,0.165,0.0,0.835,0.0
65-103,M,South Dakota,1.0,0.0,0.0,0.0
65-103,M,Tennessee,0.165,0.0,0.835,0.0
65-103,M,Texas,0.165,0.0,0.835,0.0
65-103,M,Vermont,0.217,0.23,0.553,0.0
65-103,M,Virginia,0.165,0.0,0.835,0.0
65-103,M,West Virginia,0.165,0.0,0.835,0.0
65-103,M,Wisconsin,1.0,0.0,0.0,0.0
