age,gender,state,Prescribe_Ramipril_10_Mg_Oral_Capsule,Prescribe_Ramipril_1_25_Mg_Oral_Capsule,Prescribe_Ramipril_2_5_Mg_Oral_Capsule,Prescribe_Ramipril_5_Mg_Oral_Capsule
36-45,F,Alabama,0.0,0.0,0.0,1.0
36-45,F,Arkansas,0.0,0.0,0.0,1.0
36-45,F,Delaware,0.0,0.0,0.0,1.0
36-45,F,District of Columbia,0.0,0.0,0.0,1.0
36-45,F,Florida,0.0,0.0,0.0,1.0
36-45,F,Georgia,0.0,0.0,0.0,1.0
36-45,F,Kentucky,0.0,0.0,0.0,1.0
36-45,F,Louisiana,0.0,0.0,0.0,1.0
36-45,F,Maryland,0.0,0.0,0.0,1.0
36-45,F,Mississippi,0.0,0.0,0.0,1.0
36-45,F,North Carolina,0.0,0.0,0.0,1.0
36-45,F,Oklahoma,0.0,0.0,0.0,1.0
36-45,F,South Carolina,0.0,0.0,0.0,1.0
36-45,F,Tennessee,0.0,0.0,0.0,1.0
36-45,F,Texas,0.0,0.0,0.0,1.0
36-45,F,Virginia,0.0,0.0,0.0,1.0
36-45,F,West Virginia,0.0,0.0,0.0,1.0
36-45,M,Alabama,1.0,0.0,0.0,0.0
36-45,M,Arkansas,1.0,0.0,0.0,0.0
36-45,M,Connecticut,1.0,0.0,0.0,0.0
36-45,M,Delaware,1.0,0.0,0.0,0.0
36-45,M,District of Columbia,1.0,0.0,0.0,0.0
36-45,M,Florida,1.0,0.0,0.0,0.0
36-45,M,Georgia,1.0,0.0,0.0,0.0
36-45,M,Kentucky,1.0,0.0,0.0,0.0
36-45,M,Louisiana,1.0,0.0,0.0,0.0
36-45,M,Maine,1.0,0.0,0.0,0.0
36-45,M,Maryland,1.0,0.0,0.0,0.0
36-45,M,Massachusetts,1.0,0.0,0.0,0.0
36-45,M,Mississippi,1.0,0.0,0.0,0.0
36-45,M,New Hampshire,1.0,0.0,0.0,0.0
36-45,M,New Jersey,1.0,0.0,0.0,0.0
36-45,M,New York,1.0,0.0,0.0,0.0
36-45,M,North Carolina,1.0,0.0,0.0,0.0
36-45,M,Oklahoma,1.0,0.0,0.0,0.0
36-45,M,Pennsylvania,1.0,0.0,0.0,0.0
36-45,M,Rhode Island,1.0,0.0,0.0,0.0
36-45,M,South Carolina,1.0,0.0,0.0,0.0
36-45,M,Tennessee,1.0,0.0,0.0,0.0
36-45,M,Texas,1.0,0.0,0.0,0.0
36-45,M,Vermont,1.0,0.0,0.0,0.0
36-45,M,Virginia,1.0,0.0,0.0,0.0
36-45,M,West Virginia,1.0,0.0,0.0,0.0
46-65,F,Alabama,0.448,0.0,0.275,0.276
46-65,F,Alaska,0.0,0.0,0.0,1.0
46-65,F,Arizona,0.0,0.0,0.0,1.0
46-65,F,Arkansas,0.448,0.0,0.275,0.276
46-65,F,California,0.0,0.0,0.0,1.0
46-65,F,Colorado,0.0,0.0,0.0,1.0
