age,gender,state,Prescribe_Sacubitril_24_Mg_Valsartan_26_Mg_Oral_Tablet_Entresto,Prescribe_Sacubitril_49_Mg_Valsartan_51_Mg_Oral_Tablet_Entresto,Prescribe_Sacubitril_97_Mg_Valsartan_103_Mg_Oral_Tablet_Entresto
26-35,M,Alabama,0.0,0.0,1.0
26-35,M,Alaska,0.0,0.0,1.0
26-35,M,Arizona,0.0,0.0,1.0
26-35,M,Arkansas,0.0,0.0,1.0
26-35,M,California,0.0,0.0,1.0
26-35,M,Colorado,0.0,0.0,1.0
26-35,M,Delaware,0.0,0.0,1.0
26-35,M,District of Columbia,0.0,0.0,1.0
26-35,M,Florida,0.0,0.0,1.0
26-35,M,Georgia,0.0,0.0,1.0
26-35,M,Hawaii,0.0,0.0,1.0
26-35,M,Idaho,0.0,0.0,1.0
26-35,M,Kentucky,0.0,0.0,1.0
26-35,M,Louisiana,0.0,0.0,1.0
26-35,M,Maryland,0.0,0.0,1.0
26-35,M,Mississippi,0.0,0.0,1.0
26-35,M,Montana,0.0,0.0,1.0
26-35,M,Nevada,0.0,0.0,1.0
26-35,M,New Mexico,0.0,0.0,1.0
26-35,M,North Carolina,0.0,0.0,1.0
26-35,M,Oklahoma,0.0,0.0,1.0
26-35,M,Oregon,0.0,0.0,1.0
26-35,M,South Carolina,0.0,0.0,1.0
26-35,M,Tennessee,0.0,0.0,1.0
26-35,M,Texas,0.0,0.0,1.0
26-35,M,Utah,0.0,0.0,1.0
26-35,M,Virginia,0.0,0.0,1.0
26-35,M,Washington,0.0,0.0,1.0
26-35,M,West Virginia,0.0,0.0,1.0
26-35,M,Wyoming,0.0,0.0,1.0
36-45,M,Alabama,0.0,1.0,0.0
36-45,M,Alaska,1.0,0.0,0.0
36-45,M,Arizona,1.0,0.0,0.0
36-45,M,Arkansas,0.0,1.0,0.0
36-45,M,California,1.0,0.0,0.0
36-45,M,Colorado,1.0,0.0,0.0
36-45,M,Delaware,0.0,1.0,0.0
36-45,M,District of Columbia,0.0,1.0,0.0
36-45,M,Florida,0.0,1.0,0.0
36-45,M,Georgia,0.0,1.0,0.0
36-45,M,Hawaii,1.0,0.0,0.0
36-45,M,Idaho,1.0,0.0,0.0
36-45,M,Kentucky,0.0,1.0,0.0
