age,gender,state,Prescribe_Telmisartan_20_Mg_Oral_Tablet,Prescribe_Telmisartan_20_Mg_Oral_Tablet_Micardis,Prescribe_Telmisartan_40_Mg_Oral_Tablet,Prescribe_Telmisartan_80_Mg_Oral_Tablet,Prescribe_Telmisartan_80_Mg_Oral_Tablet_Micardis
26-35,F,Alabama,0.0,0.0,1.0,0.0,0.0
26-35,F,Arkansas,0.0,0.0,1.0,0.0,0.0
26-35,F,Delaware,0.0,0.0,1.0,0.0,0.0
26-35,F,District of Columbia,0.0,0.0,1.0,0.0,0.0
26-35,F,Florida,0.0,0.0,1.0,0.0,0.0
26-35,F,Georgia,0.0,0.0,1.0,0.0,0.0
26-35,F,Kentucky,0.0,0.0,1.0,0.0,0.0
26-35,F,Louisiana,0.0,0.0,1.0,0.0,0.0
26-35,F,Maryland,0.0,0.0,1.0,0.0,0.0
26-35,F,Mississippi,0.0,0.0,1.0,0.0,0.0
26-35,F,North Carolina,0.0,0.0,1.0,0.0,0.0
26-35,F,Oklahoma,0.0,0.0,1.0,0.0,0.0
26-35,F,South Carolina,0.0,0.0,1.0,0.0,0.0
26-35,F,Tennessee,0.0,0.0,1.0,0.0,0.0
26-35,F,Texas,0.0,0.0,1.0,0.0,0.0
26-35,F,Virginia,0.0,0.0,1.0,0.0,0.0
26-35,F,West Virginia,0.0,0.0,1.0,0.0,0.0
46-65,F,Alabama,0.0,0.0,0.38,0.163,0.457
46-65,F,Alaska,0.0,0.068,0.932,0.0,0.0
46-65,F,Arizona,0.0,0.068,0.932,0.0,0.0
46-65,F,Arkansas,0.0,0.0,0.38,0.163,0.457
46-65,F,California,0.0,0.068,0.932,0.0,0.0
46-65,F,Colorado,0.0,0.068,0.932,0.0,0.0
46-65,F,Delaware,0.0,0.0,0.38,0.163,0.457
46-65,F,District of Columbia,0.0,0.0,0.38,0.163,0.457
46-65,F,Florida,0.0,0.0,0.38,0.163,0.457
46-65,F,Georgia,0.0,0.0,0.38,0.163,0.457
46-65,F,Hawaii,0.0,0.068,0.932,0.0,0.0
46-65,F,Idaho,0.0,0.068,0.932,0.0,0.0
46-65,F,Illinois,1.0,0.0,0.0,0.0,0.0
46-65,F,Indiana,1.0,0.0,0.0,0.0,0.0
46-65,F,Iowa,1.0,0.0,0.0,0.0,0.0
46-65,F,Kansas,1.0,0.0,0.0,0.0,0.0
46-65,F,Kentucky,0.0,0.0,0.38,0.163,0.457
46-65,F,Louisiana,0.0,0.0,0.38,0.163,0.457
46-65,F,Maryland,0.0,0.0,0.38,0.163,0.457
46-65,F,Michigan,1.0,0.0,0.0,0.0,0.0
46-65,F,Minnesota,1.0,0.0,0.0,0.0,0.0
46-65,F,Mississippi,0.0,0.0,0.38,0.163,0.457
46-65,F,Missouri,1.0,0.0,0.0,0.0,0.0
46-65,F,Montana,0.0,0.068,0.932,0.0,0.0
46-65,F,Nebraska,1.0,0.0,0.0,0.0,0.0
46-65,F,Nevada,0.0,0.068,0.932,0.0,0.0
46-65,F,New Mexico,0.0,0.068,0.932,0.0,0.0
46-65,F,North Carolina,0.0,0.0,0.38,0.163,0.457
46-65,F,North Dakota,1.0,0.0,0.0,0.0,0.0
46-65,F,Ohio,1.0,0.0,0.0,0.0,0.0
46-65,F,Oklahoma,0.0,0.0,0.38,0.163,0.457
46-65,F,Oregon,0.0,0.068,0.932,0.0,0.0
46-65,F,South Carolina,0.0,0.0,0.38,0.163,0.457
46-65,F,South Dakota,1.0,0.0,0.0,0.0,0.0
46-65,F,Tennessee,0.0,0.0,0.38,0.163,0.457
46-65,F,Texas,0.0,0.0,0.38,0.163,0.457
46-65,F,Utah,0.0,0.068,0.932,0.0,0.0
46-65,F,Virginia,0.0,0.0,0.38,0.163,0.457
46-65,F,Washington,0.0,0.068,0.932,0.0,0.0
46-65,F,West Virginia,0.0,0.0,0.38,0.163,0.457
46-65,F,Wisconsin,1.0,0.0,0.0,0.0,0.0
46-65,F,Wyoming,0.0,0.068,0.932,0.0,0.0
46-65,M,Alabama,0.0,0.0,0.0,0.936,0.064
46-65,M,Alaska,0.0,0.0,0.48,0.26,0.26
46-65,M,Arizona,0.0,0.0,0.48,0.26,0.26
46-65,M,Arkansas,0.0,0.0,0.0,0.936,0.064
46-65,M,California,0.0,0.0,0.48,0.26,0.26
46-65,M,Colorado,0.0,0.0,0.48,0.26,0.26
46-65,M,Delaware,0.0,0.0,0.0,0.936,0.064
46-65,M,District of Columbia,0.0,0.0,0.0,0.936,0.064
46-65,M,Florida,0.0,0.0,0.0,0.936,0.064
46-65,M,Georgia,0.0,0.0,0.0,0.936,0.064
46-65,M,Hawaii,0.0,0.0,0.48,0.26,0.26
46-65,M,Idaho,0.0,0.0,0.48,0.26,0.26
46-65,M,Illinois,0.0,0.0,0.0,1.0,0.0
46-65,M,Indiana,0.0,0.0,0.0,1.0,0.0
46-65,M,Iowa,0.0,0.0,0.0,1.0,0.0
46-65,M,Kansas,0.0,0.0,0.0,1.0,0.0
46-65,M,Kentucky,0.0,0.0,0.0,0.936,0.064
46-65,M,Louisiana,0.0,0.0,0.0,0.936,0.064
46-65,M,Maryland,0.0,0.0,0.0,0.936,0.064
46-65,M,Michigan,0.0,0.0,0.0,1.0,0.0
46-65,M,Minnesota,0.0,0.0,0.0,1.0,0.0
46-65,M,Mississippi,0.0,0.0,0.0,0.936,0.064
46-65,M,Missouri,0.0,0.0,0.0,1.0,0.0
46-65,M,Montana,0.0,0.0,0.48,0.26,0.26
46-65,M,Nebraska,0.0,0.0,0.0,1.0,0.0
46-65,M,Nevada,0.0,0.0,0.48,0.26,0.26
46-65,M,New Mexico,0.0,0.0,0.48,0.26,0.26
46-65,M,North Carolina,0.0,0.0,0.0,0.936,0.064
46-65,M,North Dakota,0.0,0.0,0.0,1.0,0.0
46-65,M,Ohio,0.0,0.0,0.0,1.0,0.0
46-65,M,Oklahoma,0.0,0.0,0.0,0.936,0.064
46-65,M,Oregon,0.0,0.0,0.48,0.26,0.26
46-65,M,South Carolina,0.0,0.0,0.0,0.936,0.064
46-65,M,South Dakota,0.0,0.0,0.0,1.0,0.0
46-65,M,Tennessee,0.0,0.0,0.0,0.936,0.064
46-65,M,Texas,0.0,0.0,0.0,0.936,0.064
46-65,M,Utah,0.0,0.0,0.48,0.26,0.26
46-65,M,Virginia,0.0,0.0,0.0,0.936,0.064
46-65,M,Washington,0.0,0.0,0.48,0.26,0.26
46-65,M,West Virginia,0.0,0.0,0.0,0.936,0.064
46-65,M,Wisconsin,0.0,0.0,0.0,1.0,0.0
46-65,M,Wyoming,0.0,0.0,0.48,0.26,0.26
65-103,F,Alabama,0.0,0.0,0.255,0.745,0.0
65-103,F,Alaska,0.0,0.0,1.0,0.0,0.0
65-103,F,Arizona,0.0,0.0,1.0,0.0,0.0
65-103,F,Arkansas,0.0,0.0,0.255,0.745,0.0
65-103,F,California,0.0,0.0,1.0,0.0,0.0
65-103,F,Colorado,0.0,0.0,1.0,0.0,0.0
65-103,F,Delaware,0.0,0.0,0.255,0.745,0.0
65-103,F,District of Columbia,0.0,0.0,0.255,0.745,0.0
65-103,F,Florida,0.0,0.0,0.255,0.745,0.0
65-103,F,Georgia,0.0,0.0,0.255,0.745,0.0
65-103,F,Hawaii,0.0,0.0,1.0,0.0,0.0
65-103,F,Idaho,0.0,0.0,1.0,0.0,0.0
65-103,F,Illinois,0.0,0.0,0.0,1.0,0.0
65-103,F,Indiana,0.0,0.0,0.0,1.0,0.0
65-103,F,Iowa,0.0,0.0,0.0,1.0,0.0
