age,gender,state,Prescribe_Atenolol_100_Mg_Oral_Tablet,Prescribe_Atenolol_25_Mg_Oral_Tablet,Prescribe_Atenolol_50_Mg_Oral_Tablet
12-17,M,Alabama,0.0,1.0,0.0
12-17,M,Arkansas,0.0,1.0,0.0
12-17,M,Delaware,0.0,1.0,0.0
12-17,M,District of Columbia,0.0,1.0,0.0
12-17,M,Florida,0.0,1.0,0.0
12-17,M,Georgia,0.0,1.0,0.0
12-17,M,Kentucky,0.0,1.0,0.0
12-17,M,Louisiana,0.0,1.0,0.0
12-17,M,Maryland,0.0,1.0,0.0
12-17,M,Mississippi,0.0,1.0,0.0
12-17,M,North Carolina,0.0,1.0,0.0
12-17,M,Oklahoma,0.0,1.0,0.0
12-17,M,South Carolina,0.0,1.0,0.0
12-17,M,Tennessee,0.0,1.0,0.0
12-17,M,Texas,0.0,1.0,0.0
12-17,M,Virginia,0.0,1.0,0.0
12-17,M,West Virginia,0.0,1.0,0.0
18-25,F,Alabama,0.0,0.0,1.0
18-25,F,Alaska,0.0,1.0,0.0
18-25,F,Arizona,0.0,1.0,0.0
18-25,F,Arkansas,0.0,0.0,1.0
18-25,F,California,0.0,1.0,0.0
18-25,F,Colorado,0.0,1.0,0.0
18-25,F,Delaware,0.0,0.0,1.0
18-25,F,District of Columbia,0.0,0.0,1.0
18-25,F,Florida,0.0,0.0,1.0
18-25,F,Georgia,0.0,0.0,1.0
18-25,F,Hawaii,0.0,1.0,0.0
18-25,F,Idaho,0.0,1.0,0.0
18-25,F,Kentucky,0.0,0.0,1.0
18-25,F,Louisiana,0.0,0.0,1.0
18-25,F,Maryland,0.0,0.0,1.0
18-25,F,Mississippi,0.0,0.0,1.0
18-25,F,Montana,0.0,1.0,0.0
18-25,F,Nevada,0.0,1.0,0.0
18-25,F,New Mexico,0.0,1.0,0.0
18-25,F,North Carolina,0.0,0.0,1.0
18-25,F,Oklahoma,0.0,0.0,1.0
18-25,F,Oregon,0.0,1.0,0.0
18-25,F,South Carolina,0.0,0.0,1.0
18-25,F,Tennessee,0.0,0.0,1.0
18-25,F,Texas,0.0,0.0,1.0
18-25,F,Utah,0.0,1.0,0.0
18-25,F,Virginia,0.0,0.0,1.0
18-25,F,Washington,0.0,1.0,0.0
18-25,F,West Virginia,0.0,0.0,1.0
18-25,F,Wyoming,0.0,1.0,0.0
26-35,F,Alaska,0.0,1.0,0.0
26-35,F,Arizona,0.0,1.0,0.0
26-35,F,California,0.0,1.0,0.0
26-35,F,Colorado,0.0,1.0,0.0
26-35,F,Hawaii,0.0,1.0,0.0
26-35,F,Idaho,0.0,1.0,0.0
26-35,F,Montana,0.0,1.0,0.0
26-35,F,Nevada,0.0,1.0,0.0
26-35,F,New Mexico,0.0,1.0,0.0
26-35,F,Oregon,0.0,1.0,0.0
26-35,F,Utah,0.0,1.0,0.0
26-35,F,Washington,0.0,1.0,0.0
26-35,F,Wyoming,0.0,1.0,0.0
26-35,M,Alabama,0.0,0.0,1.0
26-35,M,Alaska,0.0,1.0,0.0
26-35,M,Arizona,0.0,1.0,0.0
26-35,M,Arkansas,0.0,0.0,1.0
26-35,M,California,0.0,1.0,0.0
26-35,M,Colorado,0.0,1.0,0.0
26-35,M,Delaware,0.0,0.0,1.0
26-35,M,District of Columbia,0.0,0.0,1.0
26-35,M,Florida,0.0,0.0,1.0
26-35,M,Georgia,0.0,0.0,1.0
26-35,M,Hawaii,0.0,1.0,0.0
26-35,M,Idaho,0.0,1.0,0.0
26-35,M,Illinois,0.0,1.0,0.0
26-35,M,Indiana,0.0,1.0,0.0
26-35,M,Iowa,0.0,1.0,0.0
26-35,M,Kansas,0.0,1.0,0.0
26-35,M,Kentucky,0.0,0.0,1.0
26-35,M,Louisiana,0.0,0.0,1.0
26-35,M,Maryland,0.0,0.0,1.0
26-35,M,Michigan,0.0,1.0,0.0
26-35,M,Minnesota,0.0,1.0,0.0
26-35,M,Mississippi,0.0,0.0,1.0
26-35,M,Missouri,0.0,1.0,0.0
26-35,M,Montana,0.0,1.0,0.0
26-35,M,Nebraska,0.0,1.0,0.0
26-35,M,Nevada,0.0,1.0,0.0
26-35,M,New Mexico,0.0,1.0,0.0
26-35,M,North Carolina,0.0,0.0,1.0
26-35,M,North Dakota,0.0,1.0,0.0
26-35,M,Ohio,0.0,1.0,0.0
26-35,M,Oklahoma,0.0,0.0,1.0
26-35,M,Oregon,0.0,1.0,0.0
26-35,M,South Carolina,0.0,0.0,1.0
26-35,M,South Dakota,0.0,1.0,0.0
26-35,M,Tennessee,0.0,0.0,1.0
26-35,M,Texas,0.0,0.0,1.0
26-35,M,Utah,0.0,1.0,0.0
26-35,M,Virginia,0.0,0.0,1.0
26-35,M,Washington,0.0,1.0,0.0
26-35,M,West Virginia,0.0,0.0,1.0
26-35,M,Wisconsin,0.0,1.0,0.0
26-35,M,Wyoming,0.0,1.0,0.0
36-45,F,Alabama,0.0,0.515,0.485
36-45,F,Alaska,0.0,0.25,0.75
36-45,F,Arizona,0.0,0.25,0.75
36-45,F,Arkansas,0.0,0.515,0.485
36-45,F,California,0.0,0.25,0.75
36-45,F,Colorado,0.0,0.25,0.75
36-45,F,Connecticut,0.0,0.0,1.0
36-45,F,Delaware,0.0,0.515,0.485
36-45,F,District of Columbia,0.0,0.515,0.485
36-45,F,Florida,0.0,0.515,0.485
36-45,F,Georgia,0.0,0.515,0.485
36-45,F,Hawaii,0.0,0.25,0.75
36-45,F,Idaho,0.0,0.25,0.75
36-45,F,Illinois,0.0,0.452,0.548
36-45,F,Indiana,0.0,0.452,0.548
36-45,F,Iowa,0.0,0.452,0.548
36-45,F,Kansas,0.0,0.452,0.548
36-45,F,Kentucky,0.0,0.515,0.485
36-45,F,Louisiana,0.0,0.515,0.485
36-45,F,Maine,0.0,0.0,1.0
36-45,F,Maryland,0.0,0.515,0.485
36-45,F,Massachusetts,0.0,0.0,1.0
36-45,F,Michigan,0.0,0.452,0.548
36-45,F,Minnesota,0.0,0.452,0.548
36-45,F,Mississippi,0.0,0.515,0.485
36-45,F,Missouri,0.0,0.452,0.548
36-45,F,Montana,0.0,0.25,0.75
36-45,F,Nebraska,0.0,0.452,0.548
36-45,F,Nevada,0.0,0.25,0.75
36-45,F,New Hampshire,0.0,0.0,1.0
36-45,F,New Jersey,0.0,0.0,1.0
36-45,F,New Mexico,0.0,0.25,0.75
36-45,F,New York,0.0,0.0,1.0
36-45,F,North Carolina,0.0,0.515,0.485
36-45,F,North Dakota,0.0,0.452,0.548
36-45,F,Ohio,0.0,0.452,0.548
36-45,F,Oklahoma,0.0,0.515,0.485
36-45,F,Oregon,0.0,0.25,0.75
36-45,F,Pennsylvania,0.0,0.0,1.0
36-45,F,Rhode Island,0.0,0.0,1.0
36-45,F,South Carolina,0.0,0.515,0.485
36-45,F,South Dakota,0.0,0.452,0.548
36-45,F,Tennessee,0.0,0.515,0.485
36-45,F,Texas,0.0,0.515,0.485
36-45,F,Utah,0.0,0.25,0.75
36-45,F,Vermont,0.0,0.0,1.0
36-45,F,Virginia,0.0,0.515,0.485
36-45,F,Washington,0.0,0.25,0.75
36-45,F,West Virginia,0.0,0.515,0.485
36-45,F,Wisconsin,0.0,0.452,0.548
36-45,F,Wyoming,0.0,0.25,0.75
36-45,M,Alabama,0.21,0.0,0.79
36-45,M,Alaska,0.0,1.0,0.0
36-45,M,Arizona,0.0,1.0,0.0
36-45,M,Arkansas,0.21,0.0,0.79
36-45,M,California,0.0,1.0,0.0
36-45,M,Colorado,0.0,1.0,0.0
36-45,M,Connecticut,1.0,0.0,0.0
36-45,M,Delaware,0.21,0.0,0.79
36-45,M,District of Columbia,0.21,0.0,0.79
36-45,M,Florida,0.21,0.0,0.79
36-45,M,Georgia,0.21,0.0,0.79
36-45,M,Hawaii,0.0,1.0,0.0
36-45,M,Idaho,0.0,1.0,0.0
36-45,M,Kentucky,0.21,0.0,0.79
36-45,M,Louisiana,0.21,0.0,0.79
36-45,M,Maine,1.0,0.0,0.0
36-45,M,Maryland,0.21,0.0,0.79
36-45,M,Massachusetts,1.0,0.0,0.0
36-45,M,Mississippi,0.21,0.0,0.79
36-45,M,Montana,0.0,1.0,0.0
36-45,M,Nevada,0.0,1.0,0.0
36-45,M,New Hampshire,1.0,0.0,0.0
36-45,M,New Jersey,1.0,0.0,0.0
36-45,M,New Mexico,0.0,1.0,0.0
36-45,M,New York,1.0,0.0,0.0
36-45,M,North Carolina,0.21,0.0,0.79
36-45,M,Oklahoma,0.21,0.0,0.79
36-45,M,Oregon,0.0,1.0,0.0
36-45,M,Pennsylvania,1.0,0.0,0.0
36-45,M,Rhode Island,1.0,0.0,0.0
36-45,M,South Carolina,0.21,0.0,0.79
36-45,M,Tennessee,0.21,0.0,0.79
36-45,M,Texas,0.21,0.0,0.79
36-45,M,Utah,0.0,1.0,0.0
36-45,M,Vermont,1.0,0.0,0.0
36-45,M,Virginia,0.21,0.0,0.79
36-45,M,Washington,0.0,1.0,0.0
36-45,M,West Virginia,0.21,0.0,0.79
36-45,M,Wyoming,0.0,1.0,0.0
46-65,F,Alabama,0.0,0.59,0.41
46-65,F,Alaska,0.0,0.629,0.371
46-65,F,Arizona,0.0,0.629,0.371
46-65,F,Arkansas,0.0,0.59,0.41
46-65,F,California,0.0,0.629,0.371
46-65,F,Colorado,0.0,0.629,0.371
46-65,F,Connecticut,0.256,0.491,0.253
46-65,F,Delaware,0.0,0.59,0.41
46-65,F,District of Columbia,0.0,0.59,0.41
46-65,F,Florida,0.0,0.59,0.41
46-65,F,Georgia,0.0,0.59,0.41
46-65,F,Hawaii,0.0,0.629,0.371
46-65,F,Idaho,0.0,0.629,0.371
46-65,F,Illinois,0.14,0.46,0.4
46-65,F,Indiana,0.14,0.46,0.4
46-65,F,Iowa,0.14,0.46,0.4
46-65,F,Kansas,0.14,0.46,0.4
46-65,F,Kentucky,0.0,0.59,0.41
46-65,F,Louisiana,0.0,0.59,0.41
46-65,F,Maine,0.256,0.491,0.253
46-65,F,Maryland,0.0,0.59,0.41
46-65,F,Massachusetts,0.256,0.491,0.253
46-65,F,Michigan,0.14,0.46,0.4
46-65,F,Minnesota,0.14,0.46,0.4
46-65,F,Mississippi,0.0,0.59,0.41
46-65,F,Missouri,0.14,0.46,0.4
46-65,F,Montana,0.0,0.629,0.371
46-65,F,Nebraska,0.14,0.46,0.4
46-65,F,Nevada,0.0,0.629,0.371
46-65,F,New Hampshire,0.256,0.491,0.253
46-65,F,New Jersey,0.256,0.491,0.253
46-65,F,New Mexico,0.0,0.629,0.371
46-65,F,New York,0.256,0.491,0.253
46-65,F,North Carolina,0.0,0.59,0.41
46-65,F,North Dakota,0.14,0.46,0.4
46-65,F,Ohio,0.14,0.46,0.4
46-65,F,Oklahoma,0.0,0.59,0.41
46-65,F,Oregon,0.0,0.629,0.371
46-65,F,Pennsylvania,0.256,0.491,0.253
46-65,F,Rhode Island,0.256,0.491,0.253
46-65,F,South Carolina,0.0,0.59,0.41
46-65,F,South Dakota,0.14,0.46,0.4
46-65,F,Tennessee,0.0,0.59,0.41
46-65,F,Texas,0.0,0.59,0.41
46-65,F,Utah,0.0,0.629,0.371
46-65,F,Vermont,0.256,0.491,0.253
46-65,F,Virginia,0.0,0.59,0.41
46-65,F,Washington,0.0,0.629,0.371
46-65,F,West Virginia,0.0,0.59,0.41
46-65,F,Wisconsin,0.14,0.46,0.4
46-65,F,Wyoming,0.0,0.629,0.371
46-65,M,Alabama,0.109,0.58,0.311
46-65,M,Alaska,0.195,0.174,0.631
46-65,M,Arizona,0.195,0.174,0.631
46-65,M,Arkansas,0.109,0.58,0.311
46-65,M,California,0.195,0.174,0.631
46-65,M,Colorado,0.195,0.174,0.631
46-65,M,Connecticut,0.086,0.635,0.279
46-65,M,Delaware,0.109,0.58,0.311
46-65,M,District of Columbia,0.109,0.58,0.311
46-65,M,Florida,0.109,0.58,0.311
46-65,M,Georgia,0.109,0.58,0.311
46-65,M,Hawaii,0.195,0.174,0.631
46-65,M,Idaho,0.195,0.174,0.631
46-65,M,Illinois,0.262,0.296,0.442
46-65,M,Indiana,0.262,0.296,0.442
46-65,M,Iowa,0.262,0.296,0.442
46-65,M,Kansas,0.262,0.296,0.442
46-65,M,Kentucky,0.109,0.58,0.311
46-65,M,Louisiana,0.109,0.58,0.311
46-65,M,Maine,0.086,0.635,0.279
46-65,M,Maryland,0.109,0.58,0.311
46-65,M,Massachusetts,0.086,0.635,0.279
46-65,M,Michigan,0.262,0.296,0.442
46-65,M,Minnesota,0.262,0.296,0.442
46-65,M,Mississippi,0.109,0.58,0.311
46-65,M,Missouri,0.262,0.296,0.442
46-65,M,Montana,0.195,0.174,0.631
46-65,M,Nebraska,0.262,0.296,0.442
46-65,M,Nevada,0.195,0.174,0.631
46-65,M,New Hampshire,0.086,0.635,0.279
46-65,M,New Jersey,0.086,0.635,0.279
46-65,M,New Mexico,0.195,0.174,0.631
46-65,M,New York,0.086,0.635,0.279
46-65,M,North Carolina,0.109,0.58,0.311
46-65,M,North Dakota,0.262,0.296,0.442
46-65,M,Ohio,0.262,0.296,0.442
46-65,M,Oklahoma,0.109,0.58,0.311
46-65,M,Oregon,0.195,0.174,0.631
46-65,M,Pennsylvania,0.086,0.635,0.279
46-65,M,Rhode Island,0.086,0.635,0.279
46-65,M,South Carolina,0.109,0.58,0.311
46-65,M,South Dakota,0.262,0.296,0.442
46-65,M,Tennessee,0.109,0.58,0.311
46-65,M,Texas,0.109,0.58,0.311
46-65,M,Utah,0.195,0.174,0.631
46-65,M,Vermont,0.086,0.635,0.279
46-65,M,Virginia,0.109,0.58,0.311
46-65,M,Washington,0.195,0.174,0.631
46-65,M,West Virginia,0.109,0.58,0.311
46-65,M,Wisconsin,0.262,0.296,0.442
46-65,M,Wyoming,0.195,0.174,0.631
65-103,F,Alabama,0.09,0.525,0.385
65-103,F,Alaska,0.074,0.411,0.515
65-103,F,Arizona,0.074,0.411,0.515
65-103,F,Arkansas,0.09,0.525,0.385
65-103,F,California,0.074,0.411,0.515
65-103,F,Colorado,0.074,0.411,0.515
65-103,F,Connecticut,0.074,0.287,0.639
65-103,F,Delaware,0.09,0.525,0.385
65-103,F,District of Columbia,0.09,0.525,0.385
65-103,F,Florida,0.09,0.525,0.385
65-103,F,Georgia,0.09,0.525,0.385
65-103,F,Hawaii,0.074,0.411,0.515
65-103,F,Idaho,0.074,0.411,0.515
65-103,F,Illinois,0.089,0.363,0.548
65-103,F,Indiana,0.089,0.363,0.548
65-103,F,Iowa,0.089,0.363,0.548
65-103,F,Kansas,0.089,0.363,0.548
65-103,F,Kentucky,0.09,0.525,0.385
65-103,F,Louisiana,0.09,0.525,0.385
65-103,F,Maine,0.074,0.287,0.639
65-103,F,Maryland,0.09,0.525,0.385
65-103,F,Massachusetts,0.074,0.287,0.639
65-103,F,Michigan,0.089,0.363,0.548
65-103,F,Minnesota,0.089,0.363,0.548
65-103,F,Mississippi,0.09,0.525,0.385
65-103,F,Missouri,0.089,0.363,0.548
65-103,F,Montana,0.074,0.411,0.515
65-103,F,Nebraska,0.089,0.363,0.548
65-103,F,Nevada,0.074,0.411,0.515
