age,gender,state,Prescribe_Bisoprolol_Fumarate_10_Mg_Hydrochlorothiazide_6_25_Mg_Oral_Tablet,Prescribe_Bisoprolol_Fumarate_2_5_Mg_Hydrochlorothiazide_6_25_Mg_Oral_Tablet,Prescribe_Bisoprolol_Fumarate_5_Mg_Hydrochlorothiazide_6_25_Mg_Oral_Tablet
26-35,F,Alabama,0.0,0.0,1.0
26-35,F,Arkansas,0.0,0.0,1.0
26-35,F,Delaware,0.0,0.0,1.0
26-35,F,District of Columbia,0.0,0.0,1.0
26-35,F,Florida,0.0,0.0,1.0
26-35,F,Georgia,0.0,0.0,1.0
26-35,F,Kentucky,0.0,0.0,1.0
26-35,F,Louisiana,0.0,0.0,1.0
26-35,F,Maryland,0.0,0.0,1.0
26-35,F,Mississippi,0.0,0.0,1.0
26-35,F,North Carolina,0.0,0.0,1.0
26-35,F,Oklahoma,0.0,0.0,1.0
26-35,F,South Carolina,0.0,0.0,1.0
26-35,F,Tennessee,0.0,0.0,1.0
26-35,F,Texas,0.0,0.0,1.0
26-35,F,Virginia,0.0,0.0,1.0
26-35,F,West Virginia,0.0,0.0,1.0
36-45,M,Illinois,0.0,0.308,0.692
36-45,M,Indiana,0.0,0.308,0.692
36-45,M,Iowa,0.0,0.308,0.692
36-45,M,Kansas,0.0,0.308,0.692
36-45,M,Michigan,0.0,0.308,0.692
36-45,M,Minnesota,0.0,0.308,0.692
36-45,M,Missouri,0.0,0.308,0.692
36-45,M,Nebraska,0.0,0.308,0.692
36-45,M,North Dakota,0.0,0.308,0.692
36-45,M,Ohio,0.0,0.308,0.692
36-45,M,South Dakota,0.0,0.308,0.692
36-45,M,Wisconsin,0.0,0.308,0.692
46-65,F,Alabama,0.489,0.33,0.181
46-65,F,Alaska,0.0,1.0,0.0
46-65,F,Arizona,0.0,1.0,0.0
46-65,F,Arkansas,0.489,0.33,0.181
46-65,F,California,0.0,1.0,0.0
46-65,F,Colorado,0.0,1.0,0.0
46-65,F,Connecticut,0.266,0.734,0.0
46-65,F,Delaware,0.489,0.33,0.181
46-65,F,District of Columbia,0.489,0.33,0.181
46-65,F,Florida,0.489,0.33,0.181
46-65,F,Georgia,0.489,0.33,0.181
46-65,F,Hawaii,0.0,1.0,0.0
46-65,F,Idaho,0.0,1.0,0.0
46-65,F,Illinois,1.0,0.0,0.0
46-65,F,Indiana,1.0,0.0,0.0
46-65,F,Iowa,1.0,0.0,0.0
46-65,F,Kansas,1.0,0.0,0.0
46-65,F,Kentucky,0.489,0.33,0.181
46-65,F,Louisiana,0.489,0.33,0.181
46-65,F,Maine,0.266,0.734,0.0
46-65,F,Maryland,0.489,0.33,0.181
46-65,F,Massachusetts,0.266,0.734,0.0
46-65,F,Michigan,1.0,0.0,0.0
46-65,F,Minnesota,1.0,0.0,0.0
46-65,F,Mississippi,0.489,0.33,0.181
46-65,F,Missouri,1.0,0.0,0.0
46-65,F,Montana,0.0,1.0,0.0
46-65,F,Nebraska,1.0,0.0,0.0
46-65,F,Nevada,0.0,1.0,0.0
46-65,F,New Hampshire,0.266,0.734,0.0
46-65,F,New Jersey,0.266,0.734,0.0
46-65,F,New Mexico,0.0,1.0,0.0
46-65,F,New York,0.266,0.734,0.0
46-65,F,North Carolina,0.489,0.33,0.181
46-65,F,North Dakota,1.0,0.0,0.0
46-65,F,Ohio,1.0,0.0,0.0
46-65,F,Oklahoma,0.489,0.33,0.181
46-65,F,Oregon,0.0,1.0,0.0
46-65,F,Pennsylvania,0.266,0.734,0.0
46-65,F,Rhode Island,0.266,0.734,0.0
46-65,F,South Carolina,0.489,0.33,0.181
46-65,F,South Dakota,1.0,0.0,0.0
46-65,F,Tennessee,0.489,0.33,0.181
46-65,F,Texas,0.489,0.33,0.181
46-65,F,Utah,0.0,1.0,0.0
46-65,F,Vermont,0.266,0.734,0.0
46-65,F,Virginia,0.489,0.33,0.181
46-65,F,Washington,0.0,1.0,0.0
46-65,F,West Virginia,0.489,0.33,0.181
46-65,F,Wisconsin,1.0,0.0,0.0
46-65,F,Wyoming,0.0,1.0,0.0
46-65,M,Alabama,0.0,0.436,0.564
46-65,M,Arkansas,0.0,0.436,0.564
46-65,M,Connecticut,0.0,1.0,0.0
46-65,M,Delaware,0.0,0.436,0.564
46-65,M,District of Columbia,0.0,0.436,0.564
46-65,M,Florida,0.0,0.436,0.564
46-65,M,Georgia,0.0,0.436,0.564
46-65,M,Kentucky,0.0,0.436,0.564
46-65,M,Louisiana,0.0,0.436,0.564
46-65,M,Maine,0.0,1.0,0.0
46-65,M,Maryland,0.0,0.436,0.564
46-65,M,Massachusetts,0.0,1.0,0.0
46-65,M,Mississippi,0.0,0.436,0.564
46-65,M,New Hampshire,0.0,1.0,0.0
46-65,M,New Jersey,0.0,1.0,0.0
46-65,M,New York,0.0,1.0,0.0
46-65,M,North Carolina,0.0,0.436,0.564
46-65,M,Oklahoma,0.0,0.436,0.564
46-65,M,Pennsylvania,0.0,1.0,0.0
46-65,M,Rhode Island,0.0,1.0,0.0
46-65,M,South Carolina,0.0,0.436,0.564
46-65,M,Tennessee,0.0,0.436,0.564
46-65,M,Texas,0.0,0.436,0.564
46-65,M,Vermont,0.0,1.0,0.0
46-65,M,Virginia,0.0,0.436,0.564
46-65,M,West Virginia,0.0,0.436,0.564
65-103,F,Alabama,0.436,0.114,0.45
65-103,F,Alaska,0.0,0.236,0.764
65-103,F,Arizona,0.0,0.236,0.764
65-103,F,Arkansas,0.436,0.114,0.45
65-103,F,California,0.0,0.236,0.764
65-103,F,Colorado,0.0,0.236,0.764
65-103,F,Connecticut,0.292,0.708,0.0
65-103,F,Delaware,0.436,0.114,0.45
65-103,F,District of Columbia,0.436,0.114,0.45
65-103,F,Florida,0.436,0.114,0.45
65-103,F,Georgia,0.436,0.114,0.45
65-103,F,Hawaii,0.0,0.236,0.764
65-103,F,Idaho,0.0,0.236,0.764
65-103,F,Illinois,0.0,0.515,0.485
65-103,F,Indiana,0.0,0.515,0.485
65-103,F,Iowa,0.0,0.515,0.485
65-103,F,Kansas,0.0,0.515,0.485
65-103,F,Kentucky,0.436,0.114,0.45
65-103,F,Louisiana,0.436,0.114,0.45
65-103,F,Maine,0.292,0.708,0.0
65-103,F,Maryland,0.436,0.114,0.45
65-103,F,Massachusetts,0.292,0.708,0.0
65-103,F,Michigan,0.0,0.515,0.485
65-103,F,Minnesota,0.0,0.515,0.485
65-103,F,Mississippi,0.436,0.114,0.45
65-103,F,Missouri,0.0,0.515,0.485
65-103,F,Montana,0.0,0.236,0.764
65-103,F,Nebraska,0.0,0.515,0.485
65-103,F,Nevada,0.0,0.236,0.764
65-103,F,New Hampshire,0.292,0.708,0.0
65-103,F,New Jersey,0.292,0.708,0.0
65-103,F,New Mexico,0.0,0.236,0.764
65-103,F,New York,0.292,0.708,0.0
65-103,F,North Carolina,0.436,0.114,0.45
65-103,F,North Dakota,0.0,0.515,0.485
65-103,F,Ohio,0.0,0.515,0.485
65-103,F,Oklahoma,0.436,0.114,0.45
65-103,F,Oregon,0.0,0.236,0.764
65-103,F,Pennsylvania,0.292,0.708,0.0
65-103,F,Rhode Island,0.292,0.708,0.0
65-103,F,South Carolina,0.436,0.114,0.45
65-103,F,South Dakota,0.0,0.515,0.485
65-103,F,Tennessee,0.436,0.114,0.45
65-103,F,Texas,0.436,0.114,0.45
65-103,F,Utah,0.0,0.236,0.764
65-103,F,Vermont,0.292,0.708,0.0
65-103,F,Virginia,0.436,0.114,0.45
65-103,F,Washington,0.0,0.236,0.764
65-103,F,West Virginia,0.436,0.114,0.45
65-103,F,Wisconsin,0.0,0.515,0.485
65-103,F,Wyoming,0.0,0.236,0.764
65-103,M,Illinois,0.0,0.0,0.0
65-103,M,Indiana,0.0,0.0,0.0
65-103,M,Iowa,0.0,0.0,0.0
