age,gender,state,Prescribe_Bisoprolol_Fumarate_10_Mg_Oral_Tablet,Prescribe_Bisoprolol_Fumarate_5_Mg_Oral_Tablet
36-45,M,Connecticut,0.0,1.0
36-45,M,Maine,0.0,1.0
36-45,M,Massachusetts,0.0,1.0
36-45,M,New Hampshire,0.0,1.0
36-45,M,New Jersey,0.0,1.0
36-45,M,New York,0.0,1.0
36-45,M,Pennsylvania,0.0,1.0
36-45,M,Rhode Island,0.0,1.0
36-45,M,Vermont,0.0,1.0
46-65,F,Alabama,0.0,1.0
46-65,F,Alaska,0.37,0.63
46-65,F,Arizona,0.37,0.63
46-65,F,Arkansas,0.0,1.0
46-65,F,California,0.37,0.63
46-65,F,Colorado,0.37,0.63
46-65,F,Connecticut,0.161,0.839
46-65,F,Delaware,0.0,1.0
46-65,F,District of Columbia,0.0,1.0
46-65,F,Florida,0.0,1.0
46-65,F,Georgia,0.0,1.0
46-65,F,Hawaii,0.37,0.63
46-65,F,Idaho,0.37,0.63
46-65,F,Illinois,0.277,0.723
46-65,F,Indiana,0.277,0.723
46-65,F,Iowa,0.277,0.723
46-65,F,Kansas,0.277,0.723
46-65,F,Kentucky,0.0,1.0
46-65,F,Louisiana,0.0,1.0
46-65,F,Maine,0.161,0.839
46-65,F,Maryland,0.0,1.0
46-65,F,Massachusetts,0.161,0.839
46-65,F,Michigan,0.277,0.723
46-65,F,Minnesota,0.277,0.723
46-65,F,Mississippi,0.0,1.0
46-65,F,Missouri,0.277,0.723
46-65,F,Montana,0.37,0.63
46-65,F,Nebraska,0.277,0.723
46-65,F,Nevada,0.37,0.63
46-65,F,New Hampshire,0.161,0.839
46-65,F,New Jersey,0.161,0.839
46-65,F,New Mexico,0.37,0.63
46-65,F,New York,0.161,0.839
46-65,F,North Carolina,0.0,1.0
46-65,F,North Dakota,0.277,0.723
46-65,F,Ohio,0.277,0.723
46-65,F,Oklahoma,0.0,1.0
46-65,F,Oregon,0.37,0.63
46-65,F,Pennsylvania,0.161,0.839
46-65,F,Rhode Island,0.161,0.839
46-65,F,South Carolina,0.0,1.0
46-65,F,South Dakota,0.277,0.723
46-65,F,Tennessee,0.0,1.0
46-65,F,Texas,0.0,1.0
46-65,F,Utah,0.37,0.63
46-65,F,Vermont,0.161,0.839
46-65,F,Virginia,0.0,1.0
46-65,F,Washington,0.37,0.63
46-65,F,West Virginia,0.0,1.0
46-65,F,Wisconsin,0.277,0.723
46-65,F,Wyoming,0.37,0.63
46-65,M,Alabama,0.603,0.397
46-65,M,Arkansas,0.603,0.397
46-65,M,Connecticut,0.0,1.0
46-65,M,Delaware,0.603,0.397
46-65,M,District of Columbia,0.603,0.397
46-65,M,Florida,0.603,0.397
46-65,M,Georgia,0.603,0.397
46-65,M,Illinois,0.0,1.0
46-65,M,Indiana,0.0,1.0
46-65,M,Iowa,0.0,1.0
46-65,M,Kansas,0.0,1.0
46-65,M,Kentucky,0.603,0.397
46-65,M,Louisiana,0.603,0.397
46-65,M,Maine,0.0,1.0
46-65,M,Maryland,0.603,0.397
46-65,M,Massachusetts,0.0,1.0
46-65,M,Michigan,0.0,1.0
46-65,M,Minnesota,0.0,1.0
