age,gender,state,Prescribe_24_Hr_Metoprolol_Succinate_100_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_200_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_25_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_25_Mg_Extended_Release_Oral_Tablet_Toprol,Prescribe_24_Hr_Metoprolol_Succinate_50_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_50_Mg_Extended_Release_Oral_Tablet_Toprol,Prescribe_5_Ml_Metoprolol_Tartrate_1_Mg_Ml_Cartridge,Prescribe_5_Ml_Metoprolol_Tartrate_1_Mg_Ml_Injection,Prescribe_Metoprolol_Tartrate_100_Mg_Oral_Tablet,Prescribe_Metoprolol_Tartrate_25_Mg_Oral_Tablet,Prescribe_Metoprolol_Tartrate_50_Mg_Oral_Tablet,Prescribe_Metoprolol_Tartrate_50_Mg_Oral_Tablet_Lopressor
12-17,M,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
12-17,M,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,0.0,0.0
18-25,F,Connecticut,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,Illinois,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Indiana,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Iowa,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Kansas,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Maine,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,Massachusetts,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,Michigan,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Minnesota,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Missouri,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
