age,gender,state,Prescribe_Nebivolol_10_Mg_Oral_Tablet_Bystolic,Prescribe_Nebivolol_20_Mg_Oral_Tablet_Bystolic,Prescribe_Nebivolol_2_5_Mg_Oral_Tablet_Bystolic,Prescribe_Nebivolol_5_Mg_Oral_Tablet_Bystolic
36-45,F,Alabama,0.0,0.0,0.0,1.0
36-45,F,Arkansas,0.0,0.0,0.0,1.0
36-45,F,Delaware,0.0,0.0,0.0,1.0
36-45,F,District of Columbia,0.0,0.0,0.0,1.0
36-45,F,Florida,0.0,0.0,0.0,1.0
36-45,F,Georgia,0.0,0.0,0.0,1.0
36-45,F,Kentucky,0.0,0.0,0.0,1.0
36-45,F,Louisiana,0.0,0.0,0.0,1.0
36-45,F,Maryland,0.0,0.0,0.0,1.0
36-45,F,Mississippi,0.0,0.0,0.0,1.0
36-45,F,North Carolina,0.0,0.0,0.0,1.0
36-45,F,Oklahoma,0.0,0.0,0.0,1.0
36-45,F,South Carolina,0.0,0.0,0.0,1.0
36-45,F,Tennessee,0.0,0.0,0.0,1.0
36-45,F,Texas,0.0,0.0,0.0,1.0
36-45,F,Virginia,0.0,0.0,0.0,1.0
36-45,F,West Virginia,0.0,0.0,0.0,1.0
36-45,M,Alabama,0.0,0.0,0.245,0.755
36-45,M,Arkansas,0.0,0.0,0.245,0.755
36-45,M,Delaware,0.0,0.0,0.245,0.755
36-45,M,District of Columbia,0.0,0.0,0.245,0.755
36-45,M,Florida,0.0,0.0,0.245,0.755
36-45,M,Georgia,0.0,0.0,0.245,0.755
36-45,M,Kentucky,0.0,0.0,0.245,0.755
36-45,M,Louisiana,0.0,0.0,0.245,0.755
36-45,M,Maryland,0.0,0.0,0.245,0.755
36-45,M,Mississippi,0.0,0.0,0.245,0.755
36-45,M,North Carolina,0.0,0.0,0.245,0.755
36-45,M,Oklahoma,0.0,0.0,0.245,0.755
36-45,M,South Carolina,0.0,0.0,0.245,0.755
36-45,M,Tennessee,0.0,0.0,0.245,0.755
36-45,M,Texas,0.0,0.0,0.245,0.755
36-45,M,Virginia,0.0,0.0,0.245,0.755
36-45,M,West Virginia,0.0,0.0,0.245,0.755
46-65,F,Alabama,0.454,0.135,0.115,0.296
46-65,F,Alaska,0.224,0.0,0.0,0.776
46-65,F,Arizona,0.224,0.0,0.0,0.776
46-65,F,Arkansas,0.454,0.135,0.115,0.296
46-65,F,California,0.224,0.0,0.0,0.776
46-65,F,Colorado,0.224,0.0,0.0,0.776
46-65,F,Connecticut,0.538,0.0,0.0,0.462
46-65,F,Delaware,0.454,0.135,0.115,0.296
46-65,F,District of Columbia,0.454,0.135,0.115,0.296
46-65,F,Florida,0.454,0.135,0.115,0.296
46-65,F,Georgia,0.454,0.135,0.115,0.296
46-65,F,Hawaii,0.224,0.0,0.0,0.776
46-65,F,Idaho,0.224,0.0,0.0,0.776
46-65,F,Illinois,0.0,0.396,0.0,0.604
