age,gender,state,Prescribe_24_Hr_Propranolol_Hydrochloride_120_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_160_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_60_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_80_Mg_Extended_Release_Oral_Capsule,Prescribe_Propranolol_Hydrochloride_10_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_20_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_40_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_60_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_80_Mg_Oral_Tablet
12-17,F,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Arkansas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Delaware,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,District of Columbia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Florida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Georgia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Kentucky,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Louisiana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Maryland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Mississippi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,North Carolina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Oklahoma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,South Carolina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Tennessee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Texas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Virginia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,West Virginia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Arkansas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,California,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Delaware,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,District of Columbia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Florida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Georgia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Illinois,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Indiana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Iowa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kentucky,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Louisiana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Maryland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Michigan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Minnesota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Mississippi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Missouri,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Montana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,North Carolina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,North Dakota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Ohio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Oklahoma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,South Carolina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,South Dakota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Tennessee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Texas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Utah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Virginia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Washington,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,West Virginia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Wisconsin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,M,Alaska,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Arizona,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,California,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Colorado,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Hawaii,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Idaho,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Illinois,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Indiana,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Iowa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Kansas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Michigan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Minnesota,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Missouri,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Montana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Nebraska,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Nevada,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,New Mexico,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,North Dakota,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Ohio,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Oregon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,South Dakota,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Utah,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Washington,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,M,Wisconsin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Wyoming,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Alaska,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Arizona,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Arkansas,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,California,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Colorado,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Connecticut,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Delaware,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,District of Columbia,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Florida,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Georgia,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Hawaii,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Idaho,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Illinois,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Indiana,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Iowa,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Kansas,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Kentucky,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Louisiana,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Maine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Maryland,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Massachusetts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Michigan,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Minnesota,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Mississippi,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Missouri,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Montana,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Nebraska,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Nevada,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,New Hampshire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,New Jersey,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,New Mexico,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,New York,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,North Carolina,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,North Dakota,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Ohio,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Oklahoma,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Oregon,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Pennsylvania,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Rhode Island,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,South Carolina,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,South Dakota,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Tennessee,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Texas,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Utah,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,Vermont,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Virginia,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Washington,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,F,West Virginia,0.0,0.0,0.204,0.0,0.398,0.187,0.21,0.0,0.0
26-35,F,Wisconsin,0.0,0.0,0.41,0.0,0.18,0.41,0.0,0.0,0.0
26-35,F,Wyoming,0.0,0.0,0.0,0.0,0.637,0.041,0.323,0.0,0.0
26-35,M,Alabama,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Arkansas,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Delaware,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,District of Columbia,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Florida,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Georgia,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Illinois,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Indiana,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Iowa,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Kansas,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Kentucky,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Louisiana,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Maryland,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Michigan,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Minnesota,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
