age,gender,covid19_severity,Survival: Survivor,Survival: Non-Survivor
0-9,M,critical,0.95,0.05
10-19,M,critical,0.95,0.05
20-29,M,critical,0.858,0.142
30-39,M,critical,0.908,0.092
40-49,M,critical,0.836,0.164
50-59,M,critical,0.756,0.244
60-69,M,critical,0.626,0.374
70-79,M,critical,0.284,0.716
80-89,M,critical,0,1
90-110,M,critical,0,1
0-9,M,severe,1,0
10-19,M,severe,1,0
20-29,M,severe,0.929,0.071
30-39,M,severe,0.954,0.046
40-49,M,severe,0.918,0.082
50-59,M,severe,0.878,0.122
60-69,M,severe,0.813,0.187
70-79,M,severe,0.642,0.358
80-89,M,severe,0.394,0.606
90-110,M,severe,0.364,0.636
0-110,M,general,1,0
0-110,M,negative,1,0
0-9,F,critical,0.98,0.02
10-19,F,critical,0.98,0.02
20-29,F,critical,0.964,0.036
30-39,F,critical,0.95,0.05
40-49,F,critical,0.95,0.05
50-59,F,critical,0.862,0.138
60-69,F,critical,0.76,0.24
70-79,F,critical,0.452,0.548
80-89,F,critical,0.038,0.962
90-110,F,critical,0.072,0.928
0-9,F,severe,1,0
10-19,F,severe,1,0
20-29,F,severe,0.982,0.018
30-39,F,severe,0.975,0.025
40-49,F,severe,0.975,0.025
50-59,F,severe,0.931,0.069
60-69,F,severe,0.88,0.12
70-79,F,severe,0.726,0.274
80-89,F,severe,0.519,0.481
90-110,F,severe,0.536,0.464
0-110,F,general,1,0
0-110,F,negative,1,0
