date,Ages_12-15_yrs,Ages_16-17_yrs,Ages_18-29_yrs,Ages_30-39_yrs,Ages_40-49_yrs,Ages_50-64_yrs,Ages_65-74_yrs,Ages_75+_yrs
12/16/2020,0,0,172,425,409,472,68,4
12/17/2020,0,0,2044,3782,3225,3942,723,122
12/18/2020,2,4,8380,15591,13029,16116,3138,520
12/19/2020,2,20,17893,34102,28999,37473,7067,1202
12/20/2020,5,28,30132,56755,49284,64449,12431,2033
12/21/2020,4,29,19724,35610,29238,36669,7135,1398
12/22/2020,3,30,15924,30006,25060,31018,6344,1384
12/23/2020,2,45,33058,58113,51256,68465,13832,2857
12/24/2020,7,76,46399,81090,72986,100446,21189,5787
12/25/2020,2,120,53252,93041,85690,119245,26728,11533
12/26/2020,3,59,24321,40394,37449,53841,12630,7456
12/27/2020,2,61,9330,13707,12291,20107,6744,8521
12/28/2020,4,37,12251,19562,18602,26424,6311,2650
12/29/2020,2,56,14868,23769,22683,32138,8609,4621
12/30/2020,4,118,47453,76447,73311,109172,28669,15208
12/31/2020,7,155,54685,85753,82724,128106,38184,25877
1/1/2021,7,248,67911,103522,101570,155908,46089,33389
1/2/2021,5,222,45871,70300,67628,102259,28703,25824
1/3/2021,2,143,17045,25896,25419,41918,16364,20038
1/4/2021,2,132,19762,27453,27846,44843,18116,39290
1/5/2021,3,81,18491,24330,24274,36743,12187,15730
1/6/2021,11,227,51198,70849,69955,107093,41748,40180
1/7/2021,10,402,63068,89358,89688,139966,60272,57851
1/8/2021,24,379,74333,101680,101166,162100,77014,82941
1/9/2021,13,326,71088,97182,97783,154967,85294,88213
1/10/2021,7,485,70960,94042,94244,153034,111282,121502
1/11/2021,4,378,44045,56008,54467,89047,41224,64052
1/12/2021,1,375,31635,37818,39351,65338,47628,63269
1/13/2021,12,470,59618,76629,79150,125048,92798,122399
1/14/2021,10,479,71642,88847,88070,133149,102408,137438
1/15/2021,18,729,80267,102035,105645,165064,122460,190598
1/16/2021,18,604,89621,113792,118939,187147,198185,233139
1/17/2021,21,696,80399,104216,108527,175981,168654,214334
1/18/2021,10,858,53213,62803,64293,108308,105039,157391
1/19/2021,14,410,29940,37668,39236,66382,79868,108015
1/20/2021,17,483,41470,50656,56043,100240,156093,184483
1/21/2021,18,619,57517,74295,79781,138724,166757,213529
1/22/2021,26,975,78369,97088,104643,180794,259972,317834
1/23/2021,20,996,70990,88126,94986,169872,286241,358511
1/24/2021,39,1200,80054,103967,111251,192676,293134,352151
1/25/2021,9,850,50310,60404,66488,115104,190043,255879
1/26/2021,15,646,35083,42417,47050,90138,161377,180887
1/27/2021,20,705,46445,57631,62529,115053,208958,245758
1/28/2021,27,713,52865,65952,72185,131060,294076,306275
1/29/2021,26,1023,63155,79388,86632,163649,319148,362421
1/30/2021,17,894,64169,81269,87723,164885,327392,382825
1/31/2021,26,1098,65496,80740,87432,165485,325831,359315
2/1/2021,22,948,42954,52012,57212,107103,231709,261575
2/2/2021,12,541,22358,27851,30182,59244,123992,149109
2/3/2021,20,557,28793,37278,41919,79920,207686,207620
2/4/2021,21,799,44840,57578,62244,121368,272351,265532
2/5/2021,22,722,43888,56519,63307,123600,314859,289015
2/6/2021,24,1209,63368,79325,89082,186125,412235,381830
2/7/2021,27,1049,55517,69759,77149,158450,387826,330210
2/8/2021,24,882,40018,49908,53456,101538,236653,211906
2/9/2021,31,1195,30835,37877,41912,84636,178981,154042
2/10/2021,26,940,43108,54573,61298,127817,286201,240270
2/11/2021,21,906,38277,49874,57061,120777,304390,246882
2/12/2021,45,953,47536,62587,71819,152929,378593,283566
2/13/2021,31,1201,58077,74160,83228,174669,425367,320024
2/14/2021,45,1198,61889,79761,89427,189475,427413,304525
2/15/2021,21,807,41014,50988,58509,122447,303867,196898
2/16/2021,23,612,15586,19559,22638,50406,172957,107413
2/17/2021,13,706,27495,36209,41517,94930,216642,144944
2/18/2021,35,791,39980,46884,52381,118405,273606,182390
2/19/2021,39,1264,46597,59611,67108,148287,364108,233583
2/20/2021,37,1014,42657,54808,60989,137347,291448,186286
2/21/2021,48,1046,44115,55610,62478,138353,284617,187997
2/22/2021,26,1167,31604,37733,41009,89399,171794,109318
2/23/2021,26,1146,22989,28665,33301,72174,126717,75036
2/24/2021,37,1014,36894,47804,52963,117065,242957,141482
2/25/2021,43,1424,46717,59400,65482,149462,295090,174132
2/26/2021,69,2077,53971,72323,83930,202919,381447,219351
2/27/2021,61,1537,62086,82348,95424,241465,447375,241926
2/28/2021,61,2145,76034,100769,114513,263343,441361,232873
3/1/2021,67,2106,59326,80195,92767,213842,342134,153200
3/2/2021,73,2015,55529,72698,82597,181865,293807,147094
3/3/2021,56,1769,60918,82288,96289,227410,347124,157423
3/4/2021,51,1954,59409,80399,93521,250757,387391,191286
3/5/2021,69,2808,83610,107619,124539,331062,474294,228940
3/6/2021,83,3913,110227,140909,162721,426065,536702,260388
3/7/2021,77,3251,105198,135908,156060,411720,419213,194252
3/8/2021,63,3152,85207,108681,122226,326937,268638,113319
3/9/2021,68,3146,82056,98762,105481,263998,236795,109203
3/10/2021,73,3474,92656,114904,130185,375160,321511,146467
3/11/2021,87,3866,113158,147670,172611,480608,364252,177718
3/12/2021,114,5272,135560,172333,199545,580354,389230,182812
3/13/2021,158,6220,174668,219760,256985,721852,502054,325152
3/14/2021,144,5877,150704,188014,215299,588013,333670,149711
3/15/2021,207,5127,125707,147280,162901,406142,238387,102262
