time,age,gender,Infected_Early_Years,Wait_Until_Next_Infection_Check
283996800922-347155200921,0-150,M,0.000000248,0.999999752
283996800922-347155200921,0-150,F,0.000000000,1.000000000
347155200922-410227200921,0-24,M,0.000000460,0.999999540
347155200922-410227200921,0-24,F,0.000000030,0.999999970
347155200922-410227200921,25-44,M,0.000011230,0.999988770
347155200922-410227200921,25-44,F,0.000000610,0.999999390
347155200922-410227200921,45-150,M,0.000001870,0.999998130
347155200922-410227200921,45-150,F,0.000000090,0.999999910
410227200922-504921600921,0-12,M,0.000005600,0.999994400
410227200922-504921600921,0-12,F,0.000004900,0.999995100
410227200922-504921600921,13-19,M,0.000004600,0.999995400
410227200922-504921600921,13-19,F,0.000000300,0.999999700
410227200922-504921600921,20-29,M,0.000153000,0.999847000
410227200922-504921600921,20-29,F,0.000011000,0.999989000
410227200922-504921600921,30-39,M,0.000451000,0.999549000
410227200922-504921600921,30-39,F,0.000031000,0.999969000
410227200922-504921600921,40-49,M,0.000280000,0.999720000
410227200922-504921600921,40-49,F,0.000019000,0.999981000
410227200922-504921600921,50-150,M,0.000054000,0.999946000
410227200922-504921600921,50-150,F,0.000003000,0.999997000
504921600922-536457600921,0-12,M,0.000004500,0.999995500
504921600922-536457600921,0-12,F,0.000004000,0.999996000
504921600922-536457600921,13-19,M,0.000003700,0.999996300
504921600922-536457600921,13-19,F,0.000000300,0.999999700
504921600922-536457600921,20-29,M,0.000125000,0.999875000
504921600922-536457600921,20-29,F,0.000009600,0.999990400
504921600922-536457600921,30-39,M,0.000368000,0.999632000
504921600922-536457600921,30-39,F,0.000028000,0.999972000
504921600922-536457600921,40-49,M,0.000228000,0.999772000
504921600922-536457600921,40-49,F,0.000017000,0.999983000
504921600922-536457600921,50-150,M,0.000044000,0.999956000
504921600922-536457600921,50-150,F,0.000002700,0.999997300
536457600922-567993600921,0-12,M,0.000007800,0.999992200
536457600922-567993600921,0-12,F,0.000007300,0.999992700
536457600922-567993600921,13-19,M,0.000006000,0.999994000
536457600922-567993600921,13-19,F,0.000000500,0.999999500
536457600922-567993600921,20-29,M,0.000201000,0.999799000
536457600922-567993600921,20-29,F,0.000017000,0.999983000
536457600922-567993600921,30-39,M,0.000593000,0.999407000
536457600922-567993600921,30-39,F,0.000050000,0.999950000
536457600922-567993600921,40-49,M,0.000368000,0.999632000
536457600922-567993600921,40-49,F,0.000031000,0.999969000
536457600922-567993600921,50-150,M,0.000071000,0.999929000
536457600922-567993600921,50-150,F,0.000004900,0.999995100
567993600922-599616000921,0-12,M,0.000015000,0.999985000
567993600922-599616000921,0-12,F,0.000012000,0.999988000
567993600922-599616000921,13-19,M,0.000008800,0.999991200
567993600922-599616000921,13-19,F,0.000001100,0.999998900
567993600922-599616000921,20-29,M,0.000295000,0.999705000
567993600922-599616000921,20-29,F,0.000034000,0.999966000
567993600922-599616000921,30-39,M,0.000869000,0.999131000
567993600922-599616000921,30-39,F,0.000098000,0.999902000
567993600922-599616000921,40-49,M,0.000540000,0.999460000
567993600922-599616000921,40-49,F,0.000059000,0.999941000
567993600922-599616000921,50-150,M,0.000103000,0.999897000
567993600922-599616000921,50-150,F,0.000009500,0.999990500
599616000922-631152000921,0-12,M,0.000015000,0.999985000
599616000922-631152000921,0-12,F,0.000014000,0.999986000
599616000922-631152000921,13-19,M,0.000009600,0.999990400
599616000922-631152000921,13-19,F,0.000001200,0.999998800
599616000922-631152000921,20-29,M,0.000322000,0.999678000
599616000922-631152000921,20-29,F,0.000038000,0.999962000
599616000922-631152000921,30-39,M,0.000950000,0.999050000
