time,age,gender,Infected_Later_Years,Wait_Until_Next_Infection_Check
725846400922-757382400921,0-12,M,0.0000174,0.9999826
725846400922-757382400921,0-12,F,0.0000143,0.9999857
725846400922-757382400921,13-24,M,0.0003384,0.9996616
725846400922-757382400921,13-24,F,0.0001386,0.9998614
725846400922-757382400921,25-34,M,0.0009872,0.9990128
725846400922-757382400921,25-34,F,0.0002496,0.9997504
725846400922-757382400921,35-44,M,0.0005518,0.9994482
725846400922-757382400921,35-44,F,0.0001134,0.9998866
725846400922-757382400921,45-54,M,0.0001893,0.9998107
725846400922-757382400921,45-54,F,0.0000308,0.9999692
725846400922-757382400921,55-150,M,0.0000344,0.9999656
725846400922-757382400921,55-150,F,0.0000081,0.9999919
757382400922-788918400921,0-12,M,0.0000095,0.9999905
757382400922-788918400921,0-12,F,0.0000099,0.9999901
757382400922-788918400921,13-24,M,0.0000778,0.9999222
757382400922-788918400921,13-24,F,0.0000484,0.9999516
757382400922-788918400921,25-34,M,0.0003110,0.9996890
757382400922-788918400921,25-34,F,0.0001104,0.9998896
757382400922-788918400921,35-44,M,0.0001790,0.9998210
757382400922-788918400921,35-44,F,0.0000534,0.9999466
757382400922-788918400921,45-54,M,0.0000605,0.9999395
757382400922-788918400921,45-54,F,0.0000145,0.9999855
757382400922-788918400921,55-150,M,0.0000112,0.9999888
757382400922-788918400921,55-150,F,0.0000036,0.9999964
788918400922-820454400921,0-12,M,0.0000066,0.9999934
788918400922-820454400921,0-12,F,0.0000069,0.9999931
788918400922-820454400921,13-24,M,0.0000648,0.9999352
788918400922-820454400921,13-24,F,0.0000453,0.9999547
788918400922-820454400921,25-34,M,0.0002470,0.9997530
788918400922-820454400921,25-34,F,0.0000929,0.9999071
788918400922-820454400921,35-44,M,0.0001411,0.9998589
788918400922-820454400921,35-44,F,0.0000448,0.9999552
788918400922-820454400921,45-54,M,0.0000481,0.9999519
788918400922-820454400921,45-54,F,0.0000130,0.9999870
788918400922-820454400921,55-150,M,0.0000092,0.9999908
788918400922-820454400921,55-150,F,0.0000028,0.9999972
820454400922-852076800921,0-12,M,0.0000051,0.9999949
820454400922-852076800921,0-12,F,0.0000053,0.9999947
820454400922-852076800921,13-24,M,0.0000541,0.9999459
820454400922-852076800921,13-24,F,0.0000455,0.9999545
820454400922-852076800921,25-34,M,0.0002205,0.9997795
820454400922-852076800921,25-34,F,0.0000855,0.9999145
820454400922-852076800921,35-44,M,0.0001256,0.9998744
820454400922-852076800921,35-44,F,0.0000418,0.9999582
820454400922-852076800921,45-54,M,0.0000440,0.9999560
820454400922-852076800921,45-54,F,0.0000125,0.9999875
820454400922-852076800921,55-150,M,0.0000086,0.9999914
820454400922-852076800921,55-150,F,0.0000025,0.9999975
