time,age,gender,Death,Living_with_Diagnosis_Later_Years
725846400922-757382400921,0-12,M,0.0760,0.9240
725846400922-757382400921,0-12,F,0.0760,0.9240
725846400922-757382400921,13-150,M,0.0931,0.9069
725846400922-757382400921,13-150,F,0.0826,0.9174
757382400922-788918400921,0-12,M,0.0752,0.9248
757382400922-788918400921,0-12,F,0.0752,0.9248
757382400922-788918400921,13-150,M,0.1028,0.8972
757382400922-788918400921,13-150,F,0.0928,0.9072
788918400922-820454400921,0-12,M,0.0684,0.9316
788918400922-820454400921,0-12,F,0.0684,0.9316
788918400922-820454400921,13-24,M,0.0492,0.9508
788918400922-820454400921,13-24,F,0.0504,0.9496
788918400922-820454400921,25-29,M,0.0697,0.9303
788918400922-820454400921,25-29,F,0.0677,0.9323
788918400922-820454400921,30-34,M,0.0873,0.9127
788918400922-820454400921,30-34,F,0.0810,0.9190
788918400922-820454400921,35-39,M,0.0989,0.9011
788918400922-820454400921,35-39,F,0.0874,0.9126
788918400922-820454400921,40-44,M,0.1051,0.8949
788918400922-820454400921,40-44,F,0.0988,0.9012
788918400922-820454400921,45-49,M,0.1142,0.8858
788918400922-820454400921,45-49,F,0.1150,0.8850
788918400922-820454400921,50-54,M,0.1222,0.8778
788918400922-820454400921,50-54,F,0.1112,0.8888
788918400922-820454400921,55-59,M,0.1363,0.8637
788918400922-820454400921,55-59,F,0.1382,0.8618
788918400922-820454400921,60-64,M,0.1437,0.8563
788918400922-820454400921,60-64,F,0.1288,0.8712
788918400922-820454400921,65-69,M,0.1720,0.8280
788918400922-820454400921,65-69,F,0.1584,0.8416
788918400922-820454400921,70-150,M,0.1859,0.8141
788918400922-820454400921,70-150,F,0.1855,0.8145
820454400922-852076800921,0-12,M,0.0542,0.9458
820454400922-852076800921,0-12,F,0.0542,0.9458
820454400922-852076800921,13-24,M,0.0323,0.9677
820454400922-852076800921,13-24,F,0.0352,0.9648
820454400922-852076800921,25-29,M,0.0488,0.9512
820454400922-852076800921,25-29,F,0.0494,0.9506
820454400922-852076800921,30-34,M,0.0595,0.9405
820454400922-852076800921,30-34,F,0.0601,0.9399
820454400922-852076800921,35-39,M,0.0683,0.9317
820454400922-852076800921,35-39,F,0.0670,0.9330
820454400922-852076800921,40-44,M,0.0732,0.9268
820454400922-852076800921,40-44,F,0.0755,0.9245
820454400922-852076800921,45-49,M,0.0792,0.9208
820454400922-852076800921,45-49,F,0.0860,0.9140
820454400922-852076800921,50-54,M,0.0857,0.9143
820454400922-852076800921,50-54,F,0.0846,0.9154
820454400922-852076800921,55-59,M,0.0943,0.9057
820454400922-852076800921,55-59,F,0.0935,0.9065
820454400922-852076800921,60-64,M,0.1089,0.8911
820454400922-852076800921,60-64,F,0.1207,0.8793
820454400922-852076800921,65-69,M,0.1167,0.8833
820454400922-852076800921,65-69,F,0.1246,0.8754
820454400922-852076800921,70-150,M,0.1567,0.8433
820454400922-852076800921,70-150,F,0.1318,0.8682
852076800922-883612800921,0-12,M,0.0285,0.9715
852076800922-883612800921,0-12,F,0.0285,0.9715
852076800922-883612800921,13-24,M,0.0221,0.9779
852076800922-883612800921,13-24,F,0.0251,0.9749
852076800922-883612800921,25-29,M,0.0290,0.9710
852076800922-883612800921,25-29,F,0.0294,0.9706
852076800922-883612800921,30-34,M,0.0308,0.9692
852076800922-883612800921,30-34,F,0.0352,0.9648
852076800922-883612800921,35-39,M,0.0342,0.9658
852076800922-883612800921,35-39,F,0.0389,0.9611
852076800922-883612800921,40-44,M,0.0388,0.9612
852076800922-883612800921,40-44,F,0.0447,0.9553
852076800922-883612800921,45-49,M,0.0431,0.9569
852076800922-883612800921,45-49,F,0.0521,0.9479
852076800922-883612800921,50-54,M,0.0467,0.9533
852076800922-883612800921,50-54,F,0.0568,0.9432
852076800922-883612800921,55-59,M,0.0541,0.9459
852076800922-883612800921,55-59,F,0.0594,0.9406
852076800922-883612800921,60-64,M,0.0671,0.9329
852076800922-883612800921,60-64,F,0.0619,0.9381
852076800922-883612800921,65-69,M,0.0812,0.9188
852076800922-883612800921,65-69,F,0.0621,0.9379
852076800922-883612800921,70-150,M,0.0925,0.9075
852076800922-883612800921,70-150,F,0.1134,0.8866
883612800922-915148800921,0-12,M,0.0162,0.9838
883612800922-915148800921,0-12,F,0.0162,0.9838
883612800922-915148800921,13-24,M,0.0192,0.9808
883612800922-915148800921,13-24,F,0.0210,0.9790
883612800922-915148800921,25-29,M,0.0212,0.9788
883612800922-915148800921,25-29,F,0.0260,0.9740
883612800922-915148800921,30-34,M,0.0224,0.9776
883612800922-915148800921,30-34,F,0.0291,0.9709
883612800922-915148800921,35-39,M,0.0261,0.9739
883612800922-915148800921,35-39,F,0.0306,0.9694
883612800922-915148800921,40-44,M,0.0295,0.9705
883612800922-915148800921,40-44,F,0.0349,0.9651
883612800922-915148800921,45-49,M,0.0344,0.9656
883612800922-915148800921,45-49,F,0.0409,0.9591
883612800922-915148800921,50-54,M,0.0384,0.9616
883612800922-915148800921,50-54,F,0.0430,0.9570
883612800922-915148800921,55-59,M,0.0442,0.9558
883612800922-915148800921,55-59,F,0.0552,0.9448
883612800922-915148800921,60-64,M,0.0542,0.9458
883612800922-915148800921,60-64,F,0.0565,0.9435
883612800922-915148800921,65-69,M,0.0561,0.9439
883612800922-915148800921,65-69,F,0.0608,0.9392
883612800922-915148800921,70-150,M,0.0784,0.9216
883612800922-915148800921,70-150,F,0.0770,0.9230
915148800922-946684800921,0-12,M,0.0125,0.9875
915148800922-946684800921,0-12,F,0.0125,0.9875
915148800922-946684800921,13-24,M,0.0165,0.9835
915148800922-946684800921,13-24,F,0.0212,0.9788
915148800922-946684800921,25-29,M,0.0197,0.9803
915148800922-946684800921,25-29,F,0.0228,0.9772
915148800922-946684800921,30-34,M,0.0195,0.9805
915148800922-946684800921,30-34,F,0.0264,0.9736
915148800922-946684800921,35-39,M,0.0215,0.9785
915148800922-946684800921,35-39,F,0.0288,0.9712
915148800922-946684800921,40-44,M,0.0266,0.9734
915148800922-946684800921,40-44,F,0.0351,0.9649
915148800922-946684800921,45-49,M,0.0299,0.9701
915148800922-946684800921,45-49,F,0.0375,0.9625
915148800922-946684800921,50-54,M,0.0355,0.9645
915148800922-946684800921,50-54,F,0.0446,0.9554
915148800922-946684800921,55-59,M,0.0403,0.9597
915148800922-946684800921,55-59,F,0.0426,0.9574
915148800922-946684800921,60-64,M,0.0427,0.9573
915148800922-946684800921,60-64,F,0.0520,0.9480
915148800922-946684800921,65-69,M,0.0560,0.9440
915148800922-946684800921,65-69,F,0.0564,0.9436
915148800922-946684800921,70-150,M,0.0678,0.9322
915148800922-946684800921,70-150,F,0.0528,0.9472
946684800922-978307200921,0-12,M,0.0066,0.9934
946684800922-978307200921,0-12,F,0.0066,0.9934
946684800922-978307200921,13-24,M,0.0157,0.9843
946684800922-978307200921,13-24,F,0.0143,0.9857
