time,age,stage_1,stage_2,stage_3
283996800922-1104537600921,13-24,0.27,0.40,0.33
283996800922-1104537600921,25-34,0.16,0.39,0.45
283996800922-1104537600921,35-44,0.13,0.33,0.54
283996800922-1104537600921,45-54,0.12,0.29,0.59
283996800922-1104537600921,55-150,0.09,0.22,0.69
1104537600922-1199145600921,13-24,0.18,0.46,0.36
1104537600922-1199145600921,25-34,0.14,0.34,0.52
1104537600922-1199145600921,35-44,0.11,0.27,0.62
1104537600922-1199145600921,45-54,0.10,0.22,0.68
1104537600922-1199145600921,55-150,0.07,0.19,0.73
1199145600922-1293840000921,13-24,0.34,0.49,0.16
1199145600922-1293840000921,25-34,0.28,0.42,0.31
1199145600922-1293840000921,35-44,0.24,0.33,0.43
1199145600922-1293840000921,45-54,0.23,0.33,0.45
1199145600922-1293840000921,55-150,0.23,0.29,0.48
1293840000922-1325376000921,13-24,0.36,0.50,0.14
1293840000922-1325376000921,25-34,0.32,0.42,0.26
1293840000922-1325376000921,35-44,0.26,0.35,0.39
1293840000922-1325376000921,45-54,0.24,0.32,0.44
1293840000922-1325376000921,55-150,0.18,0.29,0.52
1325376000922-1356998400921,13-24,0.37,0.50,0.13
1325376000922-1356998400921,25-34,0.33,0.42,0.25
1325376000922-1356998400921,35-44,0.28,0.36,0.37
1325376000922-1356998400921,45-54,0.24,0.32,0.44
1325376000922-1356998400921,55-150,0.21,0.29,0.50
1356998400922-1388534400921,13-24,0.37,0.50,0.14
1356998400922-1388534400921,25-34,0.34,0.42,0.23
1356998400922-1388534400921,35-44,0.28,0.36,0.36
1356998400922-1388534400921,45-54,0.26,0.32,0.42
1356998400922-1388534400921,55-150,0.21,0.31,0.47
1388534400922-1420070400921,13-24,0.37,0.50,0.13
1388534400922-1420070400921,25-34,0.35,0.42,0.23
1388534400922-1420070400921,35-44,0.28,0.37,0.36
1388534400922-1420070400921,45-54,0.25,0.33,0.42
1388534400922-1420070400921,55-150,0.21,0.30,0.49
1420070400922-1451606400921,13-24,0.39,0.50,0.11
1420070400922-1451606400921,25-34,0.35,0.44,0.21
1420070400922-1451606400921,35-44,0.31,0.35,0.34
1420070400922-1451606400921,45-54,0.27,0.32,0.41
1420070400922-1451606400921,55-150,0.24,0.32,0.44
1451606400922-1483228800921,13-24,0.38,0.49,0.13
1451606400922-1483228800921,25-34,0.37,0.42,0.22
1451606400922-1483228800921,35-44,0.30,0.35,0.35
1451606400922-1483228800921,45-54,0.27,0.33,0.41
1451606400922-1483228800921,55-150,0.25,0.31,0.44
1483228800922-1514764800921,13-24,0.39,0.48,0.13
1483228800922-1514764800921,25-34,0.37,0.42,0.21
1483228800922-1514764800921,35-44,0.31,0.36,0.32
1483228800922-1514764800921,45-54,0.26,0.32,0.42
1483228800922-1514764800921,55-150,0.25,0.32,0.43
1514764800922-1546300800921,13-24,0.39,0.49,0.12
1514764800922-1546300800921,25-34,0.37,0.42,0.21
1514764800922-1546300800921,35-44,0.33,0.36,0.32
1514764800922-1546300800921,45-54,0.27,0.32,0.41
1514764800922-1546300800921,55-150,0.26,0.31,0.43
1546300800922-1577836800921,13-24,0.38,0.50,0.12
1546300800922-1577836800921,25-34,0.36,0.42,0.21
1546300800922-1577836800921,35-44,0.34,0.35,0.31
1546300800922-1577836800921,45-54,0.28,0.33,0.39
1546300800922-1577836800921,55-150,0.25,0.32,0.43
