cardiac_surgery,operative_status,RBC,Platelet_Check
cabg,elective,0.095238,0.904762
cabg,emergent,0.047619,0.952381
cabg,emergent_salvage,0.001,0.999
cabg,urgent,0.073504,0.926496
tavr,elective,0.002326,0.997674
tavr,emergent,0.001,0.999
tavr,emergent_salvage,0.001,0.999
tavr,urgent,0.002326,0.997674
savreplace,elective,0.001,0.999
savreplace,emergent,0.666667,0.333333
savreplace,emergent_salvage,0.001,0.999
savreplace,urgent,0.05,0.95
savrepair,elective,0.001,0.999
savrepair,emergent,0.001,0.999
savrepair,emergent_salvage,0.001,0.999
savrepair,urgent,0.001,0.999
