age,gender,state,Prescribe_Atorvastatin_10_Mg_Oral_Tablet,Prescribe_Atorvastatin_10_Mg_Oral_Tablet_Lipitor,Prescribe_Atorvastatin_20_Mg_Oral_Tablet,Prescribe_Atorvastatin_40_Mg_Oral_Tablet,Prescribe_Atorvastatin_40_Mg_Oral_Tablet_Lipitor,Prescribe_Atorvastatin_80_Mg_Oral_Tablet
18-25,F,Illinois,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Indiana,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Iowa,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kansas,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Michigan,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Minnesota,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Missouri,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Nebraska,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,North Dakota,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Ohio,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,South Dakota,1.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Wisconsin,1.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Alaska,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Arizona,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Arkansas,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,California,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Colorado,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Connecticut,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Delaware,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,District of Columbia,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Florida,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Georgia,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Hawaii,0.0,0.0,1.0,0.0,0.0,0.0
