age,gender,state,Prescribe_Ezetimibe_10_Mg_Simvastatin_20_Mg_Oral_Tablet,Prescribe_Ezetimibe_10_Mg_Simvastatin_40_Mg_Oral_Tablet,Prescribe_Ezetimibe_10_Mg_Simvastatin_40_Mg_Oral_Tablet_Vytorin,Prescribe_Ezetimibe_10_Mg_Simvastatin_80_Mg_Oral_Tablet
46-65,F,Connecticut,0.0,1.0,0.0,0.0
46-65,F,Maine,0.0,1.0,0.0,0.0
46-65,F,Massachusetts,0.0,1.0,0.0,0.0
46-65,F,New Hampshire,0.0,1.0,0.0,0.0
46-65,F,New Jersey,0.0,1.0,0.0,0.0
46-65,F,New York,0.0,1.0,0.0,0.0
46-65,F,Pennsylvania,0.0,1.0,0.0,0.0
46-65,F,Rhode Island,0.0,1.0,0.0,0.0
46-65,F,Vermont,0.0,1.0,0.0,0.0
46-65,M,Alabama,0.0,1.0,0.0,0.0
46-65,M,Alaska,0.0,1.0,0.0,0.0
46-65,M,Arizona,0.0,1.0,0.0,0.0
46-65,M,Arkansas,0.0,1.0,0.0,0.0
46-65,M,California,0.0,1.0,0.0,0.0
46-65,M,Colorado,0.0,1.0,0.0,0.0
46-65,M,Connecticut,0.0,0.5,0.5,0.0
46-65,M,Delaware,0.0,1.0,0.0,0.0
46-65,M,District of Columbia,0.0,1.0,0.0,0.0
46-65,M,Florida,0.0,1.0,0.0,0.0
46-65,M,Georgia,0.0,1.0,0.0,0.0
46-65,M,Hawaii,0.0,1.0,0.0,0.0
46-65,M,Idaho,0.0,1.0,0.0,0.0
46-65,M,Kentucky,0.0,1.0,0.0,0.0
46-65,M,Louisiana,0.0,1.0,0.0,0.0
46-65,M,Maine,0.0,0.5,0.5,0.0
46-65,M,Maryland,0.0,1.0,0.0,0.0
46-65,M,Massachusetts,0.0,0.5,0.5,0.0
46-65,M,Mississippi,0.0,1.0,0.0,0.0
46-65,M,Montana,0.0,1.0,0.0,0.0
46-65,M,Nevada,0.0,1.0,0.0,0.0
46-65,M,New Hampshire,0.0,0.5,0.5,0.0
46-65,M,New Jersey,0.0,0.5,0.5,0.0
46-65,M,New Mexico,0.0,1.0,0.0,0.0
46-65,M,New York,0.0,0.5,0.5,0.0
46-65,M,North Carolina,0.0,1.0,0.0,0.0
46-65,M,Oklahoma,0.0,1.0,0.0,0.0
46-65,M,Oregon,0.0,1.0,0.0,0.0
46-65,M,Pennsylvania,0.0,0.5,0.5,0.0
46-65,M,Rhode Island,0.0,0.5,0.5,0.0
46-65,M,South Carolina,0.0,1.0,0.0,0.0
46-65,M,Tennessee,0.0,1.0,0.0,0.0
46-65,M,Texas,0.0,1.0,0.0,0.0
46-65,M,Utah,0.0,1.0,0.0,0.0
46-65,M,Vermont,0.0,0.5,0.5,0.0
46-65,M,Virginia,0.0,1.0,0.0,0.0
46-65,M,Washington,0.0,1.0,0.0,0.0
46-65,M,West Virginia,0.0,1.0,0.0,0.0
46-65,M,Wyoming,0.0,1.0,0.0,0.0
65-103,F,Alabama,0.331,0.669,0.0,0.0
65-103,F,Alaska,0.153,0.847,0.0,0.0
65-103,F,Arizona,0.153,0.847,0.0,0.0
65-103,F,Arkansas,0.331,0.669,0.0,0.0
65-103,F,California,0.153,0.847,0.0,0.0
65-103,F,Colorado,0.153,0.847,0.0,0.0
65-103,F,Connecticut,1.0,0.0,0.0,0.0
65-103,F,Delaware,0.331,0.669,0.0,0.0
65-103,F,District of Columbia,0.331,0.669,0.0,0.0
65-103,F,Florida,0.331,0.669,0.0,0.0
65-103,F,Georgia,0.331,0.669,0.0,0.0
65-103,F,Hawaii,0.153,0.847,0.0,0.0
65-103,F,Idaho,0.153,0.847,0.0,0.0
65-103,F,Kentucky,0.331,0.669,0.0,0.0
65-103,F,Louisiana,0.331,0.669,0.0,0.0
65-103,F,Maine,1.0,0.0,0.0,0.0
65-103,F,Maryland,0.331,0.669,0.0,0.0
65-103,F,Massachusetts,1.0,0.0,0.0,0.0
65-103,F,Mississippi,0.331,0.669,0.0,0.0
65-103,F,Montana,0.153,0.847,0.0,0.0
65-103,F,Nevada,0.153,0.847,0.0,0.0
65-103,F,New Hampshire,1.0,0.0,0.0,0.0
65-103,F,New Jersey,1.0,0.0,0.0,0.0
65-103,F,New Mexico,0.153,0.847,0.0,0.0
65-103,F,New York,1.0,0.0,0.0,0.0
65-103,F,North Carolina,0.331,0.669,0.0,0.0
65-103,F,Oklahoma,0.331,0.669,0.0,0.0
65-103,F,Oregon,0.153,0.847,0.0,0.0
65-103,F,Pennsylvania,1.0,0.0,0.0,0.0
65-103,F,Rhode Island,1.0,0.0,0.0,0.0
65-103,F,South Carolina,0.331,0.669,0.0,0.0
65-103,F,Tennessee,0.331,0.669,0.0,0.0
65-103,F,Texas,0.331,0.669,0.0,0.0
65-103,F,Utah,0.153,0.847,0.0,0.0
65-103,F,Vermont,1.0,0.0,0.0,0.0
65-103,F,Virginia,0.331,0.669,0.0,0.0
65-103,F,Washington,0.153,0.847,0.0,0.0
65-103,F,West Virginia,0.331,0.669,0.0,0.0
65-103,F,Wyoming,0.153,0.847,0.0,0.0
65-103,M,Alabama,1.0,0.0,0.0,0.0
65-103,M,Alaska,0.0,0.568,0.432,0.0
65-103,M,Arizona,0.0,0.568,0.432,0.0
65-103,M,Arkansas,1.0,0.0,0.0,0.0
65-103,M,California,0.0,0.568,0.432,0.0
65-103,M,Colorado,0.0,0.568,0.432,0.0
65-103,M,Connecticut,0.582,0.418,0.0,0.0
65-103,M,Delaware,1.0,0.0,0.0,0.0
65-103,M,District of Columbia,1.0,0.0,0.0,0.0
65-103,M,Florida,1.0,0.0,0.0,0.0
65-103,M,Georgia,1.0,0.0,0.0,0.0
65-103,M,Hawaii,0.0,0.568,0.432,0.0
65-103,M,Idaho,0.0,0.568,0.432,0.0
65-103,M,Illinois,0.322,0.0,0.0,0.678
65-103,M,Indiana,0.322,0.0,0.0,0.678
65-103,M,Iowa,0.322,0.0,0.0,0.678
65-103,M,Kansas,0.322,0.0,0.0,0.678
65-103,M,Kentucky,1.0,0.0,0.0,0.0
65-103,M,Louisiana,1.0,0.0,0.0,0.0
65-103,M,Maine,0.582,0.418,0.0,0.0
65-103,M,Maryland,1.0,0.0,0.0,0.0
65-103,M,Massachusetts,0.582,0.418,0.0,0.0
65-103,M,Michigan,0.322,0.0,0.0,0.678
65-103,M,Minnesota,0.322,0.0,0.0,0.678
65-103,M,Mississippi,1.0,0.0,0.0,0.0
65-103,M,Missouri,0.322,0.0,0.0,0.678
65-103,M,Montana,0.0,0.568,0.432,0.0
65-103,M,Nebraska,0.322,0.0,0.0,0.678
65-103,M,Nevada,0.0,0.568,0.432,0.0
65-103,M,New Hampshire,0.582,0.418,0.0,0.0
65-103,M,New Jersey,0.582,0.418,0.0,0.0
65-103,M,New Mexico,0.0,0.568,0.432,0.0
65-103,M,New York,0.582,0.418,0.0,0.0
65-103,M,North Carolina,1.0,0.0,0.0,0.0
65-103,M,North Dakota,0.322,0.0,0.0,0.678
65-103,M,Ohio,0.322,0.0,0.0,0.678
65-103,M,Oklahoma,1.0,0.0,0.0,0.0
65-103,M,Oregon,0.0,0.568,0.432,0.0
65-103,M,Pennsylvania,0.582,0.418,0.0,0.0
65-103,M,Rhode Island,0.582,0.418,0.0,0.0
65-103,M,South Carolina,1.0,0.0,0.0,0.0
65-103,M,South Dakota,0.322,0.0,0.0,0.678
65-103,M,Tennessee,1.0,0.0,0.0,0.0
65-103,M,Texas,1.0,0.0,0.0,0.0
65-103,M,Utah,0.0,0.568,0.432,0.0
65-103,M,Vermont,0.582,0.418,0.0,0.0
65-103,M,Virginia,1.0,0.0,0.0,0.0
65-103,M,Washington,0.0,0.568,0.432,0.0
65-103,M,West Virginia,1.0,0.0,0.0,0.0
65-103,M,Wisconsin,0.322,0.0,0.0,0.678
65-103,M,Wyoming,0.0,0.568,0.432,0.0
