age,gender,state,Prescribe_Atorvastatin,Prescribe_Ezetimibe_Simvastatin,Prescribe_Lovastatin,Prescribe_Pitavastatin,Prescribe_Pravastatin,Prescribe_Rosuvastatin,Prescribe_Simvastatin
18-25,F,Illinois,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Indiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Iowa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kansas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Michigan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Minnesota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Missouri,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Nebraska,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,North Dakota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Ohio,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,South Dakota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Wisconsin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Alaska,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Arizona,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Arkansas,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,California,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Colorado,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Connecticut,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Delaware,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,District of Columbia,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Florida,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Georgia,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Hawaii,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Idaho,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Illinois,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Indiana,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Iowa,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Kansas,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Kentucky,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Louisiana,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Maine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Maryland,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Massachusetts,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Michigan,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Minnesota,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Mississippi,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Missouri,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Montana,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Nebraska,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Nevada,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,New Hampshire,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,New Jersey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,New Mexico,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,New York,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,North Carolina,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,North Dakota,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Ohio,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Oklahoma,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Oregon,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Pennsylvania,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Rhode Island,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,South Carolina,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,South Dakota,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Tennessee,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Texas,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Utah,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,Vermont,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Virginia,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Washington,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,F,West Virginia,0.322,0.0,0.178,0.0,0.176,0.0,0.323
26-35,F,Wisconsin,0.405,0.0,0.0,0.0,0.0,0.0,0.595
26-35,F,Wyoming,0.416,0.0,0.0,0.0,0.0,0.0,0.584
26-35,M,Alabama,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Alaska,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Arizona,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Arkansas,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,California,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Colorado,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Connecticut,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Delaware,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,District of Columbia,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Florida,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Georgia,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Hawaii,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Idaho,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Illinois,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Indiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Iowa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Kansas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Kentucky,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Louisiana,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Maine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Maryland,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Massachusetts,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Michigan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Minnesota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Mississippi,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Missouri,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Montana,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Nebraska,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Nevada,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,New Hampshire,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,New Jersey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,New Mexico,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,New York,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,North Carolina,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,North Dakota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Ohio,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Oklahoma,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Oregon,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Pennsylvania,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Rhode Island,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,South Carolina,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,South Dakota,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Tennessee,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Texas,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Utah,0.413,0.0,0.0,0.0,0.0,0.587,0.0
26-35,M,Vermont,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Virginia,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Washington,0.413,0.0,0.0,0.0,0.0,0.587,0.0
