age,gender,vhd_ms_risk,Mitral Valve Stenosis,Check for MR Onset
0-4,M,true,0.000027,0.999973
5-9,M,true,0.000007,0.999993
10-14,M,true,0.000006,0.999994
15-19,M,true,0.000004,0.999996
20-24,M,true,0.000005,0.999995
25-29,M,true,0.000006,0.999994
30-34,M,true,0.000003,0.999997
35-39,M,true,0.000006,0.999994
40-44,M,true,0.000005,0.999995
45-49,M,true,0.000012,0.999988
50-54,M,true,0.000012,0.999988
55-59,M,true,0.00002,0.99998
60-64,M,true,0.000029,0.999971
65-69,M,true,0.000033,0.999967
70-74,M,true,0.000057,0.999943
75-79,M,true,0.000076,0.999924
80-84,M,true,0.000069,0.999931
85-140,M,true,0.000049,0.999951
0-4,F,true,0.000014,0.999986
5-9,F,true,0.000005,0.999995
10-14,F,true,0.000006,0.999994
15-19,F,true,0.000002,0.999998
20-24,F,true,0.000007,0.999993
25-29,F,true,0.000009,0.999991
30-34,F,true,0.000009,0.999991
35-39,F,true,0.000013,0.999987
40-44,F,true,0.000019,0.999981
45-49,F,true,0.000025,0.999975
50-54,F,true,0.00002,0.99998
55-59,F,true,0.000022,0.999978
60-64,F,true,0.000028,0.999972
65-69,F,true,0.000061,0.999939
70-74,F,true,0.000103,0.999897
75-79,F,true,0.000153,0.999847
80-84,F,true,0.000182,0.999818
85-140,F,true,0.000126,0.999874
0-140,M,false,0,1
0-140,F,false,0,1
