Code,Occupation
10,Chief executives and legislators
20,General and operations managers
40,Advertising and promotions managers
50,Marketing and sales managers
60,Public relations and fundraising managers
100,Administrative services managers
110,Computer and information systems managers
120,Financial managers
135,Compensation and benefits managers
136,Human resources managers
137,Training and development managers
140,Industrial production managers
150,Purchasing managers
160,"Transportation, storage, and distribution managers"
205,"Farmers, ranchers, and other agricultural managers"
220,Construction managers
230,Education administrators
300,Architectural and engineering managers
310,Food service managers
330,Gaming managers
340,Lodging managers
350,Medical and health services managers
360,Natural sciences managers
410,"Property, real estate, and community association managers"
420,Social and community service managers
425,Emergency management directors
430,"Miscellaneous managers, including funeral service managers and postmasters and mail superintendents"
500,"Agents and business managers of artists, performers, and athletes"
510,"Buyers and purchasing agents, farm products"
520,"Wholesale and retail buyers, except farm products"
530,"Purchasing agents, except wholesale, retail, and farm products"
540,"Claims adjusters, appraisers, examiners, and investigators"
565,Compliance officers
600,Cost estimators
630,Human resources workers
640,"Compensation, benefits, and job analysis specialists"
650,Training and development specialists
700,Logisticians
710,Management analysts
725,"Meeting, convention, and event planners"
726,Fundraisers
735,Market research analysts and marketing specialists
740,"Business operations specialists, all other"
800,Accountants and auditors
810,Appraisers and assessors of real estate
820,Budget analysts
830,Credit analysts
840,Financial analysts
850,Personal financial advisors
860,Insurance underwriters
900,Financial examiners
910,Credit counselors and loan officers
930,"Tax examiners and collectors, and revenue agents"
940,Tax preparers
950,"Financial specialists, all other"
1005,Computer and information research scientists
1006,Computer systems analysts
1007,Information security analysts
1010,Computer programmers
1020,"Software developers, applications and systems software"
1030,Web developers
1050,Computer support specialists
1060,Database administrators
1105,Network and computer systems administrators
1106,Computer network architects 
1107,"Computer occupations, all other"
1200,Actuaries
1220,Operations research analysts
1240,"Miscellaneous mathematical science occupations, including mathematicians and statisticians"
1300,"Architects, except naval"
1310,"Surveyors, cartographers, and photogrammetrists"
1320,Aerospace engineers
1340,Biomedical and agricultural engineers
1350,Chemical engineers
1360,Civil engineers
1400,Computer hardware engineers
1410,Electrical and electronics engineers
1420,Environmental engineers
1430,"Industrial engineers, including health and safety"
1440,Marine engineers and naval architects
1450,Materials engineers
1460,Mechanical engineers
1520,"Petroleum, mining and geological engineers, including mining safety engineers"
1530,"Miscellaneous engineers, including nuclear engineers"
1540,Drafters
1550,"Engineering technicians, except drafters"
1560,Surveying and mapping technicians
1600,Agricultural and food scientists
1610,Biological scientists
1640,Conservation scientists and foresters
1650,"Medical scientists, and life scientists, all other"
1700,Astronomers and physicists
1710,Atmospheric and space scientists
1720,Chemists and materials scientists
1740,Environmental scientists and geoscientists
1760,"Physical scientists, all other"
1800,Economists
1820,Psychologists
1840,Urban and regional planners
1860,"Miscellaneous social scientists, including survey researchers and sociologists"
1900,Agricultural and food science technicians
1910,Biological technicians
1920,Chemical technicians
1930,"Geological and petroleum technicians, and nuclear technicians"
1965,"Miscellaneous life, physical, and social science technicians, including social science research assistants"
2000,Counselors
2010,Social workers
2015,Probation officers and correctional treatment specialists
2016,Social and human service assistants
2025,"Miscellaneous community and social service specialists, including health educators and community health workers"
2040,Clergy
2050,"Directors, religious activities and education"
2060,"Religious workers, all other"
2100,"Lawyers, and judges, magistrates, and other judicial workers"
2200,Postsecondary teachers
2300,Preschool and kindergarten teachers
2310,Elementary and middle school teachers
2320,Secondary school teachers
2330,Special education teachers
2340,Other teachers and instructors
2400,"Archivists, curators, and museum technicians"
2430,Librarians
2440,Library technicians
2540,Teacher assistants
2550,"Other education, training, and library workers"
2600,Artists and related workers
2630,Designers
2700,Actors
2710,Producers and directors
2720,"Athletes, coaches, umpires, and related workers"
2740,Dancers and choreographers
2750,"Musicians, singers, and related workers"
2760,"Entertainers and performers, sports and related workers, all other"
2800,Announcers
2810,"News analysts, reporters and correspondents"
2825,Public relations specialists
2830,Editors
2840,Technical writers
2850,Writers and authors
2860,Miscellaneous media and communication workers
2900,"Broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other"
2910,Photographers
2920,"Television, video, and motion picture camera operators and editors"
3000,Chiropractors
3010,Dentists
3030,Dietitians and nutritionists
3040,Optometrists
3050,Pharmacists
3060,Physicians and surgeons
3110,Physician assistants
3120,Podiatrists
3140,Audiologists
3150,Occupational therapists
3160,Physical therapists
3200,Radiation therapists
3210,Recreational therapists
3220,Respiratory therapists
3230,Speech-language pathologists
3245,"Other therapists, including exercise physiologists"
3250,Veterinarians
3255,Registered nurses
3256,Nurse anesthetists
3258,Nurse practitioners and nurse midwives
3260,"Health diagnosing and treating practitioners, all other"
3300,Clinical laboratory technologists and technicians
3310,Dental hygienists
3320,Diagnostic related technologists and technicians
3400,Emergency medical technicians and paramedics
3420,Health practitioner support technologists and technicians
3500,Licensed practical and licensed vocational nurses
3510,Medical records and health information technicians
3520,"Opticians, dispensing"
3535,Miscellaneous health technologists and technicians
3540,Other healthcare practitioners and technical occupations
3600,"Nursing, psychiatric, and home health aides"
3610,Occupational therapy assistants and aides
3620,Physical therapist assistants and aides
3630,Massage therapists
3640,Dental assistants
3645,Medical assistants
3646,Medical transcriptionists
3647,Pharmacy aides
3648,Veterinary assistants and laboratory animal caretakers
3649,Phlebotomists
3655,"Healthcare support workers, all other, including medical equipment preparers"
3700,First-line supervisors of correctional officers
3710,First-line supervisors of police and detectives
3720,First-line supervisors of fire fighting and prevention workers
3730,"First-line supervisors of protective service workers, all other"
3740,Firefighters
3750,Fire inspectors
3800,"Bailiffs, correctional officers, and jailers"
3820,Detectives and criminal investigators
3840,Miscellaneous law enforcement workers
3850,Police officers
3900,Animal control workers
3910,Private detectives and investigators
3930,Security guards and gaming surveillance officers
3940,Crossing guards
3945,Transportation security screeners
3955,"Lifeguards and other recreational, and all other protective service workers"
4000,Chefs and head cooks
4010,First-line supervisors of food preparation and serving workers
4020,Cooks
4030,Food preparation workers
4040,Bartenders
4050,"Combined food preparation and serving workers, including fast food"
4060,"Counter attendants, cafeteria, food concession, and coffee shop"
4110,Waiters and waitresses
4120,"Food servers, nonrestaurant"
4130,"Miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers"
4140,Dishwashers
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop"
4200,First-line supervisors of housekeeping and janitorial workers
4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
4220,Janitors and building cleaners
4230,Maids and housekeeping cleaners
4240,Pest control workers
4250,Grounds maintenance workers
4300,First-line supervisors of gaming workers
4320,First-line supervisors of personal service workers
4340,Animal trainers
4350,Nonfarm animal caretakers
4400,Gaming services workers
4410,Motion picture projectionists
4420,"Ushers, lobby attendants, and ticket takers"
4430,Miscellaneous entertainment attendants and related workers
4460,Embalmers and funeral attendants
4465,"Morticians, undertakers, and funeral directors"
4500,Barbers
4510,"Hairdressers, hairstylists, and cosmetologists"
4520,Miscellaneous personal appearance workers
4530,"Baggage porters, bellhops, and concierges"
4540,Tour and travel guides
4600,Childcare workers
4610,Personal care aides
4620,Recreation and fitness workers
4640,Residential advisors
4650,"Personal care and service workers, all other "
4700,First-line supervisors of retail sales workers
4710,First-line supervisors of non-retail sales workers
4720,Cashiers
4740,Counter and rental clerks
4750,Parts salespersons
4760,Retail salespersons
4800,Advertising sales agents
4810,Insurance sales agents
4820,"Securities, commodities, and financial services sales agents"
4830,Travel agents
4840,"Sales representatives, services, all other"
4850,"Sales representatives, wholesale and manufacturing"
4900,"Models, demonstrators, and product promoters"
4920,Real estate brokers and sales agents
4930,Sales engineers
4940,Telemarketers
4950,"Door-to-door sales workers, news and street vendors, and related workers"
4965,"Sales and related workers, all other"
5000,First-line supervisors of office and administrative support workers
