state,0-1,2-5,6-18,pregnant,parent,adult
Alabama,1.41,1.41,1.41,1.41,0.13,0.00
Alaska,2.03,2.03,2.03,2.00,1.31,1.33
Arizona,1.47,1.41,1.33,1.56,1.06,1.33
Arkansas,1.42,1.42,1.42,2.09,0.15,1.33
California,2.61,2.61,2.61,2.08,1.09,1.33
Colorado,1.42,1.42,1.42,1.95,0.68,1.33
Connecticut,1.96,1.96,1.96,2.58,1.55,1.33
Delaware,2.12,1.42,1.33,2.12,0.87,1.33
District of Columbia,3.19,3.19,3.19,3.19,2.16,2.10
Florida,2.06,1.40,1.33,1.91,0.27,0.00
Georgia,2.05,1.49,1.33,2.20,0.31,0.00
Hawaii,3.08,3.08,3.08,1.91,1.05,1.33
Idaho,1.42,1.42,1.33,1.33,0.22,1.33
Illinois,1.42,1.42,1.42,2.08,1.33,1.33
Indiana,2.08,1.58,1.58,2.08,0.17,1.33
Iowa,3.75,1.67,1.67,3.75,0.49,1.33
Kansas,1.66,1.49,1.33,1.66,0.33,0.00
Kentucky,1.95,1.59,1.59,1.95,0.22,1.33
Louisiana,2.12,2.12,2.12,1.33,0.19,1.33
Maine,1.91,1.57,1.57,2.09,1.00,1.33
Maryland,3.17,3.17,3.17,2.59,1.23,1.33
Massachusetts,2.00,1.50,1.50,2.00,1.33,1.33
Michigan,2.12,2.12,2.12,1.95,0.54,1.33
Minnesota,2.83,2.75,2.75,2.78,1.33,2.00
Mississippi,1.94,1.43,1.33,1.94,0.21,0.00
Missouri,1.96,1.50,1.50,1.96,0.17,1.33
Montana,1.43,1.43,1.43,1.57,0.24,1.33
Nebraska,2.13,2.13,2.13,1.94,0.58,1.33
Nevada,1.60,1.60,1.33,1.60,0.30,1.33
New Hampshire,3.18,3.18,3.18,1.96,0.62,1.33
New Jersey,1.94,1.42,1.42,1.94,0.29,1.33
New Mexico,3.00,3.00,2.40,2.50,0.42,1.33
New York,2.18,1.49,1.49,2.18,1.33,2.00
North Carolina,2.10,2.10,1.33,1.96,0.40,0.00
North Dakota,1.70,1.70,1.70,1.57,0.48,1.33
Ohio,2.06,2.06,2.06,2.00,0.90,1.33
Oklahoma,2.05,2.05,2.05,1.33,0.38,1.33
Oregon,1.85,1.33,1.33,1.85,0.37,1.33
Pennsylvania,2.15,1.57,1.33,2.15,0.33,1.33
Rhode Island,2.61,2.61,2.61,1.90,1.16,1.33
South Carolina,2.08,2.08,2.08,1.94,0.95,0.00
South Dakota,1.82,1.82,1.82,1.33,0.52,0.00
Tennessee,1.95,1.42,1.33,1.95,0.95,0.00
Texas,1.98,1.44,1.33,1.98,0.14,0.00
Utah,1.39,1.39,1.33,1.39,0.41,1.33
Vermont,3.12,3.12,3.12,2.08,0.49,1.33
Virginia,1.43,1.43,1.43,1.43,0.49,1.33
Washington,2.10,2.10,2.10,1.93,0.37,1.33
West Virginia,1.58,1.41,1.33,1.85,0.18,1.33
Wisconsin,3.01,1.86,1.51,3.01,0.95,0.95
Wyoming,2.00,2.00,2.00,1.54,0.51,0.00
