School,ID,CoNo,StNo,Low,High,Students
ACADEMY AT FOXBOROUGH,A9701962,21,25,-1,7,68
ACADEMY AT SWIFT RIVER,A0104077,15,25,9,12,70
ACADEMY HILL SCHOOL,A0701268,13,25,0,8,109
ACADEMY OF EARLY LEARNING,A9706318,1,25,-1,0,43
ACADEMY OF NOTRE DAME,600234,17,25,-1,12,608
ADAMS MONTESSORI SCHOOL,A9502240,21,25,-1,6,127
ADITUS,A1101240,13,25,-2,-2,6
ADVENTURES IN LEARNING,BB121141,17,25,-1,0,22
AL-HAMRA ACADEMY,A0104080,27,25,-1,8,165
AL-NOOR ACADEMY,A0301785,5,25,6,12,70
ALHUDA ACADEMY,A0301783,27,25,-1,8,121
ALL SAINTS CATHOLIC SCHOOL,601781,5,25,-1,8,184
AMEGO,A0701271,5,25,5,12,19
ANDOVER SCHOOL OF MONTESSORI,K9302585,9,25,-1,8,203
ANOVA,BB121201,17,25,0,7,40
ANTIOCH SCHOOL,2033282,5,25,-1,8,84
APPLE ORCHARD SCHOOL,A0307646,21,25,-1,0,95
APPLE VALLEY MONTESSORI SCHOOL,A9502183,17,25,-1,4,40
APPLESEED MONTESSORI SCHOOL,A9502242,27,25,-1,0,38
APPLEWILD SCHOOL,605141,27,25,0,8,186
ARCHBISHOP WILLIAMS HIGH SCHOO,599307,21,25,9,12,535
ARCHWAY,A9103012,27,25,6,12,12
ARLINGTON CATHOLIC HIGH SCHOOL,599544,17,25,9,12,729
ARLINGTON CHILDREN'S CENTER,A9706341,17,25,-1,0,111
ARLINGTON SCHOOL,2034377,17,25,9,12,33
ARMENIAN SISTERS ACADEMY,2871985,17,25,-1,5,98
ASSUMPTION SCHOOL,602639,27,25,-1,8,212
AUSTIN PREPARATORY SCHOOL,599908,17,25,6,12,685
BAIS YAAKOV OF BOSTON HIGH SCH,A9701932,17,25,9,12,44
BANCROFT SCHOOL,603701,27,25,0,12,520
BARAT MONTESSORI SCHOOL,A9502249,17,25,-1,0,22
BAY COVE ACADEMY,A9701933,21,25,8,12,23
BAYBERRY CHRISTIAN SCHOOL,A0701272,1,25,-1,6,18
BEACON HIGH SCHOOL,A0104081,17,25,-2,-2,64
BEACON HILL NURSERY SCHOOL,A9706348,25,25,-1,0,105
BEAVER COUNTRY DAY SCHOOL,A9701934,21,25,6,12,451
BEDFORD MONTESSORI SCHOOL,A9502187,17,25,-1,0,38
BEGINNINGS CHILD DEVELOPMENT C,A9706351,17,25,-1,0,63
BELMONT DAY SCHOOL,604159,17,25,-1,8,273
BELMONT HILL SCHOOL,2160561,17,25,7,12,448
BEREA SDA ACADEMY,605582,25,25,-1,8,119
BERKSHIRE CHRISTIAN SCHOOLS,A9701935,3,25,-1,12,58
BERKSHIRE COUNTRY DAY SCHOOL,604319,3,25,-1,9,189
BERKSHIRE HILLS SDA SCHOOL,2033103,3,25,2,8,16
BERKSHIRE MEADOWS,A9103017,3,25,-2,-2,20
BETHANY CHRISTIAN ACADEMY,K9500286,27,25,-1,12,142
BEVERLY SCHOOL FOR THE DEAF,A9502188,9,25,-1,11,54
BISHOP CONNOLLY HIGH SCHOOL,601919,5,25,8,12,277
BISHOP FENWICK HIGH SCHOOL,599839,9,25,9,12,563
BISHOP RUOCCO HOUSE,A0701274,23,25,9,12,12
BISHOP STANG HIGH SCHOOL,601726,5,25,9,12,713
BLESSED SACRAMENT ELEMENTARY S,602264,13,25,-1,8,291
BLESSED SACRAMENT SCHOOL,600314,21,25,-1,8,442
BLESSED STEPHEN BELLESINI OSA ,A0501892,9,25,5,8,57
BOSTON ARCHDIOCESAN CHOIR SCHO,2160492,17,25,5,8,42
BOSTON CHILDREN'S SCHOOL,A9502190,25,25,-1,1,53
BOSTON COLLEGE HIGH SCHOOL,600981,25,25,7,12,1614
BOSTON HIGASHI SCHOOL,A9902347,21,25,2,12,88
BOSTON TRINITY ACADEMY,A0501893,25,25,6,12,234
BOSTON UNIVERSITY ACADEMY,A0301789,25,25,9,12,160
BOXFORD ACADEMY,A9701937,9,25,-1,5,42
