provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
"077229","1457434003","ALL ABOUT YOU COLLABORATIVE HEALTH CARE SERVICES.LLC (D.B.A.)","21 CHURCH ST","TORRINGTON",CT,"067905606",,41.80372387715155,-73.12185063796959,"2037209383","00-06",,,,,,,
"058283","1962462077","MAJESTY HOME HEALTH","18527 ROSCOE BLVD","NORTHRIDGE",CA,"913244632","037",34.2345615,-118.5369316,"8187759447","00-06","05-01",true,,,"09",,
"497020","1881690550","BUCHANAN GENERAL HOSPITAL HOME HEALTH AGENCY","1535 SLATE CREEK ROAD, 5TH FLOOR","GRUNDY",VA,"246149611","027",37.2852169,-82.0655477,"2769351509","00-06","05-01",true,,"497020","03",,
"397449","1386641330","ALL CARE HOME CARE INC","1710 E BROAD ST STE B","HAZLETON",PA,"182015695",,40.94148944528169,-75.9519922838658,"5704593002","00-06",,,,,,,
"117090","1437180767","KINDRED AT HOME","2280 EAST VICTORY DRIVE, SUITE B","SAVANNAH",GA,"314043957","051",32.03743000159534,-81.05779467151926,"9123553409","00-06","05-01",true,,,"04",,
"058191","1023188786","ALLSUPREME HOME CARE, INC.","13110 W WASHINGTON BLVD","LOS ANGELES",CA,"900665126",,34.031301,-118.2653907,"3102738616","00-06",,,,,,,
"497417","1922090687","FIRST CARE HOME HEALTH INC","2808 OLD FOREST RD","LYNCHBURG",VA,"245012338",,37.4160256,-79.2043816101609,"4343842800","00-06",,,,,,,
"058343","1760577894","SERENE HOME HEALTH","22151 VENTURA BLVD SUITE 203","WOODLAND HILLS",CA,"913641666","037",34.16868228404829,-118.60911136638535,"8188887007","00-06","05-01",true,,,"09",,
"277072","1730283979","ST PETERS COMMUNITY HOSPITAL","201 S CALIFORNIA ST","HELENA",MT,"596014974",,46.583373369565216,-111.9995725,"4064442244","00-06",,,,,,,
"037439","1619178993","DEPENDABLE NURSES, INC.","1121 N EL DORADO PL STE 300","TUCSON",AZ,"857154622",,32.23692645,-110.85604207685249,"5207951290","00-06",,,,,,,
"397486","1861485971","HOMEBOUND HEALTH SERVICES INC","145 NORTH MAIN STREET","SHAVERTOWN",PA,"187081122","079",41.321074854651286,-75.94010370101448,"5706964041","00-06","05-01",true,,,"03",,
"167292","1902805039","ANGELS CARE HOME HEALTH OF IOWA","1601 MCPHERSON AVENUE SUITE 500","SHENANDOAH",IA,"516011757","155",40.7655468,-95.3723535,"7123523640","00-06","05-01",true,,,"07",,
"397087","1659443158","UPMC HOME HEALTHCARE OF CENTRAL PENNSYLVANIA","20 SHERATON DR","STATE COLLEGE",PA,"168017645",,40.7944504,-77.8616386,"8149411384","00-06",,,,,,,
"679204","1528007440","REHABTRUST, INC","2433 FORT WORTH DR","DENTON",TX,"762057684",,33.18101816326531,-97.13931239795919,"9403840393","00-06",,,,,,,
"357007","1841272226","THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY","302 7TH AVE NE","EAST GRAND FORKS",ND,"56721",,47.9317013,-97.0175792,"7013436244","00-06",,,,,,,
"297099","1891853305","LORIAN HEALTH","6325 SOUTH RAINBOW BLVD","LAS VEGAS",NV,"891183278","003",36.1591923,-115.243822,"7022209535","00-06","05-01",true,,,"09",,
"058156","1851344717","STAFF ASSISTANCE, INC.","1900 W GARVEY AVE S","WEST COVINA",CA,"917902655",,34.07052625986059,-117.94649700543766,"6269155595","00-06",,,,,,,
