provider_num,npi,name,address,city,state,postcode,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
1,,CINDERFORD DIALYSIS UNIT,FOREST VALE INDUSTRIAL ESTATE,CINDERFORD,SW,GL14 3JE,GLOUCESTERSHIRE,51.836855,-2.5124808,,,,,,,,,
2,,TREADS,28A MARKET PLACE,BLANDFORD FORUM,SW,DT11 7EB,DORSET,50.855701,-2.1649315,,,,,,,,,
3,,IN-REACH DORCHESTER,NORTH SQUARE,DORCHESTER,SW,DT1 1JD,DORSET,50.717194,-2.4374862,,,,,,,,,
4,,IN-REACH GUYS MARSH,GUYS MARSH,SHAFTESBURY,SW,SP7 0AH,DORSET,50.984693,-2.2212905,,,,,,,,,
5,,IN-REACH VERNE,THE VERNE,PORTLAND,SW,DT5 1EQ,DORSET,50.561525,-2.4358873,,,,,,,,,
6,,IN-REACH PORTLAND,THE GROVE,PORTLAND,SW,DT5 1DL,DORSET,50.549904,-2.4217782,,,,,,,,,
7,,RIVERSIDE COURT,CASTLE STREET,BARNSTAPLE,SW,EX31 1DR,DEVON,51.079791,-4.0623765,,,,,,,,,
8,,ADULT SUBSTANCE MISUSE,GLANVILLE HOUSE,BRIDGWATER,SW,TA6 5AT,SOMERSET,51.130927,-2.9981171,,,,,,,,,
9,,BRIDPORT LEISURE CENTRE,BREWERY FILEDS,BRIDPORT,SW,DT6 5LN,DORSET,50.725768,-2.7632079,,,,,,,,,
10,,BLANDFORD CHURCH HALL,BLANDFORD PARISH CHURCH,BLANDFORD FORUM,SW,DT11 7AS,DORSET,50.857499,-2.1590276,,,,,,,,,
11,,WEYMOUTH VMU,UNIT 2 SOUTER WAY,WEYMOUTH,SW,DT3 5BJ,DORSET,50.633359,-2.4595428,,,,,,,,,
12,,BABBACOMB SDP ST EDMUNDS,ST. EDMUNDS DAY CARE CENTRE,TORQUAY,SW,TQ1 3QH,DEVON,50.476195,-3.5284319,,,,,,,,,
13,,CULM VALLEY INTEGRATED CENTRE FOR HEALTH,WILLAND ROAD,CULLOMPTON,SW,EX15 1FE,DEVON,50.864177,-3.3927316,,,,,,,,,
14,,COMMUNITY SERVICES (EAST QUAY MEDICAL CENTRE),SYMONS WAY,BRIDGWATER,SW,TA6 4GP,SOMERSET,51.1357,-3.0004498,,,,,,,,,
15,,COMMUNITY SERVICES (MILBORNE PORT),MILBORNE PORT SURGERY,SHERBORNE,SW,DT9 5FH,DORSET,50.967502,-2.4719621,,,,,,,,,
16,,COMMUNITY SERVICES (NETHER STOWEY),QUANTOCK MEDICAL CENTRE,BRIDGWATER,SW,TA5 1NW,SOMERSET,51.149211,-3.1542082,,,,,,,,,
17,,COMMUNITY SERVICES (SOMERTON),SOMERTON SURGERY,SOMERTON,SW,TA11 7PR,SOMERSET,51.053809,-2.7307377,,,,,,,,,
18,,COMMUNITY SERVICES (PRIORY MEDICAL CENTRE),PRIORY MEDICAL CENTRE,WELLS,SW,BA5 1XJ,SOMERSET,51.203994,-2.6552165,,,,,,,,,
19,,GLOUCESTER HEALTH ACCESS CENTRE,121-131 EASTGATE STREET,GLOUCESTER,SW,GL1 1QB,GLOUCESTERSHIRE,51.862425,-2.2399232,,,,,,,,,
20,,CHRISTCHURCH BUSINESS CENTRE,GRANGE ROAD,CHRISTCHURCH,SW,BH23 4JD,DORSET,50.7397,-1.7378152,,,,,,,,,
21,,GLOUCESTER MEDICAL ACCESS CENTRE,EASTGATE HOUSE,GLOUCESTER,SW,GL1 1PX,GLOUCESTERSHIRE,51.862479,-2.2401268,,,,,,,,,
22,,BRIDPORT CHILDREN'S CENTRE,ST. MARYS C OF E PRIMARY SCHOOL,BRIDPORT,SW,DT6 5LA,DORSET,50.726947,-2.765749,,,,,,,,,
23,,"QUARTERJACK GP SURGERY, WIMBORNE",RODWAYS CORNER,WIMBORNE,SW,BH21 1AP,DORSET,50.79813,-1.9827366,,,,,,,,,
24,,SHERBORNE CHILDREN'S CENTRE,SHERBORNE AREA YOUTH & COMM CTR,SHERBORNE,SW,DT9 3DY,DORSET,50.950952,-2.5070994,,,,,,,,,
25,,"CAFMHS COMMUNITY HUB, WIMBORNE",41-44 KING STREET,WIMBORNE,SW,BH21 1EB,DORSET,50.798769,-1.987504,,,,,,,,,
26,,BOURNEMOUTH LEARNING CENTRE,ENSBURY AVENUE,BOURNEMOUTH,SW,BH10 4HG,DORSET,50.750023,-1.8903489,,,,,,,,,
27,,MARVIN HOUSE,MONKTON PARK,DORCHESTER,SW,DT2 9PS,DORSET,50.693332,-2.4526252,,,,,,,,,
28,,WIMBORNE CHILDREN'S CENTRE,GORDON ROAD,WIMBORNE,SW,BH21 2AP,DORSET,50.796761,-1.9717691,,,,,,,,,
29,,LILLIPUT SURGERY,LINDISFARNE,POOLE,SW,BH14 8EE,DORSET,50.711604,-1.9540308,,,,,,,,,
30,,CORFE CASTLE SURGERY,TOMS MEAD,WAREHAM,SW,BH20 5HH,DORSET,50.635888,-2.0594219,,,,,,,,,
31,,SHELLEY MANOR MEDICAL CENTRE,BEECHWOOD AVENUE,BOURNEMOUTH,SW,BH5 1LX,DORSET,50.723834,-1.8344508,,,,,,,,,
32,,THREE LEGGED CROSS SURGERY,67-71 CHURCH ROAD,WIMBORNE,SW,BH21 6RQ,DORSET,50.854234,-1.8866247,,,,,,,,,
33,,BUTE HOUSE SURGERY,GROVE MEDICAL CENTRE,SHERBORNE,SW,DT9 4DL,DORSET,50.95327,-2.5137019,,,,,,,,,
34,,PHOENIX HOUSE,FAIRFIELD BUNGALOW,BLANDFORD FORUM,SW,DT11 7HX,DORSET,50.861748,-2.1617559,,,,,,,,,
35,,NEW WAVE CENTRE,66-68 PALMERSTON ROAD,BOURNEMOUTH,SW,BH1 4JT,DORSET,50.729529,-1.8431303,,,,,,,,,
36,,EVERGREEN OAK SURGERY,43 COMMERCIAL ROAD,POOLE,SW,BH14 0HU,DORSET,50.723656,-1.9584675,,,,,,,,,
37,,DENMARK ROAD MEDICAL CENTRE,37 DENMARK ROAD,BOURNEMOUTH,SW,BH9 1PB,DORSET,50.746924,-1.8761397,,,,,,,,,
38,,THE EXCHANGE STURMINSTER NEWTON,OLD MARKET HILL,STURMINSTER NEWTON,SW,DT10 1QU,DORSET,50.928179,-2.3038481,,,,,,,,,
39,,CIRENCESTER HOSPITAL,TETBURY ROAD,CIRENCESTER,SW,GL7 1UY,GLOUCESTERSHIRE,51.712122,-1.9759555,,,,,,,,,
40,,PEBBLE LODGE,49 ALUMHURST ROAD,BOURNEMOUTH,SW,BH4 8EW,DORSET,50.716727,-1.9044211,,,,,,,,,
41,,WIC NURSE WONFORD,NHS WALK IN CENTRE,EXETER,SW,EX2 5DW,DEVON,50.716712,-3.5066801,,,,,,,,,
42,,WIC NURSE SIDWELL ST,NHS WALK IN CENTRE,EXETER,SW,EX4 6NN,DEVON,50.726376,-3.525636,,,,,,,,,
43,,ADMIRALS COURT,1 ADMIRALS COURT,BOURNEMOUTH,SW,BH5 1DJ,DORSET,50.724481,-1.8407387,,,,,,,,,
44,,BOVINGTON MEDICAL CENTRE,SIR RICHARD HULL ROAD,WAREHAM,SW,BH20 6JA,DORSET,50.70167,-2.2407697,,,,,,,,,
45,,KINGSTON MAURWARD COLLEGE,KINGSTON MAURWARD,DORCHESTER,SW,DT2 8PY,DORSET,50.718393,-2.404124,,,,,,,,,
46,,WESSEX HEALTH,17 STOUR ROAD,CHRISTCHURCH,SW,BH23 1PL,DORSET,50.738256,-1.7836813,,,,,,,,,
47,,CREDITON HOSPITAL,WESTERN ROAD,CREDITON,SW,EX17 3NH,DEVON,50.791852,-3.672802,,,,,,,,,
48,,WEYMOUTH COLLEGE,CRANFORD AVENUE,WEYMOUTH,SW,DT4 7LQ,DORSET,50.62294,-2.4518074,,,,,,,,,
49,,CHAT,THE PURBECK HOUSE,WAREHAM,SW,BH20 4PF,DORSET,50.682699,-2.1231621,,,,,,,,,
50,,THE LIGHTHOUSE,LIGHT HOUSE YOUTH CENTRE,CHRISTCHURCH,SW,BH23 1PE,DORSET,50.735336,-1.7805489,,,,,,,,,
51,,PORTLAND YOUTH ADVISORY,EASTON METHODIST CHURCH,PORTLAND,SW,DT5 1BX,DORSET,50.544813,-2.4365799,,,,,,,,,
52,,LEATSIDE SURGERY,BABBAGE ROAD,TOTNES,SW,TQ9 5JA,DEVON,50.434945,-3.6837733,,,,,,,,,
53,,OPMH EXETER 2,KNIGHTSHAYES,EXETER,SW,EX1 3RB,DEVON,50.730977,-3.48414,,,,,,,,,
54,,ASC & ADHD SERVICE,FORDE HOUSE,EXETER,SW,EX2 7HU,DEVON,50.715354,-3.4686313,,,,,,,,,
55,,NEWBOROUGH HOUSE,QUEEN MOTHER SQUARE,DORCHESTER,SW,DT1 3BJ,DORSET,50.714645,-2.4663432,,,,,,,,,
56,,INDEPENDENT LIVING CENTRE,DEVON HOUSE,NEWTON ABBOT,SW,TQ12 4PB,DEVON,50.52845,-3.5965605,,,,,,,,,
57,,NORTH DEVON ADDITIONAL SUPPORT TEAM,FIRST FLOOR,BARNSTAPLE,SW,EX32 7EZ,DEVON,51.084319,-4.0519118,,,,,,,,,
58,,POOLE HOSPITAL (ENDOCRINOLOGY),LONGFLEET ROAD,POOLE,SW,BH15 2JB,DORSET,50.721987,-1.9731169,,,,,,,,,
59,,POOLE HOSPITAL (GASTROENTEROLOGY),LONGFLEET ROAD,POOLE,SW,BH15 2JB,DORSET,50.721987,-1.9731169,,,,,,,,,
60,,POOLE HOSPITAL (RESPIRATORY),LONGFLEET ROAD,POOLE,SW,BH15 2JB,DORSET,50.721987,-1.9731169,,,,,,,,,
61,,POOLE HOSPITAL (EMERGENCY DEPT),LONGFLEET ROAD,POOLE,SW,BH15 2JB,DORSET,50.721987,-1.9731169,,,,,,,,,
62,,POOLE HOSPITAL (OUTPATIENT DEPT),LONGFLEET ROAD,POOLE,SW,BH15 2JB,DORSET,50.721987,-1.9731169,,,,,,,,,
63,,OVER THE RAINBOW,27 ST. MICHAELS ROAD,BOURNEMOUTH,SW,BH2 5DP,DORSET,50.719002,-1.8844008,,,,,,,,,
64,,HEALTH PROMOTION,OLD FORDE HOUSE,NEWTON ABBOT,SW,TQ12 4XX,DEVON,50.527302,-3.5956893,,,,,,,,,
65,,CHELTENHAM GENERAL HOSPITAL,SANDFORD ROAD,CHELTENHAM,SW,GL53 7AN,GLOUCESTERSHIRE,51.89319,-2.0718118,,,,,,,,,
66,,POOLE DIALYSIS UNIT,THE FULCRUM CENTRE,POOLE,SW,BH12 4NU,DORSET,50.751617,-1.9443527,,,,,,,,,
67,,BLANDFORD COMMUNITY HOSPITAL,MILLDOWN ROAD,BLANDFORD FORUM,SW,DT11 7DD,DORSET,50.863313,-2.1681696,,,,,,,,,
68,,SOUTHBOURNE SURGERY,17 BEAUFORT ROAD,BOURNEMOUTH,SW,BH6 5BF,DORSET,50.728156,-1.8142601,,,,,,,,,
69,,ST ALBANS MEDICAL CENTRE - EAST WAY,EASTWAY,BOURNEMOUTH,SW,BH8 9PU,DORSET,50.747821,-1.8581221,,,,,,,,,
70,,CONTRACEPTION SERVICE WIC,NHS WALK IN CENTRE (UNIT 4),EXETER,SW,EX4 6NN,DEVON,50.726376,-3.525636,,,,,,,,,
71,,AXMINSTER WARD PRESC,AXMINSTER HOSPITAL,AXMINSTER,SW,EX13 5DU,DEVON,50.783892,-2.9962684,,,,,,,,,
72,,AXMINSTER MIU PRESC,AXMINSTER HOSPITAL,AXMINSTER,SW,EX13 5DU,DEVON,50.783892,-2.9962684,,,,,,,,,
73,,AXMINSTER OPD PRESC,AXMINSTER HOSPITAL,AXMINSTER,SW,EX13 5DU,DEVON,50.783892,-2.9962684,,,,,,,,,
74,,BUDLEIGH OPD PRESC,BUDLEIGH SALTERTON HOSPITAL,BUDLEIGH SALTERTON,SW,EX9 6HF,DEVON,50.631592,-3.3205193,,,,,,,,,
75,,CREDITON WARD PRESC,CREDITON HOSPITAL,CREDITON,SW,EX17 3NH,DEVON,50.791852,-3.672802,,,,,,,,,
76,,CREDITON OPD PRESC,CREDITON HOSPITAL,CREDITON,SW,EX17 3NH,DEVON,50.791852,-3.672802,,,,,,,,,
77,,EXMOUTH WARD PRESC,EXMOUTH HOSPITAL,EXMOUTH,SW,EX8 2JN,DEVON,50.620554,-3.4016084,,,,,,,,,
78,,EXMOUTH MIU PRESC,EXMOUTH HOSPITAL,EXMOUTH,SW,EX8 2JN,DEVON,50.620554,-3.4016084,,,,,,,,,
79,,EXMOUTH OPD PRESC,EXMOUTH HOSPITAL,EXMOUTH,SW,EX8 2JN,DEVON,50.620554,-3.4016084,,,,,,,,,
80,,HONITON WARD PRESC,HONITON HOSPITAL,HONITON,SW,EX14 2DE,DEVON,50.794926,-3.1865766,,,,,,,,,
81,,HONITON MIU PRESC,HONITON HOSPITAL,HONITON,SW,EX14 2DE,DEVON,50.794926,-3.1865766,,,,,,,,,
82,,HONITON OPD PRESC,HONITON HOSPITAL,HONITON,SW,EX14 2DE,DEVON,50.794926,-3.1865766,,,,,,,,,
83,,MORETON OPD PRESC,MORETONHAMPSTEAD HOSPITAL,NEWTON ABBOT,SW,TQ13 8LN,DEVON,50.661501,-3.7660498,,,,,,,,,
84,,OKEHAMPTON WARD PRESC,OKEHAMPTON COMMUNITY HOSPITAL,OKEHAMPTON,SW,EX20 1PN,DEVON,50.741911,-3.9973431,,,,,,,,,
85,,OKEHAMPTON MIU PRESC,OKEHAMPTON COMMUNITY HOSPITAL,OKEHAMPTON,SW,EX20 1PN,DEVON,50.741911,-3.9973431,,,,,,,,,
86,,OKEHAMPTON OPD PRESC,OKEHAMPTON COMMUNITY HOSPITAL,OKEHAMPTON,SW,EX20 1PN,DEVON,50.741911,-3.9973431,,,,,,,,,
87,,OTTERY OPD PRESCR,OTTERY ST. MARY HOSPITAL,OTTERY ST. MARY,SW,EX11 1DN,DEVON,50.750113,-3.2915744,,,,,,,,,
88,,SEATON WARD PRESC,SEATON & DISTRICT COMMUNITY HOSPITA,SEATON,SW,EX12 2UU,DEVON,50.711803,-3.0715061,,,,,,,,,
89,,SEATON OPD PRESCR,SEATON & DISTRICT COMMUNITY HOSPITA,SEATON,SW,EX12 2UU,DEVON,50.711803,-3.0715061,,,,,,,,,
90,,SIDMOUTH WARD PRESC,SIDMOUTH HOSPITAL,SIDMOUTH,SW,EX10 8EW,DEVON,50.68161,-3.2396552,,,,,,,,,
91,,SIDMOUTH MIU PRESC,SIDMOUTH HOSPITAL,SIDMOUTH,SW,EX10 8EW,DEVON,50.68161,-3.2396552,,,,,,,,,
92,,SIDMOUTH OPD PRESC,SIDMOUTH HOSPITAL,SIDMOUTH,SW,EX10 8EW,DEVON,50.68161,-3.2396552,,,,,,,,,
93,,TIVERTON MIU PRESC,TIVERTON & DISTRICT HOSPITAL,TIVERTON,SW,EX16 6NT,DEVON,50.909477,-3.4929547,,,,,,,,,
94,,TIVERTON OPD PRESC,TIVERTON & DISTRICT HOSPITAL,TIVERTON,SW,EX16 6NT,DEVON,50.909477,-3.4929547,,,,,,,,,
95,,TIVERTON WARD PRESC,TIVERTON & DISTRICT HOSPITAL,TIVERTON,SW,EX16 6NT,DEVON,50.909477,-3.4929547,,,,,,,,,
96,,TORBAY HOSPITAL,NEWTON ROAD,TORQUAY,SW,TQ2 7AA,DEVON,50.482325,-3.5537901,,,,,,,,,
97,,TETBURY HOSPITAL,MALMESBURY ROAD,TETBURY,SW,GL8 8XB,GLOUCESTERSHIRE,51.63522,-2.1546715,,,,,,,,,
98,,NORTH COTSWOLD HOSPITAL,STOW ROAD,MORETON-IN-MARSH,SW,GL56 0DS,GLOUCESTERSHIRE,51.984057,-1.705648,,,,,,,,,
99,,SOUTHCOTE ROAD,UNIT 10,BOURNEMOUTH,SW,BH1 3SJ,DORSET,50.727423,-1.8558601,,,,,,,,,
100,,FALFIELD AMBULANCE STATION,FALFIELD,WOTTON-UNDER-EDGE,SW,GL12 8EE,GLOUCESTERSHIRE,51.638728,-2.4573412,,,,,,,,,
101,,LYDNEY AMBULANCE STATION,CHURCH ROAD,LYDNEY,SW,GL15 5EA,GLOUCESTERSHIRE,51.722828,-2.5368432,,,,,,,,,
102,,MORETON-IN-MARSH AMBULANCE STATION,PARKERS LANE,MORETON-IN-MARSH,SW,GL56 0DP,GLOUCESTERSHIRE,51.987403,-1.7063542,,,,,,,,,
103,,GLOUCESTERSHIRE TRISERVICE EMERGENCY CENTRE,WATERWELLS DRIVE,GLOUCESTER,SW,GL2 2BA,GLOUCESTERSHIRE,51.813788,-2.2749722,,,,,,,,,
104,,STROUD AMBULANCE STATION,PAGANHILL LANE,STROUD,SW,GL5 4JT,GLOUCESTERSHIRE,51.745499,-2.2390129,,,,,,,,,
105,,TEWKESBURY AMBULANCE STATION,OLDBURY ROAD,TEWKESBURY,SW,GL20 5LJ,GLOUCESTERSHIRE,51.996541,-2.1540076,,,,,,,,,
106,,CIRENCESTER AMBULANCE STATION,TETBURY ROAD,CIRENCESTER,SW,GL7 1UY,GLOUCESTERSHIRE,51.712122,-1.9759555,,,,,,,,,
107,,COLEFORD AMBULANCE STATION,HIGH STREET,COLEFORD,SW,GL16 8HF,GLOUCESTERSHIRE,51.792814,-2.6176965,,,,,,,,,
108,,STAVERTON AMBULANCE STATION,COMMERCE ROAD,GLOUCESTER,SW,GL2 9QL,GLOUCESTERSHIRE,51.897493,-2.1709333,,,,,,,,,
109,,PRESCRIBER 136,"UNIT 10, CENTRAL BUSINESS PARK",BOURNEMOUTH,SW,BH1 3SJ,DORSET,50.727423,-1.8558601,,,,,,,,,
110,,RIVERFORD HOUSE,ESTOVER CLOSE,PLYMOUTH,SW,PL6 7PL,DEVON,50.422205,-4.0873628,,,,,,,,,
111,,COMMUNTIY SERVICES (WINCANTON),BALSAM CENTRE,WINCANTON,SW,BA9 9HB,SOMERSET,51.054737,-2.4071748,,,,,,,,,
112,,COMMUNTIY SERVICES (YEOVIL),RECKLEFORD CHILDREN'S CENTRE,YEOVIL,SW,BA21 4ET,SOMERSET,50.944246,-2.6253667,,,,,,,,,
113,,CRISIS RESPONSE HOME TREATMENT TEAM,30 MAIDEN CASTLE ROAD,DORCHESTER,SW,DT1 2ER,DORSET,50.706125,-2.4443931,,,,,,,,,
114,,COMMUNITY SERVICES (ROSEBANK),ROSEBANK,WELLS,SW,BA5 1TH,SOMERSET,51.20302,-2.6556608,,,,,,,,,
115,,DEVON AIR AMBULANCE TRUST,AIR SUPPORT BASE,EXETER,SW,EX5 2BA,DEVON,50.73102,-3.414057,,,,,,,,,
116,,GLOUCESTER SOUTH FIRE AND RESCUE STATION,GLOUCESTER S. FIRE & RESCUE STATION,GLOUCESTER,SW,GL2 5EL,GLOUCESTERSHIRE,51.834933,-2.2679027,,,,,,,,,
117,,WELLINGTON SDP,ST. JOHN'S AMBULANCE HEADQUARTERS,WELLINGTON,SW,TA21 8HR,SOMERSET,50.980611,-3.2316196,,,,,,,,,
118,,DERMATOLOGY PELHAMS PARK,11 SHELLEY ROAD,BOURNEMOUTH,SW,BH1 4JQ,DORSET,50.729266,-1.8414734,,,,,,,,,
