,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,Cherry Creek Health Station,317 Main,Eagle Butte,SD,57625,,605-964-8917,IHS Facility,,No,,44.99975509999999,-101.2343192
1,20001,Minni-Tohe Health Center,1 Minne-Tohe Drive,New Town,ND,58763,,701-627-4701,IHS Facility,,No,,47.981652,-102.57674
2,20002,Spirit Lake Health Center,3883 74th Avenue NE,Fort Totten,ND,58335,,701-766-1600,IHS Facility,,No,,47.9758077,-98.9967441
3,20003,Manderson Health Station,P.O. Box 350 Wounded Knee Dist,Manderson,SD,57756,,605-867-5131,IHS Facility,,No,,43.2345917,-102.4896554
4,20004,Wahpeton Health Center,832 8th Street North,Wahpeton,ND,N/A,,N/A,IHS Facility,,No,,46.2740666,-96.6118578
5,20005,Red Scaffold Health Station,317 Main,Eagle Butte,SD,57625,,605-964-8917,IHS Facility,,No,,44.99975509999999,-101.2343192
6,20006,Mandaree Health Station Satellite of Minnetohe Health Center Fort Berthold,305 Main Street,Mandaree,ND,58757,,701-627-4701,IHS Facility,,No,,47.72823529999999,-102.6779318
7,20007,Santee Clinic Health Station,110 S Visiting Eagle St,Niobrara,NE,68760,,N/A,IHS Facility,,No,,42.8359683,-97.8563554
8,20008,Ponca Hills Health and Wellness Center,1800 Syracuse Avenue,Norfolk,NE,68701,,402-371-8720,IHS Facility,,No,,42.0493172,-97.4325716
9,20009,Carl T Curtis Health Education Center and Nursing Home,100 Indian Hills Drive,Macy,NE,68039,,402-837-5381,IHS Facility,,No,,42.1186175,-96.3595921
10,20010,Albuquerque Indian Health Center,801 Vassar Dr NE,Albuquerque,NM,87106,,505-248-4000,IHS Facility,,No,,35.0879311,-106.6146016
11,20011,Santa Ana Health Station,"02-C Dove Rd Pueblo, Station A",Bernalillo,NM,87004,,505-867-2497,IHS Facility,,No,,35.3160954,-106.5384756
12,20012,Sandia Health Station,203 Sandia Day School Road,Bernalillo,NM,87004,,505-867-4696,IHS Facility,,No,,35.2593191,-106.5724837
13,20013,Zia Pueblo Health Station,155 Capital Square,Zia Pueblo,NM,87053,,505-867-5258,IHS Facility,,No,,35.4984851,-106.7294472
