,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,430083,PHS INDIAN HOSPITAL AT EAGLE BUTTE,24276 166TH AIRPORT ROAD,EAGLE BUTTE,SD,57625,DEWEY,6059643005,IHS Facility,Government - Federal,Yes,Not Available,45.020519,-101.231272
2,350064,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,10 NORTH RIVER ROAD,FORT YATES,ND,58538,SIOUX,7018543831,IHS Facility,Government - Federal,Yes,Not Available,46.086599,-100.630182
3,320070,ACOMA-CANONCITO-LAGUNA (ACL) HOSPITAL,80 B VETERANS BOULEVARD,ACOMA,NM,87034,CIBOLA,5055525300,IHS Facility,Government - Federal,Yes,Not Available,35.102566,-107.597533
4,320058,MESCALERO PHS INDIAN HOSPITAL,P O BOX 210,MESCALERO,NM,88340,OTERO,5054644441,IHS Facility,Government - Federal,No,Not Available,33.176134999999995,-105.583242
5,320057,SANTA FE PHS INDIAN HOSPITAL,1700 CERRILLOS ROAD,SANTA FE,NM,87501,SANTA FE,5059889821,IHS Facility,Government - Federal,No,Not Available,35.52727,-105.934035
6,320060,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH B STREET,ZUNI,NM,87327,MCKINLEY,5057824431,IHS Facility,Government - Federal,Yes,Not Available,35.070744,-108.848351
7,241358,CASS LAKE INDIAN HEALTH SERVICES HOSPITAL,425 7TH STREET NW,CASS LAKE,MN,56633,CASS,2183353200,IHS Facility,Government - Federal,Yes,Not Available,47.378855,-94.59941
8,240206,RED LAKE HOSPITAL,24760 HOSPITAL DRIVE,RED LAKE,MN,56671,BELTRAMI,2186793912,IHS Facility,Government - Federal,Yes,Not Available,48.612073,-93.347325
9,271315,P H S INDIAN HOSPITAL-FT BELKNAP AT HARLEM - CAH,669 MAIN STREET,HARLEM,MT,59526,BLAINE,4063533100,IHS Facility,Government - Federal,Yes,Not Available,48.762027,-108.625054
10,370172,CHOCTAW NATION HEALTH SERVICES AUTHORITY,1 CHOCTAW WAY,TALIHINA,OK,74571,LATIMER,9185677000,IHS Facility,Tribal,Yes,4,34.73353400000001,-94.861736
11,370180,CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD,ADA,OK,74820,PONTOTOC,5804363980,IHS Facility,Voluntary non-profit - Other,Yes,4,34.768432000000004,-96.669108
12,030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,167 N MAIN STREET,TUBA CITY,AZ,86045,COCONINO,9282832501,IHS Facility,Voluntary non-profit - Other,No,2,36.206038,-111.260401
13,370173,CLAREMORE INDIAN HOSPITAL,101 SOUTH MOORE AVE,CLAREMORE,OK,74017,ROGERS,9183418430,IHS Facility,Tribal,Yes,Not Available,36.313216,-95.610625
14,370171,W W HASTINGS INDIAN HOSPITAL,100 S BLISS AVENUE,TAHLEQUAH,OK,74464,CHEROKEE,9184583100,IHS Facility,Voluntary non-profit - Other,Yes,4,35.904868,-95.002158
