provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
"072006","1205951662","STATE OF CONNECTICUT, DEPT OF VETERANS' AFFAIRS","287 WEST STREET","ROCKY HILL",CT,"060673501","003",41.6554981,-72.65257978186958,"8605292571","00-18","01-02",false,,,"01",300,"07D0093325"
"345500","1346210291","WINDSOR POINT INC.","1221 BROAD ST","FUQUAY-VARINA",NC,"275263602",,35.60038585794809,-78.80181899918394,"9195524580","00-18",,,,,,,
"305022","1447312046","EDGEWOOD CENTRE (THE)","928 SOUTH STREET","PORTSMOUTH",NH,"038015421","015",43.06378394594594,-70.7624885945946,"6034360099","00-18","02-03",true,,,"01",156,
"375417","1912906694","WESTHAVEN NURSING HOME","1215 SOUTH WESTERN","STILLWATER",OK,"740745151","119",36.1156306,-97.0585717,"4057431140","00-18","02-03",true,,,"06",125,
"445316","1104838606","HILLCREST HEALTHCARE, LLC","111 PEMBERTON DR","ASHLAND CITY",TN,"370151353",,36.2742207,-87.0641699,"6157929154","00-18",,,"445316",,,,
"445463","1477576346","BELLS NURSING HOME INC","213 HERNDON DR","BELLS",TN,"380063654",,35.72971768261277,-89.06693578527877,"7316632335","00-18",,,,,,,
"225513","1760479851","BEAUMONT WHITNEY PLACE NORTHBOROUGH","238 W MAIN ST","NORTHBOROUGH",MA,"015321804",,42.31181264999999,-71.65685612428547,"5083932368","00-18",,,,,,,
"245262","1750339438","WEST WIND VILLAGE","1001 SCOTTS AVENUE","MORRIS",MN,"562671763","149",45.588004,-95.928058,"3205891133","00-18","02-03",true,,,"05",72,
"245381","1609864354","NEW HARMONY CARE CENTER, INC.","135 GERANIUM AVE E","SAINT PAUL",MN,"551175007",,44.9497487,-93.0931028,"6514886658","00-18",,,,,,,
"555707","1265502405","ICC CONVALESCENT CORP.","11441 VENTURA BLVD","STUDIO CITY",CA,"916043143",,34.1436242,-118.392844,"8189808200","00-18",,,,,,,
"445469","1851362511","IVY HALL NURSING HOME","301 WATAUGA AVE","ELIZABETHTON",TN,"376433546","019",36.344631,-82.222624,"4235426512","00-18","02-03",true,,,"04",101,
"065110","1720038854","MESA MANOR CENTER","2901 N 12TH ST","GRAND JUNCTION",CO,"815062811","077",39.0938152,-108.5535116,"9702437211","00-18","02-03",true,,,"08",89,
"445476","1427019413","ISLAND HOME PARK HEALTH AND REHAB","1758 HILLWOOD DRIVE","KNOXVILLE",TN,"379202600","093",35.958286810553545,-83.89127485612863,"8655739621","00-18","02-03",true,,,"04",95,
"445468","1841332855","DYER NURSING HOME, INC.","1124 NORTH MAIN","DYER",TN,"383301033",,36.092548824870484,-89.00132176266702,"7316924545","00-18",,,,,,,
"445467","1497807119","CROCKETT COUNTY NURSING HOME, INC.","580 WEST MAIN STREET","ALAMO",TN,"380011545",,35.785207,-89.1274240652174,"7316964541","00-18",,,,,,,
"065232","1598719312","PUEBLO CENTER","2611 JONES AVE","PUEBLO",TX,"810042650","101",32.4990151,-99.1214611,"7195641735","00-18","03-03",true,,,"08",146,
"215341","1265433528","LORIEN HARFORD, INC","1909 EMMORTON RD","BEL AIR",MD,"210156256",,39.505036849999996,-76.32575916863888,"4108031400","00-18",,,,,,,
"105319","1265427934","SUN CITY CENTER ASSOCIATES LTD LP","105 TRINITY LAKES DR","SUN CITY CENTER",FL,"335735728",,27.7119747,-82.3557344,"8136343324","00-18",,,,,,,
"315479","1558360255","CARE TWO, LLC","68 PASSAIC AVENUE","LIVINGSTON",NJ,"070395811",,40.767179,-74.352599,"9737589000","00-18",,,,,,,
"146049","1992894802","IROQUOIS RESIDENT HOME, THE","200 FAIRMAN AVENUE","WATSEKA",IL,"609701644","075",40.7667394,-87.73182547827145,"8154327768","00-18","03-03",true,,,"05",35,
"455754","1760478200","NORTHEAST REHABILITATION AND HEALTHCARE CENTER","603 CORINNE ST","SAN ANTONIO",TX,"782183303","029",29.4246002,-98.4951405,"2108247331","00-18","03-03",true,,,"06",120,
"505074","1558360024","PARK MANOR REHABILITATION CTR","1710 PLAZA WAY","WALLA WALLA",WA,"993624362","071",46.04741342617704,-118.34619970337724,"5095294218","00-18","02-03",true,,,"10",99,
"555070","1760477558","SOUTHLAND","11701 STUDEBAKER ROAD","NORWALK",CA,"906507544","037",33.927875,-118.099434,"5628689761","00-18","02-03",true,,,"09",120,
"335842","1033110770","PECONIC LANDING AT SOUTHOLD INC","1500 BRECKNOCK RD","GREENPORT",NY,"119443117",,41.12213335,-72.36204777750618,"6314773800","00-18",,,,,,,
"115387","1558308692","OXLEY PARK HEALTH AND REHABILITATION","181 OXLEY DRIVE","LYONS",GA,"304365644","279",32.208505,-82.340121,"9125266336","00-18","02-03",true,,,"04",144,
"185125","1962514380","HILLCREST HEALTH AND REHABILITATION CENTER","1245 AMERICAN GREETING ROAD","CORBIN",KY,"407014881","235",36.9486986,-84.0968761,"6065288917","00-18","02-03",true,,,"04",120,
"366253","1821190158","SOUTH BROADWAY HEALTHCARE GROUP, INC","245-251 SOUTH BROADWAY","NEW PHILADELPHIA",OH,"446633842",,40.4836384,-81.4471818,"3303392151","00-18",,,,,,,
"115507","1235171174","TAYLOR COUNTY HEALTH AND REHABILITATION","165 SOUTH BROAD STREET","BUTLER",GA,"310065526","269",32.548966,-84.240695,"4788622220","00-18","02-03",true,,,"04",78,
