provider_num,npi,name,address,city,state,postcode,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
101938,1801826270,BRISTOL AND WESTON BCSC,MARLBOROUGH STREET,BRISTOL,SW,BS2 8HW,,51.458886,-2.596293,0117 992 300,,,,,,,,
101939,1801826271,CORNWALL BCSC,ROYAL CORNWALL HOSPITAL,TRURO,SW,TR1 3LJ,,50.266686,-5.0914501,01872 250000,,,,,,,,
101940,1801826272,NORTH AND EAST DEVON BCSC,ROYAL DEVON UNIVERSITY NHS FT,EXETER,SW,EX2 5DW,,50.716712,-3.5066801,01392 411611,,,,,,,,
101941,1801826273,"BATH, SWINDON AND WILTSHIRE BCSC",SALISBURY DISTRICT HOSPITAL,SALISBURY,SW,SP2 8BJ,,51.043955,-1.7898225,01722 336262,,,,,,,,
101942,1801826274,DORSET BCSC,MANAGEMENT OFFICES,POOLE,SW,BH15 2JB,,50.721987,-1.9731169,,,,,,,,,
101943,1801826275,SOMERSET BCSC,TRUST MANAGEMENT,TAUNTON,SW,TA1 5DA,,51.01197,-3.1197783,01278 432000,,,,,,,,
101944,1801826276,GLOUCESTERSHIRE BCSC,CHELTENHAM GENERAL HOSPITAL,CHELTENHAM,SW,GL53 7AN,,51.89319,-2.0718118,0300 422 222,,,,,,,,
101945,1801826277,SOUTH DEVON BCSC,TORBAY HOSPITAL,TORQUAY,SW,TQ2 7AA,,50.482325,-3.5537901,01803 614567,,,,,,,,
101946,1801826278,BLACKBERRY HILL HOSPITAL - BCSS INPATIENT UNIT,MANOR ROAD,BRISTOL,SW,BS16 2EW,,51.483145,-2.5388327,,,,,,,,,
101947,1801826279,LANGDON HOSPITAL - BCSS INPATIENT UNIT,LANGDON HOSPITAL,DAWLISH,SW,EX7 0NR,,50.599669,-3.4681777,,,,,,,,,
101948,1801826280,WELLESLEY HOSPITAL - BCSS INPATIENT UNIT,WESTPARK,WELLINGTON,SW,TA21 9FF,,50.978967,-3.2056074,,,,,,,,,
101949,1801826281,ORCHID HOUSE SURGERY,THE ORCHID HOUSE SURGERY,WIMBORNE,SW,BH22 9HB,,50.801788,-1.8944994,01202 897000,,,,,,,,
101950,1801826282,WINTON HEALTH CENTRE,WINTON HEALTH CENTRE,BOURNEMOUTH,SW,BH9 1BP,,50.739605,-1.8763574,01202 519311,,,,,,,,
101951,1801826283,POOLE ROAD MEDICAL CENTRE,POOLE ROAD MEDICAL CENTRE,BOURNEMOUTH,SW,BH2 5QR,,50.720439,-1.8926134,01202 761120,,,,,,,,
101952,1801826284,BRIDPORT MEDICAL CENTRE,THE BRIDPORT MEDICAL CTR,BRIDPORT,SW,DT6 5BN,,50.734226,-2.767979,01308 421896,,,,,,,,
101953,1801826285,THE ADAM PRACTICE,306 BLANDFORD ROAD,POOLE,SW,BH15 4JQ,,50.720875,-2.0105439,01202 679234,,,,,,,,
101954,1801826286,ROYAL MANOR HEALTH CARE,ROYAL MANOR HEALTH CARE,PORTLAND,SW,DT5 2BJ,,50.543983,-2.4373343,01305 820422,,,,,,,,
101955,1801826287,SWANAGE MEDICAL PRACTICE,SWANAGE MEDICAL PRACTICE,SWANAGE,SW,BH19 1HB,,50.609961,-1.9600227,01929 422231,,,,,,,,
