School,ID,CoNo,StNo,Long,Lat,Low,High,Students
1 LT CHARLES W. WHITCOMB SCHOOL,2.50732E+11,17,25,-71.5486,42.3574,5,8,1365
21ST CENTURY SKILLS ACADEMY,2.51251E+11,13,25,-72.6344,42.1453,9,12,14
A DREWICZ ELEMENTARY,2.50711E+11,9,25,-70.9692,42.4605,0,5,458
A E ANGIER,2.50861E+11,17,25,-71.2326,42.3266,0,5,417
A F MALONEY,2.50272E+11,27,25,-71.5354,42.0196,4,5,206
A. C. WHELAN ELEMENTARY SCHOOL,2.51005E+11,25,25,-71.0199,42.4193,0,5,747
A. IRVIN STUDLEY ELEMENTARY SCHOOL,2.50219E+11,5,25,-71.3019,41.9394,0,4,430
ABBOT ELEMENTARY,2.51266E+11,17,25,-71.4324,42.5879,3,5,438
ABBOTT MEMORIAL,2.50492E+11,3,25,-73.0375,42.6932,-1,8,95
ABBY KELLEY FOSTER CHARTER PUBLIC SCHOOL,2.50005E+11,27,25,-71.8016,42.3056,0,12,1426
ABIGAIL ADAMS MIDDLE SCHOOL,2.51284E+11,21,25,-70.9398,42.2208,5,6,970
ABINGTON HIGH,2.50165E+11,23,25,-70.9534,42.119,9,12,460
ABNER GIBBS,2.51263E+11,13,25,-72.7537,42.1146,0,5,229
ABORN,2.50711E+11,9,25,-70.933,42.4792,0,5,248
ABRAHAM LINCOLN,2.50843E+11,5,25,-70.9314,41.6695,0,5,801
ABRAHAM LINCOLN,2.51005E+11,25,25,-71.0096,42.4169,-1,5,661
ABRAHAM LINCOLN,2.50702E+11,17,25,-71.3204,42.6304,-1,4,523
ACADEMY AVENUE,2.51284E+11,21,25,-70.9418,42.2197,0,4,337
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL,2.50002E+11,25,25,-71.1321,42.2442,5,12,498
ACESE,2.50483E+11,5,25,-71.1411,41.699,2,5,15
ACTON-BOXBOROUGH REGIONAL HIGH,2.50171E+11,17,25,-71.4582,42.4801,9,12,1960
ACUSHNET ELEMENTARY SCHOOL,2.50174E+11,5,25,-70.9066,41.7259,-1,4,536
ADAMS SCHOOL,2.50477E+11,17,25,-71.0654,42.4049,-1,-1,166
ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL,2.50009E+11,17,25,-71.5774,42.3337,6,12,997
AGAWAM EARLY CHILDHOOD CENTER,2.5018E+11,13,25,-72.6264,42.0672,-1,-1,144
AGAWAM HIGH,2.5018E+11,13,25,-72.6456,42.0742,9,12,1290
AGAWAM JUNIOR HIGH,2.5018E+11,13,25,-72.6736,42.0641,7,8,629
ALBERT F FORD MIDDLE SCHOOL,2.50174E+11,5,25,-70.9055,41.7231,5,8,456
ALBERT F. ARGENZIANO SCHOOL AT LINCOLN PARK,2.51089E+11,17,25,-71.0992,42.3791,-1,8,586
ALBERT S. WOODWARD MEMORIAL SCHOOL,2.51098E+11,27,25,-71.5267,42.304,2,3,275
ALCOTT,2.50384E+11,17,25,-71.3462,42.4537,-1,5,467
ALDEN SCHOOL,2.50441E+11,23,25,-70.6812,42.0461,3,5,710
ALEXANDER B BRUCE,2.50666E+11,9,25,-71.1817,42.7029,2,8,623
ALFRED G ZANETTI,2.51113E+11,13,25,-72.5883,42.1211,-1,8,413
ALFRED J GOMES,2.50843E+11,5,25,-70.9223,41.626,-1,5,688
ALFRED M CHAFFEE,2.50927E+11,27,25,-71.87,42.1073,0,2,452
ALGONQUIN REGIONAL HIGH,2.50891E+11,27,25,-71.6131,42.3259,9,12,1471
ALICE A MACOMBER,2.51278E+11,5,25,-71.0824,41.6525,-1,0,184
ALICE B BEAL ELEMENTARY,2.51113E+11,13,25,-72.5446,42.0737,0,5,227
ALICE M BARROWS,2.50999E+11,17,25,-71.124,42.5217,0,5,369
ALLEN AVENUE,2.50873E+11,5,25,-71.3522,41.9453,0,4,205
ALLENDALE,2.50963E+11,3,25,-73.2208,42.4591,0,5,327
ALMA DEL MAR CHARTER SCHOOL,2.50053E+11,5,25,-70.9238,41.6654,0,4,200
AMBROSE ELEMENTARY,2.51311E+11,17,25,-71.1563,42.4456,0,5,457
AMELIO DELLA CHIESA EARLY CHILDHOOD CENTER,2.50987E+11,21,25,-71.0134,42.2378,-1,-1,158
AMESBURY ACADEMY CHARTER PUBLIC SCHOOL,2.50007E+11,9,25,-70.9346,42.8561,9,12,47
AMESBURY ELEMENTARY,2.50186E+11,9,25,-70.9315,42.8659,-1,4,436
AMESBURY HIGH,2.50186E+11,9,25,-70.9437,42.851,9,12,641
AMESBURY MIDDLE,2.50186E+11,9,25,-70.9289,42.849,5,8,738
AMHERST REGIONAL HIGH,2.50192E+11,15,25,-72.5124,42.3807,9,12,1004
AMHERST REGIONAL MIDDLE SCHOOL,2.50192E+11,15,25,-72.5104,42.3842,7,8,474
AMIGOS SCHOOL,2.50327E+11,17,25,-71.1083,42.363,-1,8,343
AMVET BOULEVARD,2.50873E+11,5,25,-71.3431,41.9771,0,5,385
ANDOVER HIGH,2.50195E+11,9,25,-71.1559,42.6575,9,12,1799
ANDOVER WEST MIDDLE,2.50195E+11,9,25,-71.152,42.6588,6,8,561
ANDREW B. CUSHMAN SCHOOL,2.50402E+11,5,25,-70.941,41.5978,-1,0,96
