SYSTEM,CODE,URL
"http://ncimeta.nci.nih.gov","C0001948","http://standardhealthrecord.org/fhir/StructureDefinition/shr-behavior-AlcoholUse"
"http://ncimeta.nci.nih.gov","C0012155","http://standardhealthrecord.org/fhir/StructureDefinition/shr-behavior-DietAndNutrition"
"http://ncimeta.nci.nih.gov","C0242566","http://standardhealthrecord.org/fhir/StructureDefinition/shr-behavior-IntravenousDrugUse"
"http://ncimeta.nci.nih.gov","C0238646","http://standardhealthrecord.org/fhir/StructureDefinition/shr-environment-AnimalExposure"
"http://ncimeta.nci.nih.gov","C0557163","http://standardhealthrecord.org/fhir/StructureDefinition/shr-environment-AnnualIncome"
"http://ncimeta.nci.nih.gov","C0206073","http://standardhealthrecord.org/fhir/StructureDefinition/shr-environment-DomesticViolence"
"http://ncimeta.nci.nih.gov","C0000768","http://standardhealthrecord.org/fhir/StructureDefinition/shr-lifehistory-CongenitalAbnormalities"
"http://ncimeta.nci.nih.gov","C0557162","http://standardhealthrecord.org/fhir/StructureDefinition/shr-environment-IncomeSource"
"http://ncimeta.nci.nih.gov","C1820459","http://standardhealthrecord.org/fhir/StructureDefinition/shr-environment-IncomeStability"
"http://ncimeta.nci.nih.gov","C0557509","http://standardhealthrecord.org/fhir/StructureDefinition/shr-environment-NumberOfDependents"
"http://ncimeta.nci.nih.gov","C0871747","http://standardhealthrecord.org/fhir/StructureDefinition/shr-lifehistory-PrenatalExposure"
"http://ncimeta.nci.nih.gov","C0040802","http://standardhealthrecord.org/fhir/StructureDefinition/shr-lifehistory-Travel"
"http://ncimeta.nci.nih.gov","C0700589","http://standardhealthrecord.org/fhir/StructureDefinition/shr-sex-ContraceptiveMethodsUsed"
"http://loinc.org","11367-0","http://standardhealthrecord.org/fhir/StructureDefinition/shr-behavior-ONCSmokingStatus"
"http://loinc.org","28323-4","http://standardhealthrecord.org/fhir/StructureDefinition/shr-behavior-SleepQuality"
"http://loinc.org","81364-2","http://standardhealthrecord.org/fhir/StructureDefinition/shr-behavior-ReligiousPractice"
"http://loinc.org","63504-5","http://standardhealthrecord.org/fhir/StructureDefinition/shr-lifehistory-EducationalAttainment"
"http://loinc.org","74165-2","http://standardhealthrecord.org/fhir/StructureDefinition/shr-lifehistory-Employment"
"http://loinc.org","74287-4","http://standardhealthrecord.org/fhir/StructureDefinition/shr-lifehistory-Occupation"
"http://loinc.org","64631-5","http://standardhealthrecord.org/fhir/StructureDefinition/shr-sex-PregnancyIntention"
"http://loinc.org","54574-9","http://standardhealthrecord.org/fhir/StructureDefinition/shr-skin-PressureUlcerManifestation"
"http://loinc.org","55284-4","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-BloodPressure"
"http://loinc.org","8302-2","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-BodyHeight"
"http://loinc.org","8306-3","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-BodyLength"
"http://loinc.org","39156-5","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-BodyMassIndex"
"http://loinc.org","8310-5","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-BodyTemperature"
"http://loinc.org","29463-7","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-BodyWeight"
"http://loinc.org","8462-4","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-DiastolicPressure"
"http://loinc.org","8287-5","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-HeadCircumference"
"http://loinc.org","8867-4","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-HeartRate"
"http://loinc.org","59408-5","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-OxygenSaturation"
"http://loinc.org","9279-1","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-RespiratoryRate"
"http://loinc.org","8480-6","http://standardhealthrecord.org/fhir/StructureDefinition/shr-vital-SystolicPressure"
