"","SERIALNO","HINCP","NP","place_id","SYNTHETIC_HID","longitude","latitude","puma_id","ST","SEX","AGEP","SCH","SCHG","RELP","HISP","ESR","PINCP","NATIVITY","OCCP","POBP","RAC1P","SYNTHETIC_PID","school_id","workplace_id"
"1",1227359,140000,4,25027750200,"25027750200-1904",-71.67016,42.14844,703,25,2,2,NA,NA,2,1,NA,140000,1,NA,25,1,"25027750200-1904-4033","",NA
"2",977740,150000,4,25017383600,"25017383600-2394",-71.44251,42.30636,2800,25,1,32,1,NA,0,1,1,150000,1,800,55,6,"25017383600-2394-4985","",400735375
"3",916908,94930,2,25013813209,"25013813209-1624",-72.6259013,42.07446726,1902,25,1,76,1,NA,0,1,6,65730,1,NA,23,1,"25013813209-1624-2155","",NA
"4",1185268,149600,2,25021415101,"25021415101-754",-71.13749,42.15816,4200,25,1,65,1,NA,1,1,6,130400,1,10,44,1,"25021415101-754-1138","",NA
"5",1209677,120000,4,25017370201,"25017370201-1764",-71.17562,42.376,504,25,1,42,1,NA,2,1,1,25000,1,2340,25,1,"25017370201-1764-3475","",413336827
"6",1062861,124900,4,25017383902,"25017383902-1561",-71.48423,42.31107,3900,25,2,46,1,NA,1,1,6,25900,1,NA,34,1,"25017383902-1561-3507","",NA
"7",1295625,41300,2,25025110502,"25025110502-592",-71.13066,42.28119,4500,25,1,57,1,NA,0,1,1,36400,2,9120,129,1,"25025110502-592-681","",449136787
"8",937295,98000,1,25023523100,"25023523100-129",-70.93833,42.01485,702,25,2,28,1,NA,0,1,1,98000,1,3060,25,1,"25023523100-129-129","",214810129
"9",1465228,166000,2,25013811301,"25013811301-1707",-72.57955525,42.20236245,3500,25,2,37,1,NA,1,1,1,61000,1,2200,25,1,"25013811301-1707-2483","",983349614
"10",1399574,158534,5,2.5e+10,"25025000802-3067",-71.12589,42.35889,702,25,1,42,1,NA,0,1,1,112030,1,9030,25,1,"25025000802-3067-6566","",429738479
"11",1421436,145300,2,25009210400,"25009210400-1809",-70.95221766,42.52518439,302,25,2,77,1,NA,1,1,6,9500,1,NA,25,1,"25009210400-1809-2783","",NA
"12",161605,100540,4,25021413402,"25021413402-1677",-71.23199,42.18176,703,25,2,13,2,10,2,1,NA,100540,1,NA,25,1,"25021413402-1677-3717","2.51E+11",NA
"13",861084,174000,5,25013813301,"25013813301-2357",-72.57814529,42.06793968,1300,25,2,4,3,1,2,1,NA,174000,1,NA,25,1,"25013813301-2357-5962","602264",NA
"14",582487,12000,1,25017373800,"25017373800-128",-71.19263,42.31866,301,25,2,91,1,NA,0,1,6,12000,1,NA,25,1,"25017373800-128-128","",NA
"15",262346,217040,7,25027741101,"25027741101-1651",-71.51895,42.30766,3500,25,1,5,2,2,2,1,NA,217040,1,NA,25,6,"25027741101-1651-4525","2.50E+11",NA
"16",396240,222600,5,25021406102,"25021406102-2061",-71.29016,42.19049,4303,25,2,39,1,NA,0,1,1,100000,1,5840,25,1,"25021406102-2061-5833","",107133159
"17",547743,178000,5,25009217600,"25009217600-2624",-70.8073038,42.58029951,3303,25,1,46,1,NA,1,1,1,52000,1,4840,25,1,"25009217600-2624-5764","",889751657
"18",526587,277000,2,25013810700,"25013810700-1725",-72.5635094,42.15240918,3400,25,2,63,1,NA,0,1,6,27000,1,2100,25,1,"25013810700-1725-2654","",NA
"19",845877,49700,3,25027708100,"25027708100-1576",-71.86773,42.54161,200,25,1,28,1,NA,2,1,1,3000,1,9620,25,1,"25027708100-1576-2588","",5006713
"20",1022244,60000,4,25017318400,"25017318400-830",-71.41790383,42.56029907,3305,25,1,29,1,NA,13,1,6,0,1,5700,25,9,"25017318400-830-1754","",NA
"21",1454526,214900,5,25009211300,"25009211300-2557",-70.9423234,42.58992825,4302,25,2,56,1,NA,15,1,1,141000,1,4110,25,1,"25009211300-2557-6844","",106974975
