RandomID,new_surgery_cat,n_surgeries,mean,median,std,min,max
Surgeon_7,AVR_Replace,57.0,220.6,216.0,48.02,147.0,361.0
Surgeon_7,CABG_OnPump,131.0,243.68,238.0,58.41,146.0,654.0
Surgeon_7,TAVR,268.0,74.26,66.0,31.6,36.0,331.0
Surgeon_3,AVR_Replace,15.0,256.0,234.0,71.85,173.0,431.0
Surgeon_3,CABG_OffPump,91.0,221.24,224.0,48.27,82.0,363.0
Surgeon_3,CABG_OnPump,101.0,234.5,229.0,56.0,0.0,474.0
Surgeon_9,CABG_OffPump,122.0,246.34,241.0,37.68,178.0,343.0
Surgeon_9,CABG_OnPump,20.0,272.45,265.0,59.07,173.0,430.0
Surgeon_6,AVR_Replace,4.0,251.5,209.5,125.59,152.0,435.0
Surgeon_6,CABG_OffPump,6.0,152.83,144.5,22.88,136.0,196.0
Surgeon_6,CABG_OnPump,58.0,204.28,202.0,34.56,141.0,294.0
Surgeon_5,AVR_Replace,21.0,190.38,193.0,66.13,93.0,422.0
Surgeon_5,CABG_OffPump,159.0,170.12,171.0,47.06,68.0,369.0
Surgeon_5,CABG_OnPump,12.0,238.42,236.5,63.15,135.0,366.0
Surgeon_5,TAVR,7.0,59.29,60.0,8.73,46.0,70.0
Surgeon_4,AVR_Replace,44.0,198.75,181.5,63.17,123.0,395.0
Surgeon_4,CABG_OnPump,58.0,233.28,236.5,45.5,136.0,365.0
Surgeon_4,TAVR,125.0,74.06,70.0,27.55,1.0,298.0
Surgeon_1,AVR_Replace,42.0,160.71,152.5,43.87,65.0,352.0
Surgeon_1,CABG_OnPump,185.0,193.02,192.0,32.49,118.0,383.0
Surgeon_1,TAVR,93.0,66.9,61.0,19.76,39.0,154.0
Surgeon_2,AVR_Replace,14.0,235.5,242.0,68.46,127.0,412.0
Surgeon_2,CABG_OffPump,12.0,190.58,206.5,38.11,127.0,238.0
Surgeon_2,CABG_OnPump,213.0,233.18,228.0,43.39,140.0,382.0
Surgeon_8,AVR_Replace,10.0,207.2,201.0,41.37,146.0,279.0
Surgeon_8,CABG_OffPump,165.0,211.32,211.0,38.36,114.0,314.0
Surgeon_8,CABG_OnPump,20.0,267.65,260.5,28.48,235.0,331.0
